Item,Early Ship,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
030731,,,,1,CA,10,Cupressus sempervirens Tiny Tower®,Tiny Tower®  Italian Cypress,CON,con,07,    ,, $9.59 ,,,014949307311,0,1114,1114,02/01/15  ,0,          ,0,          ,, $8.50 , $1.09 
030735,,,,5,OR,5,Cupressus sempervirens Tiny Tower®,Tiny Tower®  Italian Cypress,CON,con,07,    , $32.73 ,,,,014949307359,16,74,74,06/01/15  ,0,          ,0,          ,, $27.50 , $5.23 
030732,,,,2,OR,5,Cupressus sempervirens 'Tiny Tower'®,Tiny Tower®  Italian Cypress,CON,con,07,    , $19.12 ,,,,014949307328,25,0,0,          ,0,          ,0,          ,, $16.50 , $2.62 
046805,,,,5,CA,5,Juniperus chinensis 'Armstrongii'                           ,Armstrong Juniper                                           ,CON,CON,03,    ,, $23.71 ,,,014949468050,47,0,0,          ,0,          ,0,          ,, $18.25 , $5.46 
04687M,,,,10 Squat,GA,2,Juniperus chinensis 'Blue Point'                            ,Blue Point Juniper                                          ,CON,con,04,    ,,, $76.95 ,,014949267493,0,26,26,01/01/15  ,0,          ,0,          ,, $65.00 , $11.95 
046879,,,,15,GA,1,Juniperus chinensis 'Blue Point'                            ,Blue Point Juniper                                          ,CON,CON,04,    ,,, $110.26 ,,014949039762,2,2,2,05/15/15  ,0,          ,0,          ,, $91.00 , $19.26 
046873,,,,3,CT,5,Juniperus chinensis 'Blue Point'                            ,Blue Point Juniper                                          ,CON,CON,04,    ,,,, $18.79 ,014949405482,248,0,0,          ,0,          ,0,          ,, $17.25 , $1.54 
046875,,,,5,CA,5,Juniperus chinensis 'Blue Point'                            ,Blue Point Juniper                                          ,CON,CON,04,    , $31.73 , $31.96 ,,,014949468753,80,80,80,03/01/15  ,0,          ,0,          ,, $26.50 , $5.46 
046877,,,,7,GA,2,Juniperus chinensis 'Blue Point'                            ,Blue Point Juniper                                          ,CON,CON,04,    ,,, $60.41 ,,014949039755,84,84,84,01/01/15  ,0,          ,0,          ,, $51.00 , $9.41 
084651,,,,1,OR,10,Juniperus chinensis 'Daub's Frosted'                        ,Daub's Frosted Juniper                                      ,CON,CON,04,    , $7.30 ,,,,014949846513,0,487,487,05/15/15  ,0,          ,0,          ,, $6.25 , $1.05 
084652,,,,2,OR,5,Juniperus chinensis 'Daub's Frosted'                        ,Daub's Frosted Juniper                                      ,CON,CON,04,    , $16.37 ,,,,014949064573,0,28,28,05/01/15  ,0,          ,0,          ,, $13.75 , $2.62 
084655,,,,5,OR,5,Juniperus chinensis 'Daub's Frosted'                        ,Daub's Frosted Juniper                                      ,CON,CON,04,    , $23.48 ,,,,014949846551,71,71,71,06/01/15  ,0,          ,0,          ,, $18.25 , $5.23 
084655PT,,,,5 PT,OR,2,Juniperus chinensis 'Daub's Frosted'                        ,Daub's Frosted Juniper                                      ,CON,CON,04,    , $66.85 ,,,,014949038871,0,5,5,05/01/15  ,0,          ,0,          ,, $59.00 , $7.85 
084655PT,,,,5 PT,CA,2,Juniperus chinensis 'Daub's Frosted'                        ,Daub's Frosted Juniper                                      ,CON,CON,04,    , $66.85 , $67.19 ,,,014949038871,40,0,0,          ,0,          ,0,          ,, $59.00 , $8.19 
047509,,,,15,GA,1,Juniperus chinensis 'Hetzii Columnaris'                     ,Green Columnar Juniper                                      ,CON,CON,04,    ,,, $110.26 ,,014949475096,0,69,69,05/15/15  ,0,          ,0,          ,, $91.00 , $19.26 
047503,,,,3,CT,5,Juniperus chinensis 'Hetzii Columnaris'                     ,Green Columnar Juniper                                      ,CON,CON,04,    ,,,, $18.79 ,014949405536,345,0,0,          ,0,          ,0,          ,, $17.25 , $1.54 
047505,,,,5,CT,5,Juniperus chinensis 'Hetzii Columnaris'                     ,Green Columnar Juniper                                      ,CON,con,04,    ,,,, $29.55 ,014949475058,13,0,0,          ,0,          ,0,          ,, $26.50 , $3.05 
047507,,,,7,GA,2,Juniperus chinensis 'Hetzii Columnaris'                     ,Green Columnar Juniper                                      ,CON,CON,04,    ,,, $68.41 ,,014949475072,1,52,52,06/01/15  ,0,          ,0,          ,, $59.00 , $9.41 
047605,,,,5,CA,5,Juniperus chinensis 'Hetzii Glauca'                         ,Hetz Blue Juniper                                           ,CON,CON,04,    ,, $23.71 ,,,014949476055,10,0,0,          ,0,          ,0,          ,, $18.25 , $5.46 
048001,,,,1,OR,10,Juniperus chinensis Mint Julep®,Mint Julep®  Juniper,CON,CON,03,    , $7.30 ,, $6.91 ,,014949480014,0,10,10,09/01/14  ,0,          ,0,          ,, $6.25 , $1.05 
