Loc,Item,Size,Description,2014 Catalog Price ,Unit Freight,Minimum Ord Qty,Confirmed Qty Remaining,Date Ready,Condition,Current Specs
CA,061745,#5,GR-MIS SIN CABARET,17.50 ,5.12 , 5 , 10 ,Now         ,-,"15""H"
CA,061565,#5,GR-MIS SIN GRACILLIMUS,17.50 ,5.12 , 5 , 10 ,Now         ,CUT BACK,"5""H"
GA,061575,#5,GR-MIS SIN VARIEGATUS,17.50 ,2.92 , 5 , 10 ,04/15/14    ,,
CA,061645,#5,GR-MIS SIN YAKUSHIMA,17.50 ,5.12 , 5 , 10 ,Now         ,CUT BACK,"5""H"
GA,064271,#1,GR-PENN SET RUBRUM,6.00 ,0.58 , 10 , 20 ,Now         ,,"8""H"
CA,064275,#5,GR-PENN SET RUBRUM,17.50 ,5.12 , 5 , 6 ,Now         ,CUT BACK,"8""H"
GA,05892UT,LittleOne,LIRIOPE SPICATA SILVER DRAGON,3.25 ,0.44 , 16 , 32 ,04/01/14    ,CUT BACK,
GA,00059UT,LittleOne,AJUGA REPTANS BURGUNDY GLOW,2.95 ,0.44 , 16 , 32 ,Now         ,,CAN FULL
GA,00193UT,LittleOne,AJUGA REPTANS CATLIN'S GIANT,2.95 ,0.44 , 16 , 16 ,Now         ,,CAN FULL
GA,003621,#1,ASTILBE CHINENSIS VISIONS,4.75 ,0.58 , 10 , 10 ,Now         ,DORMANT,3-5 EYES
GA,003511,#1,ASTILBE DEUTSCHLAND,4.75 ,0.58 , 10 , 10 ,04/01/14    ,,
GA,003541,#1,ASTILBE RHEINLAND,4.75 ,0.58 , 10 , 10 ,04/01/14    ,,
OR,013651,#1,BRUNNERA MAC VARIEGATA,6.00 ,0.98 , 10 , 10 ,Now         ,EMERGING,.
CA,017412,#2,CANNA TROPICANNA GLD TM P13809,18.50 ,2.56 , 5 , 10 ,Now         ,EMERGING,3-5 EYES
CA,022481,#1,CANNA TROPICANNA TM PP10569,9.00 ,1.02 , 10 , 10 ,04/01/14    ,-,
OR,039512,#2,CIMI S BLACK NEGLIGEE (ACTAEA),16.00 ,2.44 , 5 , 6 ,Now         ,DORMANT,.
GA,024205,#5,COLOCASIA ESC BLACK MAGIC,20.00 ,2.92 , 5 , 6 ,Now         ,,"15""H"
CA,030121,#1,CUPHEA HYS ITSY BITSY R ROSE,4.75 ,1.02 , 10 , 20 ,04/01/14    ,,
GA,030491,#1,CUPHEA HYSSOPIFOLIA,4.75 ,0.58 , 10 , 20 ,Now         ,BUDS & BLOOMS,CAN FULL
OR,021821,#1,DISPOROPSIS PER SICHUAN JADE,6.00 ,0.98 , 10 , 10 ,04/01/14    ,,
