Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
GA,063532,GR-PAN VIR CLOUD NINE,Panicum virgatum 'Cloud Nine'                               ,Cloud Nine Tall Switch Grass                                ,,,,,,,,,,,,,,,,,
GA,022961,GR-PAN VIR NORTHWIND,Panicum virgatum 'Northwind'                                ,Northwind Switch Grass                                      ,,,,,,,,,,,,,,,,,
GA,064261,GR-PENN ALO HAMELN,Pennisetum alopecuroides 'Hameln'                           ,Dwarf Fountain Grass                                        ,,,,,,,,,,,,,,,,,
GA,064262,GR-PENN ALO HAMELN,Pennisetum alopecuroides 'Hameln'                           ,Dwarf Fountain Grass                                        ,,,,,,,,,,,,,,,,,
GA,064263,GR-PENN ALO HAMELN,Pennisetum alopecuroides 'Hameln'                           ,Dwarf Fountain Grass                                        ,,,,,,,,,,,,,,,,,
GA,063591,GR-PENN ALO LITTLE BUNNY,Pennisetum alopecuroides 'Little Bunny'                     ,Little Bunny Dwarf Fountain Grass                           ,,,,,,,,,,,,,,,,,
GA,064181,HESPERALOE BRK LIGHTS R P21729,"Hesperaloe parviflora 'Perpa' P.P. # 21,729                 ",Brakelights®  Red Yucca,,,,,,,,,,,,,,,,,
GA,040805,HIB R AMOUR,Hibiscus rosa-sinensis 'Amour'                              ,Amour Hibiscus                                              ,,,,,,,,,,,,,,,,,
GA,040905PT,HIB R BRILLIANT,Hibiscus rosa-sinensis 'Brilliant'                          ,Brilliant Hibiscus                                          ,,,,,,,,,,,,,,,,,
GA,040985,HIB R CHERIE,Hibiscus rosa-sinensis 'Cherie'                             ,Cherie Hibiscus                                             ,,,,,,,,,,,,,,,,,
GA,025205PT,HIB R ERIN RACHEL,Hibiscus rosa-sinensis 'Erin Rachel'                        ,Erin Rachel Hibiscus                                        ,,,,,,,,,,,,,,,,,
GA,041205,HIB R FULLMOON R,Hibiscus rosa-sinensis 'Monoon'                             ,Fullmoon®  Hibiscus,,,,,,,,,,,,,,,,,
GA,041205PT,HIB R FULLMOON R,Hibiscus rosa-sinensis 'Monoon'                             ,Fullmoon®  Hibiscus,,,,,,,,,,,,,,,,,
GA,041255PT,HIB R GOLDEN DUST,Hibiscus rosa-sinensis 'Golden Dust'                        ,Golden Dust Hibiscus                                        ,,,,,,,,,,,,,,,,,
GA,041305,HIB R HULA GIRL,Hibiscus rosa-sinensis 'Hula Girl'                          ,Hula Girl Hibiscus                                          ,,,,,,,,,,,,,,,,,
GA,041305PT,HIB R HULA GIRL,Hibiscus rosa-sinensis 'Hula Girl'                          ,Hula Girl Hibiscus                                          ,,,,,,,,,,,,,,,,,
GA,060585PT,HIB R KISS & TELL,Hibiscus rosa-sinensis 'Kiss & Tell'                        ,Kiss & Tell Hibiscus                                        ,,,,,,,,,,,,,,,,,
GA,091425,HIB R RED DARLING R,Hibiscus rosa-sinensis 'Hiroshi1'                           ,Red Darling®  Hibiscus,,,,,,,,,,,,,,,,,
GA,091425PT,HIB R RED DARLING R,Hibiscus rosa-sinensis 'Hiroshi1'                           ,Red Darling®  Hibiscus,,,,,,,,,,,,,,,,,
GA,036981,HOSTA APHRODITE,Hosta plantaginea 'Aphrodite'                               ,Aphrodite Plantain Lily                                     ,,,,,,,,,,,,,,,,,
