,,,Future Plant Availability,,,,,,,,,,,,,,,,,,
,,,For:10/13/14  6:38:24   ,,,,,,,,,,,,,,,,,,
,,,Spring 2015         ,,,,,,,,,,,,,,,,,,
OPRPJ038RA,Rep#:  600009,"Bradley, Craig",,,,,,,,,,,,,,,,,,,
Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CT,068351,#1,FRAGARIA ALBION R PP16228,"Fragaria x ananassa 'Albion' P.P.#16,228                    ",Albion Strawberry                                           ,Edible berries/fruit,PRN,03,OLD, 4.25 ,,,     , 10 ,     ," 1,000 ",04/01/15  ,     ,          ,     ,          
OR,06835UT,LittleOne,FRAGARIA ALBION R PP16228,"Fragaria x ananassa 'Albion' P.P.#16,228                    ",Albion Strawberry                                           ,Edible berries/fruit,PRN,03,OLD, 3.10 ,-,CAN FULL,     , 16 , 5 , 77 ,05/01/15  ,     ,          ,     ,          
OR,068341,#1,FRAGARIA TRISTAR,Fragaria Tristar                                            ,Tristar Strawberry                                          ,Edible berries/fruit,PRN,04,, 4.25 ,-,,     , 10 , 3 , 309 ,05/01/15  ,     ,          ,     ,          
CT,068341,#1,FRAGARIA TRISTAR,Fragaria Tristar                                            ,Tristar Strawberry                                          ,Edible berries/fruit,PRN,04,, 4.25 ,,,     , 10 ,     ," 1,000 ",04/01/15  ,     ,          ,     ,          
OR,068361,#1,FRAGARIA X SEASCAPE R,Fragaria x ananassa 'Seascape'                              ,Seascape Strawberry                                         ,Edible berries/fruit,PRN,04,OLD, 4.25 ,CUT BACK,,     , 10 ,     , 200 ,05/01/15  , 737 ,06/01/15  ,     ,          
CT,068361,#1,FRAGARIA X SEASCAPE R,Fragaria x ananassa 'Seascape'                              ,Seascape Strawberry                                         ,Edible berries/fruit,PRN,04,OLD, 4.25 ,,,     , 10 ,     ," 1,000 ",04/01/15  ,     ,          ,     ,          
CT,06836FLT,18 Count FLAT,FRAGARIA X SEASCAPE R,Fragaria x ananassa 'Seascape'                              ,Seascape Strawberry                                         ,Edible berries/fruit,PRN,04,OLD, 22.00 ,-,,     , 1 , 90 ,     ,          ,     ,          ,     ,          
OR,06836UT,LittleOne,FRAGARIA X SEASCAPE R,Fragaria x ananassa 'Seascape'                              ,Seascape Strawberry                                         ,Edible berries/fruit,PRN,04,OLD, 3.10 ,CUT BACK,CAN FULL, 13 , 16 , 13 , 13 ,05/01/15  , 76 ,06/01/15  ,     ,          
CA,092061,#1,GR-MUHLEN LIND AUTUMN GLOW TM,Muhlenbergia lindheimeri 'Leni'                             ,Autumn Glow™  Muhly,Large grass,GRS,06,MSW, 6.50 ,PLUMES,"15""H", 7 , 10 , 7 , 7 ,04/01/15  ,     ,          ,     ,          
CA,092065,#5,GR-MUHLEN LIND AUTUMN GLOW TM,Muhlenbergia lindheimeri 'Leni'                             ,Autumn Glow™  Muhly,Large grass,GRS,06,MSW, 18.75 ,PLUMES,"24""H *", 9 , 5 , 9 , 9 ,04/01/15  ,     ,          ,     ,          
OR,050961,#1,HEBE JASPER,Hebe 'Jasper'                                               ,Hebe Jasper                                                 ,Evergreen early flower'g shrub,EVS,07,, 7.25 ,-,6''H - 6''S, 11 , 10 ,     , 11 ,05/01/15  ,     ,          ,     ,          
CT,059932,#2,HEM ROSY RETURNS,Hemerocallis x 'Rosy Returns'                               ,Happy Ever Appster(R) Daylily                               ,Hemerocallis,PRN,04,, 10.50 ,,, 20 , 5 ,     , 143 ,05/01/15  ,     ,          ,     ,          
GA,041171,#1,HEUCHERELLA SWEET TEA PPAF,"Heucherella 'Sweet Tea' P.P.#21,296                         ",Sweet Tea Foamy Bells                                       ,Shade foliage/flower,PRN,04,TNN, 6.95 ,,, 30 , 10 ,     , 30 ,04/15/15  ,     ,          ,     ,          
GA,044671,#1,HOSTA STAINED GLASS PPAF,Hosta x 'Stained Glass' P.P.A.F.                            ,Stained Glass Plantain Lily                                 ,Hosta,PRN,03,OLD, 7.15 ,,1-3 YEYS, 10 , 10 ,     , 10 ,05/01/15  , 687 ,05/12/15  ,     ,          
CT,044672,#2,HOSTA STAINED GLASS PPAF,Hosta x 'Stained Glass' P.P.A.F.                            ,Stained Glass Plantain Lily                                 ,Hosta,PRN,03,OLD, 10.50 ,,,     , 5 ,     , 10 ,04/15/15  ,     ,          ,     ,          
OR,043121,#1,KNIPHOFIA HIR FIRE DANCE,Kniphofia hirsuta 'Fire Dance'                              ,Fire Dance Dwarf Poker                                      ,Mid/late interm. flowering,PRN,04,, 5.75 ,-,CAN FULL, 16 , 10 ,     , 16 ,06/01/15  ,     ,          ,     ,          
CT,043121,#1,KNIPHOFIA HIR FIRE DANCE,Kniphofia hirsuta 'Fire Dance'                              ,Fire Dance Dwarf Poker                                      ,Mid/late interm. flowering,PRN,04,, 5.75 ,,,     , 10 ,     , 892 ,05/15/15  ,     ,          ,     ,          
CT,06224UT,LittleOne,LEPTINELLA X PLATT'S BLACK,Leptinella x 'Platt's Black'                                ,Platt's Black Brass Buttons                                 ,Ground cover,PRN,04,, 3.10 ,,CAN FULL,     , 16 ,     , 872 ,04/01/15  ,     ,          ,     ,          
GA,06224UT,LittleOne,LEPTINELLA X PLATT'S BLACK,Leptinella x 'Platt's Black'                                ,Platt's Black Brass Buttons                                 ,Ground cover,PRN,04,, 3.10 ,-,CAN FULL, 16 , 16 ,     , 16 ,04/01/15  ,     ,          ,     ,          
