item,Description,branch
077365,YUCCA R BANANA SPLIT R P14616,170000
077367,YUCCA R BANANA SPLIT R P14616,170000
077351,YUCCA RECURV (PENDULA),170000
077355,YUCCA RECURV (PENDULA),170000
077357,YUCCA RECURV (PENDULA),170000
074015,YUCCA RIGIDA,170000
074019,YUCCA RIGIDA,170000
022245,YUCCA ROS SAPPHIRE SKIES,170000
025561,YUCCA ROSTRATA,170000
025565,YUCCA ROSTRATA,170000
025569,YUCCA ROSTRATA,170000
