Location,New Plant / Size,Item,Size,Plant Name,Common Name,CAT,Zone,2015 List Price,2015 NET PRICE,Casino Interior/Container,Casino Exterior,Early Spring,Mid Spring,Late Spring,Summer,ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND 
QTY READY DATE",DESCRIPTION / NOTES
CA,    ,013051BH,#1 BUSH,BOUG PURPLE QUEEN® ,Purple Queen®  Bougainvillea,VIN,10,7.25,6.53,X,,,X,X,X,,, 45 ,04/01/15  ,
CA,    ,013052,#2 STAKED,BOUG PURPLE QUEEN® ,Purple Queen®  Bougainvillea,VIN,10,18.00,16.20,X,,,X,X,X,,, 32 ,04/01/15  ,
CA,    ,013055,#5 STAKED,BOUG PURPLE QUEEN® ,Purple Queen®  Bougainvillea,VIN,10,24.50,22.05,X,,X,X,X,X,,177,,,
CA,    ,013211BH,#1 BUSH,BOUG RASPBERRY ICE,Raspberry Ice Bougainvillea                                 ,VIN,10,7.25,6.53,X,,,X,X,X,,, 591 ,04/01/15  ,Variegated green & white foliage with hot pink flowers. Bush form; can be a houseplant
CA,    ,013231BH,#1 BUSH,BOUG ROSENKA,Rosenka Bougainvillea                                       ,VIN,10,7.25,6.53,X,,,X,X,X,,, 794 ,04/01/15  ,Two-toned bloom being hot pink & gold. Bush form; can be a houseplant
CA,    ,013255,#5 STAKED,BOUG SCARLETT OHARA (San Diego Red),Scarlett O'Hara Bougainvillea                               ,VIN,10,24.50,22.05,X,,X,X,X,X,,, 191 ,03/15/15  ,
CA,    ,038141,#1 STAKED,BOUG SHARON WESLEY,Sharon Wesley Bougainvillea                                 ,VIN,10,7.25,6.53,X,,X,X,X,X,,416,,,Heavy flowering variety with bright reddish-pink flowers. Climbing form; can be a houseplant
CA,    ,038145,#5 STAKED,BOUG SHARON WESLEY,Sharon Wesley Bougainvillea                                 ,VIN,10,24.50,22.05,X,,X,X,X,X,,36,,,
CA,X,095742BH,#2 BUSH,BOUG SUNVILLEA™ CREAM P22112,Sunvillea™  Cream Dwarf Bougainvillea,VIN,09,18.50,16.65,X,,X,X,X,X,,, 97 ,03/15/15  ,Fantastic new Bougainvillea series. Compact habit resembling B. Torch Glow but more dwarf. This variety has warm creamy colored blooms; can be a houseplant
CA,X,095732BH,#2 BUSH,BOUG SUNVILLEA™ ROSE PP23272,Sunvillea™  Rose Dwarf Bougainvillea,VIN,09,18.50,16.65,X,,,X,X,X,,, 224 ,04/01/15  ,Fantastic new Bougainvillea series. Compact habit resembling B. Torch Glow but more dwarf. Perfect for containers. Vibrant pink flowers; can be a houseplant
CA,    ,012675BH,#5 BUSH,BOUG TORCH GLOW,Torch Glow Bougainvillea                                    ,VIN,10,23.00,20.70,X,,X,X,X,X,,, 18 ,03/15/15  ,Reddish-pink. Compact bush form with small triangular leaves; can be a houseplant
CA,,090141BH,#1 BUSH,BOUG YANI'S DELIGHT,Yani's Delight Bougainvillea                                ,VIN,09,7.25,6.53,X,,,X,X,X,,, 71 ,04/01/15  ,A unique bougainvillea that has variegated pink & white bracts. Bush form; can be a houseplant
OR,    ,013651,#1,BRUNNERA MAC VARIEGATA,Variegated Siberian Bugloss                                 ,PRN,03,6.95,6.26,X,,,X,,,,, 841 ,04/01/15  ,
CA,    ,013651,#1,BRUNNERA MAC VARIEGATA,Variegated Siberian Bugloss                                 ,PRN,03,6.95,6.26,X,,,X,,,,, 293 ,04/01/15  ,
CA,    ,034661S,SuperOne TM,BUDDLEJA DAV ADONIS BLUE™ ,English Butterfly™  Adonis Blue™  Butterfly Bush,DCS,05,9.50,8.55,X,,,,X,X,,, 281 ,04/01/15  ,
CA,    ,013571,#1,BUDDLEJA DAV PETITE SNOW™ ,Petite Snow™  Butterfly Bush,DCS,05,6.25,5.63,X,,,,X,X,,, 37 ,04/01/15  ,
CA,    ,013572,#2,BUDDLEJA DAV PETITE SNOW™ ,Petite Snow™  Butterfly Bush,DCS,05,14.50,13.05,X,,,,X,X,,48,,,
