Loc,Item,Plant Name,CAT,Zone,,,,,,,,
170000,063991,STEVIA REBAUDIANA,PRN,09,,,,,,,,
160000,406721,STOKESIA LAEVIS BLUE DANUBE,PRN,05,,,,,,,,
160000,065641,STOKESIA LAEVIS COLORWHEEL,PRN,05,,,,,,,,
160000,022511,STOKESIA LAEVIS PEACHIE'S PICK,PRN,05,,,,,,,,
170000,071705,STRELITZIA NICOLAI,EVS,09,,,,,,,,
170000,071751,STRELITZIA REGINAE,EVS,09,,,,,,,,
170000,071755,STRELITZIA REGINAE,EVS,09,,,,,,,,
170000,047912,STROMANTHE SANG TRIOSTAR,PRN,10,,,,,,,,
170000,072211,TABERNAEMONTANA FLORE PLENO,EVS,09,,,,,,,,
170000,072215,TABERNAEMONTANA FLORE PLENO,EVS,09,,,,,,,,
170000,012541,TECOMA STANS GOLD STAR,EVS,09,,,,,,,,
170000,012542,TECOMA STANS GOLD STAR,EVS,09,,,,,,,,
170000,072551,TECOMARIA CAPENSIS,VIN,09,,,,,,,,
170000,072555,TECOMARIA CAPENSIS,VIN,09,,,,,,,,
170000,418621,TECOMARIA CAPENSIS SALMON,VIN,10,,,,,,,,
170000,072741,TEUCRIUM FRUTICANS AZUREUM,EVS,08,,,,,,,,
170000,072742,TEUCRIUM FRUTICANS AZUREUM,EVS,08,,,,,,,,
170000,075941,THYMUS HI HO SILVER,PRN,05,,,,,,,,
160000,05124UT,THYMUS PRA PINK CHINTZ,PRN,04,,,,,,,,
160000,412851,TIARELLA JEEPERS CRPRS PP13437,PRN,04,,,,,,,,
160000,047561,TIARELLA X SUGAR&SPICE PP16738,PRN,03,,,,,,,,
170000,039751,TIBOUCHINA LEPIDOTA,EVS,10,,,,,,,,
170000,039755,TIBOUCHINA LEPIDOTA,EVS,10,,,,,,,,
170000,039755PT,TIBOUCHINA LEPIDOTA,EVS,10,,,,,,,,
170000,066305,TIBOUCHINA URVILLEANA,EVS,10,,,,,,,,
170000,070051,TRACH JASMINOIDES,VIN,08,,,,,,,,
170000,070051ST,TRACH JASMINOIDES,VIN,08,,,,,,,,
170000,070052ST,TRACH JASMINOIDES,VIN,08,,,,,,,,
170000,070055,TRACH JASMINOIDES,VIN,08,,,,,,,,
170000,070055ES,TRACH JASMINOIDES,VIN,08,,,,,,,,
170000,070055ST,TRACH JASMINOIDES,VIN,08,,,,,,,,
160000,072611,TRADESCANTIA BLU&GLD(SWT KATE),PRN,03,,,,,,,,
