Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code
GA,022482,CANNA TROPICANNA TM PP10569,"Canna indica 'Phasion' P.P.# 10,569                         ",Tropicanna®  Canna,Tropical perennial,PRN,07,ATI
OR,023481,CERATOSTIGMA PLUMBAGINOIDES,Ceratostigma plumbaginoides                                 ,Dwarf Plumbago                                              ,Mid/late interm. flowering,PRN,05,
GA,412571,CHRY (LEU) REAL GALAXY PPAF,Chrysanthemum 'Real Galaxy' P.P.A.F.                        ,Real Galaxy Shasta Daisy                                    ,Mid spring interm. flowering,PRN,05,PHI
CT,407861,CHRY (LEUCA) X REAL GLORY,Chrysanthemum 'Real Glory' P.P.A.F.                         ,Real Glory Shasta Daisy                                     ,Mid spring interm. flowering,PRN,05,
CT,404522,CHRY (LEUCA) X SUP MONTAUK,Leucanthemum x superbum 'Montauk'                           ,Montauk Shasta Daisy                                        ,Mid spring interm. flowering,PRN,05,
CT,40159UT,CHRYS (LEUCANTH) X FREAK PPAF,Chrysanthemum (Leucanthemum x superbum 'Leuzoo1' P.P.A.F.   ,Freak! Shasta Daisy                                         ,Mid spring interm. flowering,PRN,05,
OR,023021,CHRYS (LEUCANTH) X SUP BECKY,Chrysanthemum x superbum 'Becky'                            ,Becky Shasta Daisy                                          ,Mid spring interm. flowering,PRN,05,
CT,02661UT,CHRYS (LEUCANTH) X SUP CRAZY,Leucanthemum x superbum 'Crazy Daisy' P.P.A.F.              ,Crazy Shasta Daisy                                          ,Mid spring interm. flowering,PRN,05,
OR,004221,CHRYS (LEUCANTH) X SUP SNOWCAP,Chrysanthemum x superbum 'Snowcap' (Leucanthemum)           ,Snowcap Shasta Daisy                                        ,Mid spring interm. flowering,PRN,05,
GA,078721,CORE BIGBANG TM CSMC EY P22601,"Coreopsis x 'Cosmic Eye' P.P.#22,601                        ",Big Bang™  Cosmic Eye Tickseed,Mid/late border flowering,PRN,05,SBN
CA,088891,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,Mid/late border flowering,PRN,05,SBN
OR,068081,CORE BIGBANG TM RDSHFT PP20412,"Coreopsis x 'Redshift' P.P.# 20,412                         ",Big Bang™  Redshift Tickseed,Mid/late border flowering,PRN,05,SBN
GA,018401,CORE CRUZIN' TM BROAD STRT PAF,"Coreopsis verticillata 'Broad Street' P.P. #24,598          ",Broad Street Tickseed (Cruizin' Series)                     ,Mid/late border flowering,PRN,05,ITS
CT,018421,CORE CRUZIN' TM ELCTRC AVE PAF,"Coreopsis verticillata 'Electric Avenue' P.P.#24,688        ",Electric Avenue Tickseed (Cruizin' Series)                  ,Mid/late border flowering,PRN,05,ITS
GA,018411,CORE CRUZIN' TM MAIN STRT PAF,"Coreopsis verticillata 'Main Street' P.P.#24,562            ",Main Street Tickseed (Cruizin' Series)                      ,Mid/late border flowering,PRN,05,ITS
CT,027911,CORE GRA FLYING SAUCERS P10299,Coreopsis grandiflora 'Flying Saucers' P.P.# 10299          ,Flying Saucers Tickseed                                     ,Mid/late border flowering,PRN,05,PHI
CT,408551,CORE LIL' BANG TM DAYBREAK PAF,Coreopsis 'Daybreak' P.P.A.F.                               ,Lil' Bang™  Daybreak Tickseed,Mid/late border flowering,PRN,05,SBN
GA,408541,CORE LIL' BANG TM RED ELF,Coreopsis x 'Red Elf' P.P.A.F.                              ,Lil' Bang™  Red Elf Tickseed,Mid/late border flowering,PRN,05,SBN
CT,408531,CORE LIL' BANG TM STARLIGHT,Coreopsis 'Starlight' P.P.A.F.                              ,Lil' Bang™  Starlight Tickseed,Mid/late border flowering,PRN,05,SBN
GA,02795UT,COREOPSIS AURICULATA NANA,Coreopsis auriculata 'Nana'                                 ,Dwarf Tickseed                                              ,Mid/late border flowering,PRN,04,
GA,02898UT,COREOPSIS AURICULATA ZAMPHIR,Coreopsis auriculata 'Zamphir'                              ,Zamphir Dwarf Tickseed                                      ,Mid/late border flowering,PRN,04,
