Loc,Item Number,Plant Category,Plant Name
GA,40705,DCS,LAG RASPBERRY DAZZLE R PP17216
GA,009029BH,DCS,LAG RED ROCKET R PP11342
GA,9037,DCS,LAG TUSCARORA
GA,9039,DCS,LAG TUSCARORA
GA,56611,PRN,LANTANA CAM AMERICAN RED
GA,56641,PRN,LANTANA CAM MARY ANN
GA,9131,PRN,LANTANA CAM MOZELLE
GA,009133PT,PRN,LANTANA CAM MOZELLE
GA,056633PT,PRN,LANTANA CHAPEL HILL YLW P19548
GA,056953PT,PRN,LANTANA CONFETTI TM
GA,9091,PRN,LANTANA NEW GOLD
GA,009093PT,PRN,LANTANA NEW GOLD
GA,057231SPT,PRN,LANTANA S LAVENDER SWIRL R
GA,057153PT,PRN,LANTANA SUNBURST TM
GA,057203PT,PRN,LANTANA TANGERINE TM
CA,24461,PRN,LANTANA TEENIE GENIE R PP17612
GA,24461,PRN,LANTANA TEENIE GENIE R PP17612
OR,79932,EVS,LAURUS NOB LITTLE RAGU TM PPAF
CA,05729EPT,EVS,LAURUS NOBILIS
CA,057295PT,EVS,LAURUS NOBILIS
CT,60321,PRN,LEUCOSCEPTRUM JAP GOLDEN ANGEL
CA,058205P2,EVS,LIGUSTRUM TEXANUM
GA,36541,GRS,LIRIOPE EMRLD GODDESS R P15471
GA,58921,GRS,LIRIOPE SPICATA SILVER DRAGON
OR,059055ST,VIN,LONICERA JAP HALLIANA
CA,059055ST,VIN,LONICERA JAP HALLIANA
GA,60439,TRE,MAG G BRACKENS BROWN BEAUTY
GA,59439,TRE,MAG G LITTLE GEM
GA,60905,EVS,MAHONIA BEALEI
GA,61201,VIN,MAN ALICE DU PONT
GA,61205,VIN,MAN ALICE DU PONT
GA,85801,VIN,MAN BRIDE'S CASCADE PPAF
GA,61191,VIN,MAN PNK PRFT R P11787-P6300547
GA,09238UT,VIN,MAN SUN PAR R GARDEN CRIMSON
CA,57085,VIN,MAN SUN PAR R GIANT PNK P15202
GA,57065,VIN,MAN SUN PAR R GNT WHITE P11556
CA,61291,VIN,MAN TANGO TWIRL R P14290
GA,61291,VIN,MAN TANGO TWIRL R P14290
CT,38512,CON,MICROBIOTA DRWS BLUE TM P20298
