Loc,Item Number,Size,Plant Name,Common Name,CAT,Zone,ORDER QTY
OR,033602,#2,EUO ALATUS COMPACTUS,Dwarf Burning Bush                                                                                  ,DCS,04,
OR,033651,#1,EUO F CANADALE GOLD,Canadale Gold Wintercreeper                                                                         ,EVS,04,
OR,034451,#1,EUO F IVORY JADE,Ivory Jade Wintercreeper                                                                            ,EVS,04,
OR,034452,#2,EUO F IVORY JADE,Ivory Jade Wintercreeper                                                                            ,EVS,04,
CA,034501,#1,EUO F MOONSHADOW,Moonshadow Wintercreeper                                                                            ,EVS,04,
OR,034502,#2,EUO F MOONSHADOW,Moonshadow Wintercreeper                                                                            ,EVS,04,
OR,019201,#1,EUO F SUNRISE PP12341,Sunrise Wintercreeper                                                                               ,EVS,04,
OR,019202,#2,EUO F SUNRISE PP12341,Sunrise Wintercreeper                                                                               ,EVS,04,
CA,034802,#2,EUO J AUREO MARGINATUS,Golden Euonymus                                                                                     ,EVS,06,
CA,034901,#1,EUO J AUREOVARIEGATUS,Gold Spot Euonymus                                                                                  ,EVS,06,
CA,034902,#2,EUO J AUREOVARIEGATUS,Gold Spot Euonymus                                                                                  ,EVS,06,
CA,033661,#1,EUO J CHOLLIPO,Chollipo Euonymus                                                                                   ,EVS,06,
CA,035005,#5,EUO J GRANDIFOLIUS,Japanese Euonymus                                                                                   ,EVS,06,
CA,035051,#1,EUO J GREEN SPIRE,Green Spire Euonymus                                                                                ,EVS,06,
CA,035052,#2,EUO J GREEN SPIRE,Green Spire Euonymus                                                                                ,EVS,06,
CA,035055,#5,EUO J GREEN SPIRE,Green Spire Euonymus                                                                                ,EVS,06,
CA,035121,#1,EUO J MICRO SUNNY DELIGHT R,Sunny Delight®  Boxleaf Euonymus                                                                    ,EVS,06,
CA,035122,#2,EUO J MICRO SUNNY DELIGHT R,Sunny Delight®  Boxleaf Euonymus                                                                    ,EVS,06,
CA,035151,#1,EUO J MICRO VARIEGATUS,Variegated Boxleaf Euonymus                                                                         ,EVS,06,
CA,035101,#1,EUO J MICROPHYLLUS,Boxleaf Euonymus                                                                                    ,EVS,06,
CA,035102,#2,EUO J MICROPHYLLUS,Boxleaf Euonymus                                                                                    ,EVS,06,
CA,035201,#1,EUO J SILVER KING,Silver King Euonymus                                                                                ,EVS,06,
CA,035202,#2,EUO J SILVER KING,Silver King Euonymus                                                                                ,EVS,06,
CA,035401,#1,EUO KIA MANHATTAN,Manhattan Euonymus                                                                                  ,EVS,05,
CA,035402,#2,EUO KIA MANHATTAN,Manhattan Euonymus                                                                                  ,EVS,05,
OR,035855,#5,FAGUS SYL PURPLE FOUNTAIN,Purple Fountain Beech                                                                               ,TRE,04,
