Loc,Item,Size,Description,Botanical Name,Common Name,Zone,Condition,Current Specs,Qty Open,Qty Alloc Rem Thru 12/31/13,Qty Alloc Rem Thru 06/30/14,Net Avail Qty,Min Order Qty,List Price,Net Price,Sale Price,AVL Flag,,
CA,001751,#1,AGAPANTHUS PETER PAN,Agapanthus africanus 'Peter Pan'                            ,Dwarf Lily Of The Nile                                      ,08,BUDS,3-5 FANS,     ,     , 55 , 55 , 10 , 5.50 , 4.24 ,          , ,,
GA,001881,#1,AGAPANTHUS X MIDKNIGHT BLUE R,Agapanthus x 'Monmid'                                       ,Midknight Blue®  Agapanthus,06,,3-5 FANS, 10 ,     , 340 , 350 , 10 , 7.00 , 5.39 ,          ,I,,
CA,001882,#2,AGAPANTHUS X MIDKNIGHT BLUE R,Agapanthus x 'Monmid'                                       ,Midknight Blue®  Agapanthus,06,BUDS,5-7 FANS, 131 ,     ,     , 131 , 5 , 15.50 , 11.94 ,          ,I,,
GA,001882,#2,AGAPANTHUS X MIDKNIGHT BLUE R,Agapanthus x 'Monmid'                                       ,Midknight Blue®  Agapanthus,06,,5-7 FANS, 211 ,     , 90 , 211 , 5 , 15.50 , 11.94 ,          ,I,,
GA,001885,#5,AGAPANTHUS X MIDKNIGHT BLUE R,Agapanthus x 'Monmid'                                       ,Midknight Blue®  Agapanthus,06,SPIKES,"12""H", 469 ,     ,     , 469 , 5 , 22.50 , 17.33 ,          ,I,,
GA,080081,#1,AGASTACHE SUMMER LOVE PP20510,"Agastache 'Summer Love' P.P.#20,510                         ",Summer Love Hyssop                                          ,06,,CAN FULL,     ,     , 10 , 10 , 10 , 4.75 , 3.66 ,          , ,,
OR,021251,#1,AGASTACHE X BLUE FORTUNE,Agastache 'Blue Fortune'                                    ,Blue Fortune Hyssop                                         ,05,EMERGING,., 727 ,     ,     , 727 , 10 , 4.75 , 3.66 ,          , ,,
CA,074122,#2,AGAVE BRACTEOSA CALAMAR,Agave bracteosa 'Calamar'                                   ,Calamar Squid Agave                                         ,08,-,"4""H - 10""S"," 1,095 ",     ,     ," 1,095 ", 5 , 17.75 , 13.67 ,          ,I,,
CA,021599,#15,AGAVE DESMETTIANA VARIEGATA,Agave desmettiana 'Variegata'                               ,Variegated Dwarf Agave                                      ,09,-,18''H - 20''S, 69 ,     ,     , 69 , 1 , 50.00 , 38.50 ,          , ,,
CA,068812,#2,AGAVE POTATORUM KISSHO KAN,Agave potatorum 'Kissho Kan'                                ,Lucky Crown Century Plant                                   ,09,-,"4""H - 8""S", 117 ,     ,     , 117 , 5 , 17.75 , 13.67 ,          , ,,
OR,08030UT,LittleOne,AJUGA CHOCOLATE CHIP,Ajuga x 'Chocolate Chip'                                    ,Chocolate Chip Carpet Bugle                                 ,04,BUDS,PA1, 93 ,     ,     , 93 , 16 , 2.95 , 2.27 ,          , ,,
GA,08030UT,LittleOne,AJUGA CHOCOLATE CHIP,Ajuga x 'Chocolate Chip'                                    ,Chocolate Chip Carpet Bugle                                 ,04,,CAN FULL," 4,272 ",     , 80 ," 4,352 ", 16 , 2.95 , 2.27 ,          , ,,
OR,00189UT,LittleOne,AJUGA REPTANS BRONZE BEAUTY,Ajuga reptans 'Bronze Beauty'                               ,Bronze Beauty Carpet Bugle                                  ,04,BUDS,PA1, 66 ,     ,     , 66 , 16 , 2.95 , 2.27 ,          , ,,
GA,00189UT,LittleOne,AJUGA REPTANS BRONZE BEAUTY,Ajuga reptans 'Bronze Beauty'                               ,Bronze Beauty Carpet Bugle                                  ,04,,CAN FULL,     ,     , 48 , 48 , 16 , 2.95 , 2.27 ,          ,I,,
OR,00059UT,LittleOne,AJUGA REPTANS BURGUNDY GLOW,Ajuga reptans 'Burgundy Glow'                               ,Burgundy Glow Carpet Bugle                                  ,04,BUDS,PA1, 16 ,     ,     , 16 , 16 , 2.95 , 2.27 ,          , ,,
GA,00059UT,LittleOne,AJUGA REPTANS BURGUNDY GLOW,Ajuga reptans 'Burgundy Glow'                               ,Burgundy Glow Carpet Bugle                                  ,04,,CAN FULL, 860 ,     ,     , 860 , 16 , 2.95 , 2.27 ,          ,I,,
OR,001931,#1,AJUGA REPTANS CATLIN'S GIANT,Ajuga reptans 'Catlin's Giant'                              ,Catlin's Giant Carpet Bugle                                 ,03,BUDS,PA1, 80 ,     ,     , 80 , 10 , 4.75 , 3.66 ,          , ,,
CA,001931,#1,AJUGA REPTANS CATLIN'S GIANT,Ajuga reptans 'Catlin's Giant'                              ,Catlin's Giant Carpet Bugle                                 ,03,BUDS,CAN FULL, 1 ,     ,     , 1 , 10 , 4.75 , 3.66 ,          , ,,
GA,001931,#1,AJUGA REPTANS CATLIN'S GIANT,Ajuga reptans 'Catlin's Giant'                              ,Catlin's Giant Carpet Bugle                                 ,03,LIGHT BUD & BLOOM,CAN FULL," 3,056 ",     ,     ," 3,056 ", 10 , 4.75 , 3.66 ,          ,I,,
