GA#,"Product 
Category",Category 2,Item,Size,"Stock
Type","Fall
Selling
Factor","Item
Selling
Factor","Cold 
Zone","Plant
Rank","Royalty 
Flag",Description,"Orig
Start Date","Ready/
Effective 
Date","Expire 
Date",WO#,Lot#,"Stock 
Location","Assembly 
Seq Priorty","WO 
Status",WIP Qty,F/G Qty,"Unit 
Cost","Extended
Cost","Next 
Location","Qty 
Committed",Qty Held,"Lot 
Status","Release 
Date","Last 
Cycle Count",Memo Lot1,Memo Lot2,Memo Lot3,Item Comment,Item Specs,"Plant Status
Best by Date","Comment 
Expiration 
Date","Intro 
Year","BMP 
Code","Crop 
Code","EQU 
Factor","EQUs
On Hand",Price,Value,
45- 500004,PRN,Hosta,083972,2,S,100,A,04,C,,HOSTA SUM & SUBSTANCE,04/15/15,04/15/15,11/15/15,0,C3-44207402-14,4J 9 W H,,,0,139,4.9000 ,681.10 ,,0,139,,,,BUDS & BLOOMS,,,,,,,2001,A0,,2.30,319.70 ,10.50 ,"1,459.50 ",
45- 500051,PRN,Hosta,409691X,1X,M,,A,03,,BHC,HOSTA SUNSET GROOVES,06/17/14,04/01/15,12/31/15,0,NB7016,7GH3,,,0,5,2.1300 ,10.65 ,,0,0,,,,,,,,,,,5000,A0,,1.00,5.00 ,0.00 ,0.00 ,
45- 500004,PRN,Hosta,016301,1,S,100,A,03,C,,HOSTA TOKUDAMA FLAVOCIRCINALIS,02/10/15,04/28/15,11/30/15,162067,162067,4K 3 E,,45,168,0,2.3449 ,393.94 ,,0,0,,,,,MN green,,,,,,2013,A0,,1.00,168.00 ,5.50 ,924.00 ,
45- 500004,PRN,Hosta,409341X,1X,M,,A,03,,BHC,HOSTA VER 0118,06/17/14,04/01/15,12/31/15,0,NB7018,7GH3,,,0,5,2.1300 ,10.65 ,,0,0,,,,,,,,,,,5000,A0,,1.00,5.00 ,0.00 ,0.00 ,
45- 500004,PRN,Hosta,093131,1,S,100,A,03,,,HOSTA VICTORY,09/10/14,05/15/16,11/30/16,159615,159615,4Q 6 W,,45,857,0,4.1551 ,"3,560.93 ",,0,0,,,,,MN green,,,,,,2015,A0,,1.00,857.00 ,5.50 ,"4,713.50 ",
45- 500004,PRN,Hosta,403581S,1S,S,100,A,03,,,HOSTA VULCAN,05/01/14,04/28/15,11/28/15,0,C3-44188291-14,4MH20,,,0,183,2.9800 ,545.34 ,,0,0,,,11/17/14,,MN GREEN,,DORMANT,,PS0,7/25/2015,,A0,,1.40,256.20 ,8.50 ,"1,555.50 ",
45- 500004,PRN,Hosta,041851,1,S,100,A,03,C,,HOSTA WIDE BRIM,08/10/14,05/15/16,11/30/16,158128,158128,4Q 7 E,,45,860,0,3.5426 ,"3,046.65 ",,0,0,,,,,MN green,,,,,,1995,A0,,1.00,860.00 ,5.50 ,"4,730.00 ",
45- 500004,PRN,Hosta,041852,2,S,100,A,03,C,,HOSTA WIDE BRIM,08/22/14,06/01/16,11/30/16,159007,159007,4Q 3 E,,45,974,0,3.5911 ,"3,497.75 ",,0,0,,,,,MN green,,,,,,1995,A0,,2.30,"2,240.20 ",10.50 ,"10,227.00 ",
45- 500004,PRN,Hosta,082011,1,S,100,A,03,C,Y,HOSTA X LIBERTY,04/15/15,05/15/15,10/15/15,0,C3-44204514-14,4MH26,,,0,71,2.1300 ,151.23 ,,0,0,,,11/24/14,,,,DORMANT,,PS0,7/25/2015,2013,A0,,1.00,71.00 ,5.50 ,390.50 ,
45- 500004,PRN,Hosta,082012,2,S,100,A,03,C,Y,HOSTA X LIBERTY,08/22/14,06/01/16,11/30/16,159004,159004,4Q 3 W,,45,957,0,5.6037 ,"5,362.73 ",,0,0,,,,,MN green,,,,,,2013,A0,,2.30,"2,201.10 ",10.50 ,"10,048.50 ",
