Item,Size,Description
028131,#1,LAVANDULA X INT PROVENCE
019522,#2,PAEONIA X BOWL OF BEAUTY (PK)
016252,#2,PAEONIA X BOWL OF CREAM (WT)
050282,#2,PAEONIA X BUCKEYE BELLE (RED)
078762S,SuperTwo,AZ BLM-A-THON TM DB PK PP21477
078772S,SuperTwo,AZ BLM-A-THON TM RED PP21562
019745,#5,RHOD (H-1) RTR SLAM DUNK
010202,#2,RHOD (H-2) SCARLET WONDER DWRF
010502,#2,RHOD (H-3) YELLOW PETTICOATS
071652PT,#2 PATIO TREE,ROSA BRIDAL SUNBLAZE R P10002
036292,#2,ROSA FLWR CAR R AMBER PPAF
036295PT,#5 PATIO TREE,ROSA FLWR CAR R AMBER PPAF
036382,#2,ROSA FLWR CAR R PNK SUP P16276
036385PT,#5 PATIO TREE,ROSA FLWR CAR R PNK SUP P16276
070215PT,#5 PATIO TREE,ROSA FLWR CAR R WHITE P9573
069382PT,#2 PATIO TREE,ROSA GOLDEN SUNBLAZE R P8493
077492S,SuperTwo,ROSA HOME RUN R RED PP18552
030905PT,#5 PATIO TREE,ROSA KNCK OUT R DBL RD P16202
022155PT,#5 PATIO TREE,ROSA KNCK OUT R P15070 (PINK)
028762PT,#2 PATIO TREE,ROSA LAVENDER SUNBLAZ R P11025
037822PT,#2 PATIO TREE,ROSA RAINBOW SUNBLAZE R P17481
079892PT,#2 PATIO TREE,ROSA SALMON SUNBLAZE R P10015
037125ST,#5 STAKED,ROSA-CL-CRIMSON SKY TM PP18564
051095ST,#5 STAKED,ROSA-CL-GARDEN SUN TM PPAF
000952ST,#2 STAKED,ACER PAL CRIMSON QUEEN
000959ST,#15 STAKED,ACER PAL CRIMSON QUEEN
010395ST,#5 STAKED,ACER PAL RED DRAGON R
01039MST,#10 Squat STAKED,ACER PAL RED DRAGON R
027585,#5,CORNUS X STELLAR PINK R
036785,#5,FICUS CAR BROWN TURKEY
036795,#5,FICUS CAR KADOTA
036815,#5,FICUS CAR MISSION
077605,#5,FICUS CORKY'S HONEY DELIGHT TM
060439,#15,MAG G BRACKENS BROWN BEAUTY
020109,#15,MAG G TEDDY BEAR R PP13049
063751,#1,PALM-CYCAS REVOLUTA
001391,#1 STAKED,ACTINIDIA ARG ISSAI (FEMALE)
022711,#1 STAKED,CAMPSIS BALBOA SUNSET R
021792,#2 STAKED,CLEM PIILU TM PPAF
021862,#2 STAKED,CLEM SAPPHIRE INDIGO TMPP17012
027301S,SuperOne TM STAKED,CLEM VIT MADAME JULIA CORREVON
041702,#2 STAKED,HYD PETIOLARIS
041705,#5 STAKED,HYD PETIOLARIS
059051ST,#1 STAKED,LONICERA JAP HALLIANA
059101ST,#1 STAKED,LONICERA JAP PURPUREA
059271,#1 STAKED,LONICERA X BRO DROPMORE SCARLT
061201,#1 STAKED,MAN ALICE DU PONT
061195,#5 STAKED,MAN PNK PRFT R P11787-P6300547
045012,#2 STAKED,MAN SUN PAR R CRIMSON PP15539
09238UT,LittleOne,MAN SUN PAR R GARDEN CRIMSON
057082,#2 STAKED,MAN SUN PAR R GIANT PNK P15202
057062,#2 STAKED,MAN SUN PAR R GNT WHITE P11556
060792,#2 STAKED,PASSIFLORA CAERULEA
070051ST,#1 STAKED,TRACH JASMINOIDES
072031,#1 STAKED,VIGNA CARACALLA
076261,#1 STAKED,VITIS VIN THOMPSON SEEDLESS
076811,#1 STAKED,WISTERIA FRU AMETHYST FALLS
076815,#5 STAKED,WISTERIA FRU AMETHYST FALLS
,Totals:,
