Location,Item #,Description,Size,Display, 2015 Price ,USDA Zone,Now Order,Booking
OREGON,053305,JUN SC WICHITA BLUE,#5,CONIFER UPRIGHT, $26.50 ,03,,
OREGON,057265,LARIX DECIDUA,#5,CONIFER UPRIGHT, $26.50 ,03,,
OREGON,057275,LARIX DECIDUA PENDULA,#5,CONIFER UPRIGHT, $52.00 ,03,,
OREGON,057277,LARIX DECIDUA PENDULA,#7,CONIFER UPRIGHT, $86.00 ,03,,
OREGON,052567,LARIX KAEMPHERI DIANA,#7,CONIFER UPRIGHT, $86.00 ,04,,
OREGON,053425,LARIX LARICINA BLUE SPARKLER,#5,CONIFER UPRIGHT, $41.50 ,03,,
OREGON,036165,METASEQUOIA G OGON GOLD RUSH,#5,CONIFER UPRIGHT, $27.50 ,03,,
OREGON,064525,PICEA ABIES,#5,CONIFER UPRIGHT, $25.50 ,02,,
OREGON,064545,PICEA ABIES CUPRESSINA,#5,CONIFER UPRIGHT, $25.50 ,02,,
OREGON,049025,PICEA ENG BLUE SOFTIE,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,033265,PICEA ENG BUSH'S LACE,#5,CONIFER UPRIGHT, $41.50 ,03,,
OREGON,064621,PICEA GL CONICA,#1,CONIFER UPRIGHT, $8.00 ,02,,
OREGON,06462M,PICEA GL CONICA,#10 Squat,CONIFER UPRIGHT, $76.00 ,02,,
OREGON,064622,PICEA GL CONICA,#2,CONIFER UPRIGHT, $18.00 ,02,,
OREGON,064625,PICEA GL CONICA,#5,CONIFER UPRIGHT, $28.50 ,02,,
OREGON,019371,PICEA GL CONICA TINY TOWER R,#1,CONIFER UPRIGHT, $8.75 ,03,,
OREGON,019372,PICEA GL CONICA TINY TOWER R,#2,CONIFER UPRIGHT, $18.50 ,03,,
OREGON,01937E,PICEA GL CONICA TINY TOWER R,"7"" Terra Cotta",CONIFER UPRIGHT, $16.25 ,03,,
OREGON,06465M,PICEA GL DENSATA,#10 Squat,CONIFER UPRIGHT, $75.00 ,02,,
OREGON,064652,PICEA GL DENSATA,#2,CONIFER UPRIGHT, $17.75 ,02,,
OREGON,064655,PICEA GL DENSATA,#5,CONIFER UPRIGHT, $26.50 ,02,,
OREGON,033275,PICEA GL DENSATA WELLS' WEEPER,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,036275,PICEA GL PENDULA,#5,CONIFER UPRIGHT, $37.00 ,02,,
OREGON,06487M,PICEA OMORIKA BRUNS,#10 Squat,CONIFER UPRIGHT, $79.00 ,04,,
OREGON,064875,PICEA OMORIKA BRUNS,#5,CONIFER UPRIGHT, $37.00 ,04,,
OREGON,053345,PICEA OMORIKA PENDULA BRUNS,#5,CONIFER UPRIGHT, $41.50 ,04,,
OREGON,04761M,PICEA OMORIKA SKY TRAILS,#10 Squat,CONIFER UPRIGHT, $79.00 ,04,,
OREGON,06481M,PICEA ORIEN ATROVIRENS,#10 Squat,CONIFER UPRIGHT, $79.00 ,02,,
OREGON,064815,PICEA ORIEN ATROVIRENS,#5,CONIFER UPRIGHT, $46.50 ,02,,
OREGON,03843M,PICEA PUN BABY BLUE EYES,#10 Squat,CONIFER UPRIGHT, $79.00 ,02,,
OREGON,038435,PICEA PUN BABY BLUE EYES,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,049065,PICEA PUN BAKERI,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,06466M,PICEA PUN GLAUCA,#10 Squat,CONIFER UPRIGHT, $67.00 ,02,,
OREGON,064662,PICEA PUN GLAUCA,#2,CONIFER UPRIGHT, $17.75 ,02,,
OREGON,064665,PICEA PUN GLAUCA,#5,CONIFER UPRIGHT, $25.50 ,02,,
OREGON,06478M,PICEA PUN GLAUCA FAT ALBERT,#10 Squat,CONIFER UPRIGHT, $79.00 ,02,,
OREGON,064789,PICEA PUN GLAUCA FAT ALBERT,#15,CONIFER UPRIGHT, $127.00 ,02,,
OREGON,064785,PICEA PUN GLAUCA FAT ALBERT,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,06471M,PICEA PUN HOOPSII,#10 Squat,CONIFER UPRIGHT, $79.00 ,02,,
OREGON,064719,PICEA PUN HOOPSII,#15,CONIFER UPRIGHT, $127.00 ,02,,
OREGON,064715,PICEA PUN HOOPSII,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,04463M,PICEA PUN ISELI FASTIGATE,#10 Squat,CONIFER UPRIGHT, $79.00 ,03,,
OREGON,044639,PICEA PUN ISELI FASTIGATE,#15,CONIFER UPRIGHT, $127.00 ,03,,
OREGON,044635,PICEA PUN ISELI FASTIGATE,#5,CONIFER UPRIGHT, $41.50 ,03,,
OREGON,064765,PICEA PUN MOERHEIM,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,03874M,PICEA PUN SPARKLER R,#10 Squat,CONIFER UPRIGHT, $79.00 ,02,,
OREGON,038745,PICEA PUN SPARKLER R,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,01939M,PICEA PUN THE BLUES,#10 Squat,CONIFER UPRIGHT, $79.00 ,02,,
