Item,Size,Plant Name,Botanical Name,Common Name,Category 2
075002S,SuperTwo,ROSA OSO EASY R HONEY BUN PPAF,"Rosa x 'Scrivjean' P.P. #21,611                             ",Oso Easy®  Honey Bun Rose,Rosa
080721S,SuperOne TM,ROSA OSO EASY R MNGO SALSA PAF,Rosa x 'ChewperAdventure' P.P.A.F. Can. P.B.R.A.F.          ,Oso Easy®  Mango Salsa Rose,Rosa
074982S,SuperTwo,ROSA OSO EASY R PAPRIKA PPAF,"Rosa x 'ChewMayTime' P.P. #18,347                           ",Oso Easy®  Paprika Rose,Rosa
080731S,SuperOne TM,ROSA OSO EASY R STBY CR P20601,"Rosa x 'Hormeteorie' P.P.#20,601 Can. P.B.R.A.F.            ",Oso Easy®  Strawberry Crush Rose,Rosa
074972S,SuperTwo,ROSA OSO HPY TM CNDY OH!P20471,"Rosa x 'ZleMatinCipar' P.P. #20,471                         ",Oso Happy™  Candy Oh! Landscape Rose,Rosa
090795ST,#5 STAKED,ROSA-CL-CECILE BRUNNER,Rosa x 'Cecile Brunner' (Climbing Type)                     ,Cecile Brunner Climbing Rose                                ,Rosa
037125ST,#5 STAKED,ROSA-CL-CRIMSON SKY TM PP18564,Rosa x 'Meigrappo' P.P.# 18654                              ,Crimson Sky™  Climbing Rose,Rosa
051105ST,#5 STAKED,ROSA-CL-EDEN CLIMBER R,Rosa x 'Meiviolin'                                          ,Eden Climber®  Rose,Rosa
051095ST,#5 STAKED,ROSA-CL-GARDEN SUN TM PPAF,Rosa x 'Meivaleir' P.P.A.F.                                 ,Garden Sun™  Climbing Rose,Rosa
069445ST,#5 STAKED,ROSA-CL-JOSEPH'S COAT,Rosa x 'Joseph's Coat'                                      ,Joseph's Coat Climbing Rose                                 ,Rosa
075415ST,#5 STAKED,ROSA-CL-SKY'S THE LIMIT TM PAF,Rosa 'WEKprimsoul'                                          ,Sky's The Limit™  Climbing Rose,Rosa
058912,#2,ROSA-CL-WILLIAM BAFFIN,Rosa x 'William Baffin'                                     ,William Baffin Climbing Rose                                ,Rosa
021245,#5,ACER PAL BUTTERFLY,Acer palmatum 'Butterfly'                                   ,Butterfly Japanese Maple                                    ,Japanese maple
033215,#5,ACER PAL KAGIRI NISHIKI,Acer palmatum 'Kagiri Nishiki'                              ,Kagiri Nishiki Japanese Maple                               ,Japanese maple
049405,#5,ACER PAL KAMAGATA,                                                            ,                                                            ,Japanese maple
018345,#5,ACER PAL OSAKAZUKI,Acer palmatum 'Osakazuki'                                   ,Osakazuki Japanese Maple                                    ,Japanese maple
000915,#5,ACER PAL SEIRYU,Acer palmatum 'Seiryu'                                      ,Seiryu Japanese Maple                                       ,Japanese maple
03033M,#10 Squat,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,Tree fall/winter interest
012365,#5,BETULA PENDULA PURPLE RAIN R,Betula pendula 'Monle'                                      ,Purple Rain®  European White Birch,Ornamental tree
022775,#5,CARPINUS BET FASTIGIATA,Carpinus betulus 'Fastigiata'                               ,Pyramidal European Hornbeam                                 ,Deciduous shade tree
03039M,#10 Squat,CORNUS X VENUS R PP16309,"Cornus x 'KN30-8' P.P.# 16,309                              ",Venus®  Dogwood,Hardy flowering tree
031555,#5,DAPHNIPHYLLUM MACROPODUM,Daphniphyllum macropodum                                    ,Yuzuri-Ha Tree - Shogun®  Series,Evergreen shade tree
025675,#5,DAVIDIA INVOLUCRATA,Davidia involucrata                                         ,Dove Tree                                                   ,Hardy flowering tree
006665,#5,HEPTACODIUM MICONIOIDES,Heptacodium miconioides                                     ,Seven-Son Flower                                            ,Ornamental tree
020109,#15,MAG G TEDDY BEAR R PP13049,Magnolia grandiflora 'Southern Charm' P.P.# 13049           ,Teddy Bear®  Southern Magnolia,Evergreen shade tree
032985,#5,STYRAX FRAG FOUNTAIN TM P19664,Styrax japonicus 'Fragrant Fountain' P.P.# 19664            ,Fragrant Fountain Japanese Snowbell                         ,Temperate flowering tree
053125,#5,TROCHODENDRON ARALIOIDES,Trochodendron aralioides                                    ,Taiwanese Parasol Tree                                      ,Ornamental tree
056525,#5,ULMUS X FRONTIER,Ulmus (carpinifolia x parvifolia) 'Frontier'                ,Frontier Hybrid Elm                                         ,Deciduous shade tree
046252,#2 STAKED,CLEM LOUISE ROWE,Clematis x Louise Rowe                                      ,Louise Rowe Clematis                                        ,Clematis
021792,#2 STAKED,CLEM PIILU TM PPAF,Clematis x 'Little Duckling' P.P.A.F.                       ,Piilu™  Clematis,Clematis
021862,#2 STAKED,CLEM SAPPHIRE INDIGO TMPP17012,"Clematis 'Cleminov 51' P.P. # 17,012                        ",Sapphire Indigo™  Clematis,Clematis
038005,#5 STAKED,CLEM TEX PRINCESS DIANA,Clematis texensis 'Princess Diana'                          ,Princess Diana Clematis                                     ,Clematis
051481,#1 STAKED,CLEM VANCOUVER TM DANIELLE,Clematis x 'Danielle'                                       ,Vancouver™  Danielle Clematis,Clematis
046275,#5 STAKED,CLEM VANCOUVER TM FRGRNT STAR,Clematis x 'Fragrant Star'                                  ,Vancouver™  Fragrant Star Clematis,Clematis
048741,#1 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,Clematis
038081,#1 STAKED,CLEM VIT BETTY CORNING,Clematis viticella 'Betty Corning'                          ,Betty Corning Clematis                                      ,Clematis
033492,#2 STAKED,CLEM X HANIA,Clematis x 'Hania'                                          ,Hania Clematis                                              ,Clematis
044481,#1 STAKED,CLEM X JACKMANII SUPERBA,Clematis x jackmanii 'Superba'                              ,Jackman Superba Clematis                                    ,Clematis
033512,#2 STAKED,CLEM X JULKA,Clematis x 'Julka'                                          ,Julka Clematis                                              ,Clematis
034432,#2 STAKED,CLEM X KILIAN DONAHUE,Clematis x 'Kilian Donahue'                                 ,Kilian Donahue Clematis                                     ,Clematis
055201,#1 STAKED,CLEM X MRS. SPENCER CASTLE,Clematis 'Mrs. Spencer Castle'                              ,Mrs. Spencer Castle Clematis                                ,Clematis
