,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rep Allocation,,,,,,,,,,,,,,,,,
Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast,,
160000,012105,BER T HELMOND PILLAR,DCS,+,45,16,-,29,-,-,,-,$21.00 ,5,-,,
170000,020702,BER T LIME GLOW,DCS,+,38,-,-,38,38,234,,234,$12.50 ,10,-,,
160000,062932,BER T ORANGE ROCKET PP18411,DCS,+,7,-,-,7,7,-,,-,$15.25 ,20,-,,
160000,035241,BER T PYGMY RUBY TM,DCS,+,165,-,-,165,165,"2,704",,"2,704",$7.00 ,-,-,,
160000,035242,BER T PYGMY RUBY TM,DCS,+,28,20,-,8,8,62,,62,$14.75 ,20,-,,
160000,012201,BER T ROSE GLOW,DCS,+,240,-,-,240,240,"12,600",3/1/2014,"18,223",$5.75 ,-,-,,
160000,012202,BER T ROSE GLOW,DCS,+,45,-,-,45,45,"4,355",4/1/2014,"6,473",$12.50 ,-,-,,
160000,012203,BER T ROSE GLOW,DCS,+,5,-,-,5,5,195,,195,$18.00 ,-,-,,
160000,012205,BER T ROSE GLOW,DCS,+,16,-,-,16,-,-,5/1/2014,815,$18.75 ,-,-,,
160000,012211,BER T ROYAL BURGUNDY R P9461,DCS,+,50,-,-,50,50,"2,912",3/1/2014,"2,912",$6.50 ,-,-,,
160000,012212,BER T ROYAL BURGUNDY R P9461,DCS,+,225,160,-,65,65,640,4/1/2014,640,$15.25 ,160,-,,
160000,012213,BER T ROYAL BURGUNDY R P9461,DCS,+,5,-,-,5,5,88,,88,$19.00 ,6,-,,
160000,012315,BETULA JACQUEMONTII,TRE,+,6,-,-,6,6,-,,-,$28.00 ,5,-,,
160000,012305,BETULA PENDULA (ALBA),TRE,+,9,-,-,9,9,-,,-,$23.75 ,-,-,,
160000,012305MU,BETULA PENDULA (ALBA),TRE,+,6,-,-,6,6,-,,-,$30.00 ,-,-,,
550000,012515,BIGNONIA CAP TANGERINE BEAUTY,VIN,+,5,-,-,5,5,174,4/1/2014,174,$26.50 ,5,-,,
550000,012701,BOUG BARBARA KARST,VIN,+,36,10,-,26,26,204,4/1/2014,204,$7.00 ,10,-,,
550000,012705,BOUG BARBARA KARST,VIN,+,37,30,-,7,7,79,2/15/2014,79,$23.00 ,30,-,,
550000,012705PT,BOUG BARBARA KARST,VIN,+,75,42,-,33,33,141,4/1/2014,141,$38.50 ,42,-,,
550000,035041,BOUG BENGAL ORANGE,VIN,+,50,25,-,25,25,871,5/1/2014,871,$7.00 ,30,-,,
550000,035045PT,BOUG BENGAL ORANGE,VIN,+,14,14,-,-,-,"1,011",5/1/2014,"1,011",$38.50 ,7,-,,
