Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2014 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CT,    ,001011,#1,ARTEMISIA SCHM SILVER MOUND,Artemisia schmidtiana 'Silver Mound'                        ,Silvermound Artemisia                                       ,Mid/late border flowering,PRN,03,, 4.95 ,,,     , 10 ,     , 945 ,04/15/14  ,     ,          ,     ,          
CT,    ,00159UT,LittleOne,ASTILBE BRIDAL VEIL,Astilbe x arendsii 'Bridal Veil'                            ,Bridal Veil®  Astilbe,Mid/late border flowering,PRN,04,, 2.50 ,,,     , 16 ,     , 336 ,04/15/14  ,     ,          ,     ,          
CT,    ,003501,#1,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,Mid/late border flowering,PRN,04,, 4.95 ,,,     , 10 ,     , 449 ,04/15/14  ,     ,          ,     ,          
CT,    ,003502,#2,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,Mid/late border flowering,PRN,04,, 6.95 ,,,     , 5 ,     , 101 ,04/15/14  ,     ,          ,     ,          
CT,    ,00350UT,LittleOne,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,Mid/late border flowering,PRN,04,, 2.50 ,,,     , 16 ,     , 500 ,04/15/14  ,     ,          ,     ,          
CT,2010,059151,#1,ASTILBE VISION IN PINK PP11860,Astilbe chinensis 'Visions In Pink' P.P.# 11860             ,Visions in Pink Astilbe                                     ,Mid/late border flowering,PRN,04,, 4.95 ,,,     , 10 ,     , 611 ,04/15/14  ,     ,          ,     ,          
CT,2010,059152,#2,ASTILBE VISION IN PINK PP11860,Astilbe chinensis 'Visions In Pink' P.P.# 11860             ,Visions in Pink Astilbe                                     ,Mid/late border flowering,PRN,04,, 6.95 ,,,     , 5 ,     , 307 ,04/15/14  ,     ,          ,     ,          
CT,    ,016341,#1,ASTILBE VISION IN RED PP11965,Astilbe chinensis 'Vision In Red' P.P.# 11965               ,Vision In Red Astilbe                                       ,Mid/late border flowering,PRN,04,, 4.95 ,,,     , 10 ,     , 606 ,04/15/14  ,     ,          ,     ,          
CT,    ,016342,#2,ASTILBE VISION IN RED PP11965,Astilbe chinensis 'Vision In Red' P.P.# 11965               ,Vision In Red Astilbe                                       ,Mid/late border flowering,PRN,04,, 6.95 ,,,     , 5 ,     , 346 ,04/15/14  ,     ,          ,     ,          
CT,2014,017601,#1,ASTILBE VISION IN WHITE P18965,"Astilbe chinensis 'Vision In White P.P. #18,965             ",Vision in White Astilbe                                     ,Mid/late border flowering,PRN,04,, 4.95 ,,,     , 10 ,     , 506 ,04/15/14  ,     ,          ,     ,          
CT,2014,017602,#2,ASTILBE VISION IN WHITE P18965,"Astilbe chinensis 'Vision In White P.P. #18,965             ",Vision in White Astilbe                                     ,Mid/late border flowering,PRN,04,, 6.95 ,,,     , 5 ,     , 323 ,04/15/14  ,     ,          ,     ,          
CT,    ,401061,#1,BAPTISIA SOLAR FLARE PP20408,                                                            ,                                                            ,Mid/late tall flowering,PRN,03,, 4.95 ,,,     , 10 ,     , 272 ,04/15/14  ,     ,          ,     ,          
