Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2016 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,Stk Loc
OR,2013,060205,#5,ACER PSEUDOSIEBOLDIANUM,Acer pseudosieboldianum                                     ,Korean Maple                                                ,TRE,04,HIN, 27.75 , 23.31 , 4.43 , 27.74 ,,     ,014949369456,     ,     ,,, 5 ,     , 7 ,04/27/16  ,     ,          ,     ,          ,
OR,    ,001275,#5,ACER RUB RED SUNSET R,Acer rubrum 'Franksred'                                     ,Red Sunset®  Red Maple,TRE,03,JFS, 36.75 , 30.87 , 4.43 , 35.30 ,,     ,014949012758,     ,     ,-,"72""H", 5 , 5 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 197"
OR,    ,030332,#2,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,TRE,05,, 39.75 , 33.39 , 2.21 , 35.60 ,,     ,014949345801,     ,     ,,"20""H", 5 ,     , 225 ,04/27/16  ,     ,          ,     ,          ,
OR,    ,030335,#5,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949193495,     ,     ,-,"40""H", 5 , 78 , 78 ,04/27/16  ,     ,          ,     ,          ,"4G 198, 4H 198"
OR,    ,03033M,#10 Squat,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949193501,     ,     ,-,"58""H", 2 , 86 , 114 ,04/27/16  ,     ,          ,     ,          ,4G 203
OR,    ,407531,#1,ACHILLEA MILL PRETTY BELINDA,Achillea millefolium 'Pretty Belinda'                       ,Pretty Belinda Yarrow                                       ,PRN,03,, 5.25 , 4.41 , 0.89 , 5.30 ,,     ,014949414637,     ,     ,-,, 10 , 756 , 969 ,06/01/16  ,     ,          ,     ,          ,"4B 169, 4C 185"
OR,    ,029061,#1,ACHILLEA MILL RED VELVET,Achillea millefolium 'Red Velvet'                           ,Red Velvet Yarrow                                           ,PRN,03,, 5.25 , 4.41 , 0.89 , 5.30 ,,     ,014949065426,     ,     ,-,CAN FULL, 10 , 499 , 900 ,01/01/16  , 900 ,06/01/16  ,     ,          ,4B 166
OR,    ,000511,#1,ACHILLEA OERTEL'S ROSE,Achillea millefolium 'Oertel's Rose'                        ,Oertel's Rose Yarrow                                        ,PRN,03,, 5.25 , 4.41 , 0.89 , 5.30 ,,     ,014949002506,     ,     ,-,CAN FULL, 10 , 428 ,     ,          ,     ,          ,     ,          ,4B 166
OR,    ,001351,#1,ACHILLEA X MOONSHINE,Achillea x 'Moonshine'                                      ,Moonshine Yarrow                                            ,PRN,03,, 5.25 , 4.41 , 0.89 , 5.30 ,,     ,014949013519,     ,     ,-,CAN FULL, 10 ,     , 527 ,03/01/16  , 527 ,06/01/16  ,     ,          ,4B 166
OR,2015,096081,#1 STAKED,ACTINIDIA ARG HARDY MALE,Actinidia arguta (Male)                                     ,Hardy Kiwi (Male)                                           ,VIN,04,, 11.75 , 9.87 , 0.89 , 10.76 ,,     ,014949375518,     ,     ,,, 10 ,     , 3 ,03/01/16  ,     ,          ,     ,          ,
