Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Allocated,QTY AVAIL NOW,2ND QTY AVAIL,2ND QTY READY DATE,2016 LIST PRICE,"ADD'L 10% 
QTY 
BUY PRICE","ADD'L 12.5% 
QTY
BUY
PRICE","UNIT 
FRT"
OR,    ,4801,#1,DICENTRA BURNINGHEARTS PP20797,Burning Hearts Bleeding Heart                               ,PRN,4,     ,     ,191,4/27/2016,6.75,6.08,5.91,0.58
OR,,4902,#2,DICENTRA SP VALENTINE R P22739,Valentine®  Bleeding Heart,PRN,3,48,48,     ,          ,15.5,13.95,13.56,1.45
OR,    ,31611,#1,DICENTRA X LUXURIANT,Luxuriant Fringed Bleeding Heart                            ,PRN,2,     ,     ,"1,400",3/28/2016,5.25,4.73,4.59,0.58
OR,    ,402361,#1,ECHIN DBL SCP TM BBLGM PP23103,Double Scoop  Bubble Gum Echinacea,PRN,4,     ,17,,,6,5.4,5.25,0.58
OR,    ,402351,#1,ECHIN DBL SCP TM RSPBRY P23117,Double Scoop  Raspberry Coneflower,PRN,4,     ,     ,546,6/1/2016,6,5.4,5.25,0.58
OR,,22831,#1,ECHINACEA CRNBRY CUPCAKE PPAF,Cranberry Cupcake Coneflower                                ,PRN,4,     ,21,     ,          ,7.25,6.53,6.34,0.58
OR,    ,47511,#1,ECHINACEA PNK DBL DLITE P18803,Pink Double Delight Coneflower                              ,PRN,4,     ,532,204,6/1/2016,7.25,6.53,6.34,0.58
OR,    ,2991,#1,ECHINACEA POWWOW R WILDBERRY,PowWow®  Wild Berry Coneflower,PRN,3,     ,25,     ,          ,6,5.4,5.25,0.58
OR,    ,33655,#5,EUO F CANADALE GOLD,Canadale Gold Wintercreeper                                 ,EVS,4,     ,     ,417,4/27/2016,21.75,19.58,19.03,2.91
OR,    ,34452,#2,EUO F IVORY JADE,Ivory Jade Wintercreeper                                    ,EVS,4,5,177,,,14,12.6,12.25,1.45
OR,    ,19202,#2,EUO F SUNRISE PP12341,Sunrise Wintercreeper                                       ,EVS,4,111,     ,139,4/27/2016,14.5,13.05,12.69,1.45
OR,    ,35855,#5,FAGUS SYL PURPLE FOUNTAIN,Purple Fountain Beech                                       ,TRE,4,6,139,     ,          ,46,41.4,40.25,2.91
OR,    ,35795,#5,FAGUS SYL RIVERSII,River's Purple European Beech                               ,TRE,4,6,26,     ,          ,46,41.4,40.25,2.91
OR,    ,20515,#5,FAGUS SYL ROHAN OBELISK(RED OB,Red Obelisk European Beech                                  ,TRE,4,     ,3,     ,          ,46,41.4,40.25,2.91
OR,    ,077431S,SuperOne TM,FORS X SHOW OFF TM STARLT PAF,Show Off  Starlet Forsythia,DCS,4,     ,105,     ,          ,11, N/A , N/A ,0.97
OR,    ,37105,#5,FORSYTHIA X SPRING GLORY,Spring Glory Forsythia                                      ,DCS,3,     ,92,     ,          ,22.5,20.25,19.69,2.91
OR,    ,68351,#1,FRAGARIA ALBION R PP16228,Albion Strawberry                                           ,PRN,3,     ,12,103,4/27/2016,4.75,4.28,4.16,0.58
OR,    ,68341,#1,FRAGARIA TRISTAR,Tristar Strawberry                                          ,PRN,4,     ,274,424,4/27/2016,4.75,4.28,4.16,0.58
OR,    ,73101,#1,FRAGARIA X SAN ANDREAS PP19975,San Andreas Strawberry                                      ,PRN,3,     ,471,     ,          ,4.75,4.28,4.16,0.58
OR,    ,68361,#1,FRAGARIA X SEASCAPE R,Seascape Strawberry                                         ,PRN,4,20,313,489,4/27/2016,4.75,4.28,4.16,0.58
OR,    ,06836UT,LittleOne,FRAGARIA X SEASCAPE R,Seascape Strawberry                                         ,PRN,4,     ,5,,,3.25,2.93,2.84,0.44
OR,X,412631,#1,GAILLARDIA FANFARE CITRNLA PAF,Fanfare Citronella Blanket Flower                           ,PRN,3,     ,23,,,6,5.4,5.25,0.58
OR,    ,48591,#1,GAZANIA LIN COLORADO GOLD R,Colorado Gold®  Treasure Flower,PRN,4,     ,581,     ,          ,5.25,4.73,4.59,0.58
OR,    ,38122,#2,GENISTA PIL GOLD FLASH,Gold Flash Broom                                            ,DCS,3,36,99,     ,          ,16.25,14.63,14.22,1.45
OR,    ,021454PTC,"4"" Pot POT-TERRA",GEUM COCC BORISII,Boris Avens                                                 ,PRN,4,     ,168,     ,          ,3.5,3.15,3.06,0.33
OR,    ,02145UT,LittleOne,GEUM COCC BORISII,Boris Avens                                                 ,PRN,4,     ,469,     ,          ,3.25,2.93,2.84,0.44
OR,    ,35601,#1,GEUM COCC WERNER ARENDS,Werner Arends Avens                                         ,PRN,4,     ,678,,,5.25,4.73,4.59,0.58
OR,,67791,#1,GR-BOUT BLOND AMBITION PP22048,Blonde Ambition Blue Grama Grass                            ,GRS,4,     ,17,     ,          ,9,8.1,7.88,0.58
OR,    ,44551,#1,GR-CAL ACUT AVALANCHE,Avalanche Feather Reed Grass                                ,GRS,4,     ,4,     ,          ,6.75,6.08,5.91,0.58
OR,    ,44552,#2,GR-CAL ACUT AVALANCHE,Avalanche Feather Reed Grass                                ,GRS,4,2,9,     ,          ,15,13.5,13.13,1.45
OR,    ,01401P18SA,"4"" Pot P",GR-CAL ACUT KARL FOERSTER,Foerster's Feather Reed Grass                               ,GRS,4,     ,104,     ,          ,2.35,2.12,2.06,0
OR,    ,14071,#1,GR-CAL ACUT OVERDAM,Overdam Feather Reed Grass                                  ,GRS,4,     ,3,     ,          ,6.75,6.08,5.91,0.58
OR,,14082,#2,GR-CALAMAGROSTIS  BRACHYTRICA,Korean Feather Reed Grass                                   ,GRS,4,     ,99,     ,          ,15,13.5,13.13,1.45
OR,,14085,#5,GR-CALAMAGROSTIS  BRACHYTRICA,Korean Feather Reed Grass                                   ,GRS,4,     ,33,,,19.75,17.78,17.28,2.91
OR,    ,24091,#1,GR-CHASMANTHIUM LATIFOLIUM,Northern Sea Oats                                           ,GRS,4,     ,51,,,6.75,6.08,5.91,0.58
OR,    ,5392,#2,GR-DESCHAMPSIA NORTHERN LIGHTS,Northern Lights Tufted Hair Grass                           ,GRS,4,     ,50,     ,          ,15,13.5,13.13,1.45
OR,,89282,#2,GR-DESCHAMPSIA SCHOTTLAND,Scottish Tufted Hair Grass                                  ,GRS,4,5,23,     ,          ,15,13.5,13.13,1.45
OR,    ,31941,#1,GR-ELYMUS ARENARIUS BLUE DUNE,Blue Dune Lyme Grass                                        ,GRS,4,     ,71,     ,          ,6.75,6.08,5.91,0.58
OR,    ,28051,#1,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                          ,GRS,4,     ,     ,91,3/1/2016,6.75,6.08,5.91,0.58
OR,    ,36671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,Elijah Blue Fescue                                          ,GRS,4,     ,15,     ,          ,6.25,5.63,5.47,0.58
OR,,89291,#1,GR-HAKONECHLOA FUBUKI PP21757,Fubuki Japanese Forest Grass                                ,GRS,4,     ,74,,,11.25,10.13,9.84,0.58
OR,    ,03591UT,LittleOne,GR-HAKONECHLOA MACRA ALL GOLD,All Gold Japanese Forest Grass                              ,GRS,4,49,     ,49,3/28/2016,5,4.5,4.38,0.44
OR,    ,38681,#1,GR-HAKONECHLOA MACRA AUREOLA,Golden Japanese Forest Grass                                ,GRS,4,5,478,,,9,8.1,7.88,0.58
OR,    ,39971,#1,GR-HELICTOTRICHON SEMPERVIRENS,Blue Oat Grass                                              ,GRS,4,259,459,,,6.75,6.08,5.91,0.58
OR,    ,39972,#2,GR-HELICTOTRICHON SEMPERVIRENS,Blue Oat Grass                                              ,GRS,4,     ,     ,78,3/28/2016,15,13.5,13.13,1.45
OR,    ,61551,#1,GR-MIS SIN STRICTUS,Porcupine Grass                                             ,GRS,4,     ,3,     ,          ,6.75,6.08,5.91,0.58
OR,    ,5621,#1,GR-MOLINIA CAER ARUND SKYRACER,Skyracer Purple Moor Grass                                  ,GRS,4,     ,243,     ,          ,7,6.3,6.13,0.58
OR,    ,5622,#2,GR-MOLINIA CAER ARUND SKYRACER,Skyracer Purple Moor Grass                                  ,GRS,4,22,201,     ,          ,15,13.5,13.13,1.45
OR,,22961,#1,GR-PAN VIR NORTHWIND,Northwind Switch Grass                                      ,GRS,4,     ,     ,20,3/1/2016,7,6.3,6.13,0.58
OR,    ,63881,#1,GR-PAN VIR SHENANDOAH,Shenandoah Switch Grass                                     ,GRS,4,     ,11,,,6.75,6.08,5.91,0.58
OR,    ,63882,#2,GR-PAN VIR SHENANDOAH,Shenandoah Switch Grass                                     ,GRS,4,     ,28,,,15,13.5,13.13,1.45
OR,    ,63885,#5,GR-PAN VIR SHENANDOAH,Shenandoah Switch Grass                                     ,GRS,4,     ,     ,28,3/28/2016,19.75,17.78,17.28,2.91
OR,    ,64261,#1,GR-PENN ALO HAMELN,Dwarf Fountain Grass                                        ,GRS,4,     ,41,,,6.75,6.08,5.91,0.58
OR,,86111,#1,GR-SCHIZACH BL HEAVN TM P17310,Blue Heaven Little Bluestem                                 ,GRS,3,     ,     ,216,4/27/2016,7,6.3,6.13,0.58
OR,    ,5811,#1,GR-SORGHASTRUM SIOUX BLUE,Sioux Blue Indian Grass                                     ,GRS,4,     ,4,     ,          ,6.75,6.08,5.91,0.58
OR,    ,73391,#1,GR-TYPHA MINIMA,Miniature Cattail                                           ,GRS,4,31,31,     ,          ,6.75,6.08,5.91,0.58
OR,X,412821,#1,HELENIUM AUT CAN CAN,Can Can Sneezeweed                                          ,PRN,4,     ,163,     ,          ,5.75,5.18,5.03,0.58
OR,X,413081,#1,HELIOPSIS HEL SUNSTRUCK P25524,Sunstruck False Sunflower                                   ,PRN,4,     ,,38,6/1/2016,5.75,5.18,5.03,0.58
OR,    ,67241,#1,HELLE WJEWELS R APRICOT BLUSH,Winter Jewels®  Apricot Blush Lenten Rose,PRN,4,     ,24,,,9.25,8.33,8.09,0.58
OR,    ,67231,#1,HELLE WJEWELS R PAINTED,Winter Jewels®  Painted Lenten Rose,PRN,4,     ,     ,45,5/1/2016,9.25,8.33,8.09,0.58
OR,    ,39991,#1,HELLE X IVORY PRINCE PP16199,Ivory Prince Lenten Rose                                    ,PRN,4,     ,678,,,9.5,8.55,8.31,0.58
OR,,75431,#1,HELLEBORUS X DOUBLE FANTASY,Double Fantasy Lenten Rose (Winter Dreams Series)           ,PRN,3,     ,     ,120,3/1/2016,9.5,8.55,8.31,0.58
OR,X,413241,#1,HELLEBORUS X FLORENCE PICOTEE,Florence Picotee Lenten Rose                                ,PRN,3,     ,350,,,9.5,8.55,8.31,0.58
OR,,75491,#1,HELLEBORUS X PICOTEE,Picotee Lenten Rose (Winter Dreams Series)                  ,PRN,3,     ,5,     ,          ,9.5,8.55,8.31,0.58
OR,    ,40512,#2,HEM HAPPY RETURNS,Happy Returns Dwarf Daylily                                 ,PRN,4,     ,1,     ,          ,13.5,12.15,11.81,1.45
OR,    ,40071,#1,HEM JOAN SENIOR,Joan Senior Daylily                                         ,PRN,4,     ,138,     ,          ,5.25,4.73,4.59,0.58
OR,    ,40091,#1,HEM LITTLE BUSINESS,Little Business Dwarf Daylily                               ,PRN,4,     ,206,     ,          ,5.25,4.73,4.59,0.58
OR,    ,40121,#1,HEM LITTLE GRAPETTE,Little Grapette Dwarf Daylily                               ,PRN,4,     ,439,     ,          ,5.25,4.73,4.59,0.58
OR,    ,83981,#1,HEM PINK PLAYMATE,Pink Playmate Daylily                                       ,PRN,4,     ,189,     ,          ,5.25,4.73,4.59,0.58
OR,    ,40631,#1,HEM PRAIRIE BLUE EYES,Prairie Blue Eyes Daylily                                   ,PRN,4,     ,55,     ,          ,5.25,4.73,4.59,0.58
OR,    ,40571,#1,HEM RED RUM,Red Rum Daylily                                             ,PRN,4,     ,874,     ,          ,5.25,4.73,4.59,0.58
OR,    ,83941,#1,HEM SILOAM GUMDROP,Siloam Gumdrop Daylily                                      ,PRN,4,     ,230,     ,          ,5.25,4.73,4.59,0.58
OR,    ,40111,#1,HEM STELLA DE ORO,Stella De Oro Dwarf Daylily                                 ,PRN,4,     ,"2,878",,,5.25,4.73,4.59,0.58
OR,    ,40112,#2,HEM STELLA DE ORO,Stella De Oro Dwarf Daylily                                 ,PRN,4,31,     ,31,3/1/2016,13.5,12.15,11.81,1.45
OR,    ,6631,#1,HEM STRAWBERRY CANDY,Strawberry Candy Daylily                                    ,PRN,4,     ,     ,42,3/1/2016,5.25,4.73,4.59,0.58
OR,    ,40291,#1,HEM SUMMER WINE,Summer Wine Daylily                                         ,PRN,4,     ,35,     ,          ,5.25,4.73,4.59,0.58
OR,    ,83931,#1,HEM SWIRLING WATER,Swirling Water Daylily                                      ,PRN,4,     ,329,     ,          ,5.25,4.73,4.59,0.58
OR,,97091,#1,HEUCHERA CARNIVAL LIMEADE PPAF,Carnival Limeade Heuchera                                   ,PRN,4,     ,     ,286,4/1/2016,7.25,6.53,6.34,0.58
OR,,97171,#1,HEUCHERA CARNIVAL RSE GRNT PAF,Carnival Rose Granita Coral Bells                           ,PRN,4,     ,59,     ,          ,7.25,6.53,6.34,0.58
OR,    ,18661,#1,HEUCHERA GREEN SPICE,Green Spice Coral Bells                                     ,PRN,4,     ,307,644,3/1/2016,7.25,6.53,6.34,0.58
OR,    ,28871,#1,HEUCHERA MARMALADE PP15945,Marmalade Coral Bells                                       ,PRN,4,     ,18,,,8.25,7.43,7.22,0.58
OR,    ,45721,#1,HEUCHERA MIDNIGHT ROSE PP18551,Midnight Rose Coral Bells                                   ,PRN,4,     ,10,,,8.25,7.43,7.22,0.58
OR,    ,37541,#1,HEUCHERA OBSIDIAN PP14836,Obsidian Coral Bells                                        ,PRN,4,     ,391,     ,          ,8.25,7.43,7.22,0.58
OR,,76241,#1,HEUCHERELLA REDSTN FLLS P22394,Redstone Falls Trailing Foamy Bells                         ,PRN,4,     ,     ,676,6/1/2016,8.25,7.43,7.22,0.58
OR,    ,407761,#1,HEUCHERELLA SOLAR ECLIPSE,Solar Eclipse Foamy Bells                                   ,PRN,4,     ,311,782,6/1/2016,8.25,7.43,7.22,0.58
OR,    ,41171,#1,HEUCHERELLA SWEET TEA PPAF,Sweet Tea Foamy Bells                                       ,PRN,4,     ,6,     ,          ,7.25,6.53,6.34,0.58
OR,    ,31871,#1,HOSTA ABIQUA DRINKING GOURD,Abiqua Drinking Gourd Plantain Lily                         ,PRN,3,     ,679,     ,          ,7.25,6.53,6.34,0.58
OR,    ,31872,#2,HOSTA ABIQUA DRINKING GOURD,Abiqua Drinking Gourd Plantain Lily                         ,PRN,3,47,231,,,15,13.5,13.13,1.45
OR,    ,036984PTC,"4"" Pot POT-TERRA",HOSTA APHRODITE,Aphrodite Plantain Lily                                     ,PRN,3,     ,243,     ,          ,3.4,3.06,2.98,0.33
OR,    ,16761,#1,HOSTA CHERRY BERRY,Cherry Berry Plantain Lily                                  ,PRN,4,     ,17,591,3/1/2016,7.25,6.53,6.34,0.58
OR,    ,403611,#1,HOSTA EARTH ANGEL,Earth Angel Hosta                                           ,PRN,3,     ,161,     ,          ,6,5.4,5.25,0.58
OR,,93061,#1,HOSTA ENTERPRISE,Enterprise Hosta                                            ,PRN,3,     ,"1,141",     ,          ,7.25,6.53,6.34,0.58
OR,,93062,#2,HOSTA ENTERPRISE,Enterprise Hosta                                            ,PRN,3,10,114,     ,          ,15,13.5,13.13,1.45
OR,    ,41471,#1,HOSTA EOLA SAPPHIRE,Eola Sapphire Plantain Lily                                 ,PRN,3,     ,152,     ,          ,6,5.4,5.25,0.58
OR,    ,41475,#5,HOSTA EOLA SAPPHIRE,Eola Sapphire Plantain Lily                                 ,PRN,3,32,32,     ,          ,25.75,23.18,22.53,2.91
OR,,75111,#1,HOSTA FANTASY ISLAND,Fantasy Island Plantain Lily                                ,PRN,3,     ,139,139,3/1/2016,7.25,6.53,6.34,0.58
OR,    ,17492,#2,HOSTA FIRE & ICE,Fire And Ice Plantain Lily                                  ,PRN,4,     ,98,     ,          ,15,13.5,13.13,1.45
OR,    ,42981,#1,HOSTA FIRST FROST,First Frost Plantain Lily                                   ,PRN,4,     ,52,     ,          ,7.25,6.53,6.34,0.58
OR,    ,42982,#2,HOSTA FIRST FROST,First Frost Plantain Lily                                   ,PRN,4,4,4,     ,          ,15,13.5,13.13,1.16
OR,    ,41861,#1,HOSTA FLUCTUANS VARIEG (SAGAE),Variegated Plantain Lily                                    ,PRN,4,     ,297,     ,          ,7.25,6.53,6.34,0.58
OR,    ,41862,#2,HOSTA FLUCTUANS VARIEG (SAGAE),Variegated Plantain Lily                                    ,PRN,4,5,155,     ,          ,15,13.5,13.13,1.45
OR,    ,41865,#5,HOSTA FLUCTUANS VARIEG (SAGAE),Variegated Plantain Lily                                    ,PRN,4,     ,154,     ,          ,25.75,23.18,22.53,2.91
OR,    ,403491,#1,HOSTA FRAGRANT BOUQUET,Fragrant Bouquet Hosta                                      ,PRN,3,     ,276,     ,          ,6,5.4,5.25,0.58
OR,    ,41691,#1,HOSTA FRANCEE,Francee Plantain Lily                                       ,PRN,4,     ,211,     ,          ,6,5.4,5.25,0.58
OR,    ,41695,#5,HOSTA FRANCEE,Francee Plantain Lily                                       ,PRN,4,     ,26,     ,          ,25.75,23.18,22.53,2.91
OR,    ,41531,#1,HOSTA GINKO CRAIG,Ginko Craig Plantain Lily                                   ,PRN,3,     ,251,     ,          ,6,5.4,5.25,0.58
OR,    ,41532,#2,HOSTA GINKO CRAIG,Ginko Craig Plantain Lily                                   ,PRN,3,     ,"1,044",     ,          ,15,13.5,13.13,1.45
OR,    ,41771,#1,HOSTA GOLDEN PRAYERS,Golden Prayers Plantain Lily                                ,PRN,3,     ,70,510,3/1/2016,6,5.4,5.25,0.58
OR,    ,19911,#1,HOSTA GREAT EXPECTATIONS,Great Expectations Plantain Lily                            ,PRN,3,     ,462,     ,          ,7.25,6.53,6.34,0.58
OR,    ,17521,#1,HOSTA GUACAMOLE,Guacamole Plantain Lily                                     ,PRN,3,     ,151,     ,          ,7.25,6.53,6.34,0.58
OR,    ,17525,#5,HOSTA GUACAMOLE,Guacamole Plantain Lily                                     ,PRN,3,3,3,     ,          ,25.75,23.18,22.53,2.91
OR,    ,31891,#1,HOSTA HADSPEN BLUE,Hadspen Blue Plantain Lily                                  ,PRN,4,     ,     ,768,3/1/2016,7.25,6.53,6.34,0.58
OR,    ,17531,#1,HOSTA JUNE,June Plantain Lily                                          ,PRN,3,2,"1,805",,,7.25,6.53,6.34,0.58
OR,    ,41821,#1,HOSTA KROSSA REGAL,Krossa Regal Plantain Lily                                  ,PRN,3,     ,"1,035",     ,          ,6,5.4,5.25,0.58
OR,    ,41822,#2,HOSTA KROSSA REGAL,Krossa Regal Plantain Lily                                  ,PRN,3,2,31,     ,          ,15,13.5,13.13,1.45
OR,    ,41825,#5,HOSTA KROSSA REGAL,Krossa Regal Plantain Lily                                  ,PRN,3,     ,28,     ,          ,25.75,23.18,22.53,2.91
OR,    ,6981,#1,HOSTA MINUTEMAN,Minuteman Plantain Lily                                     ,PRN,3,     ,     ,58,3/1/2016,7.25,6.53,6.34,0.58
OR,    ,6982,#2,HOSTA MINUTEMAN,Minuteman Plantain Lily                                     ,PRN,3,2,29,     ,          ,15,13.5,13.13,1.45
OR,    ,28391,#1,HOSTA OLIVE BAILEY LANGDON,Olive Bailey Langdon Plantain Lily                          ,PRN,4,     ,387,     ,          ,7.25,6.53,6.34,0.58
OR,    ,28392,#2,HOSTA OLIVE BAILEY LANGDON,Olive Bailey Langdon Plantain Lily                          ,PRN,4,34,268,     ,          ,15,13.5,13.13,1.45
OR,    ,28395,#5,HOSTA OLIVE BAILEY LANGDON,Olive Bailey Langdon Plantain Lily                          ,PRN,4,5,308,     ,          ,25.75,23.18,22.53,2.91
OR,    ,403561,#1,HOSTA PARADIGM,Paradigm Hosta                                              ,PRN,3,     ,     ,179,4/1/2016,7.25,6.53,6.34,0.58
OR,    ,403562,#2,HOSTA PARADIGM,Paradigm Hosta                                              ,PRN,3,     ,     ,137,4/1/2016,15,13.5,13.13,1.45
OR,    ,62011,#1,HOSTA PAUL'S GLORY,Paul's Glory Hosta                                          ,PRN,3,     ,     ,340,4/1/2016,7.25,6.53,6.34,0.58
OR,    ,403621,#1,HOSTA PRAYING HANDS,Praying Hands Hosta                                         ,PRN,3,     ,     ,15,3/28/2016,7.25,6.53,6.34,0.58
OR,    ,7011,#1,HOSTA REGAL SPLENDOR,Regal Splendor Plantain Lily                                ,PRN,4,5,65,     ,          ,6,5.4,5.25,0.58
OR,    ,7015,#5,HOSTA REGAL SPLENDOR,Regal Splendor Plantain Lily                                ,PRN,4,     ,10,     ,          ,25.75,23.18,22.53,2.91
OR,,39471,#1,HOSTA ROSEDALE GOLDEN GOOSE,Rosedale Golden Goose Plantain Lily                         ,PRN,3,     ,99,     ,          ,7.25,6.53,6.34,0.58
OR,,39472,#2,HOSTA ROSEDALE GOLDEN GOOSE,Rosedale Golden Goose Plantain Lily                         ,PRN,3,28,209,     ,          ,15,13.5,13.13,1.45
OR,,39475,#5,HOSTA ROSEDALE GOLDEN GOOSE,Rosedale Golden Goose Plantain Lily                         ,PRN,3,17,159,     ,          ,25.75,23.18,22.53,2.91
OR,    ,403641,#1,HOSTA SO SWEET,So Sweet Hosta                                              ,PRN,3,     ,227,     ,          ,6,5.4,5.25,0.58
OR,    ,44671,#1,HOSTA STAINED GLASS PPAF,Stained Glass Plantain Lily                                 ,PRN,3,     ,7,     ,          ,7.25,6.53,6.34,0.58
OR,    ,29791,#1,HOSTA STRIPTEASE,Striptease Plantain Lily                                    ,PRN,4,     ,128,     ,          ,7.25,6.53,6.34,0.58
OR,    ,83972,#2,HOSTA SUM & SUBSTANCE,Sum & Substance Hosta                                       ,PRN,4,     ,4,     ,          ,15,13.5,13.13,1.45
OR,    ,83975,#5,HOSTA SUM & SUBSTANCE,Sum & Substance Hosta                                       ,PRN,4,     ,62,     ,          ,25.75,23.18,22.53,2.91
OR,,75161,#1,HOSTA THE RAZOR'S EDGE,The Razor's Edge Plantain Lily                              ,PRN,3,     ,143,     ,          ,7.25,6.53,6.34,0.58
OR,,75162,#2,HOSTA THE RAZOR'S EDGE,The Razor's Edge Plantain Lily                              ,PRN,3,4,167,     ,          ,15,13.5,13.13,1.45
OR,X,93131,#1,HOSTA VICTORY,Victory Plantain Lily                                       ,PRN,3,     ,     ,230,3/28/2016,7.25,6.53,6.34,0.58
OR,    ,41851,#1,HOSTA WIDE BRIM,Wide Brim Plantain Lily                                     ,PRN,3,     ,556,     ,          ,6,5.4,5.25,0.58
OR,    ,41852,#2,HOSTA WIDE BRIM,Wide Brim Plantain Lily                                     ,PRN,3,53,381,     ,          ,15,13.5,13.13,1.45
OR,,82011,#1,HOSTA X LIBERTY,Liberty Hosta                                               ,PRN,3,     ,     ,29,3/28/2016,7.25,6.53,6.34,0.58
OR,,82012,#2,HOSTA X LIBERTY,Liberty Hosta                                               ,PRN,3,     ,     ,398,5/1/2016,15,13.5,13.13,1.45
OR,    ,42022,#2,HYD PAN ANGEL'S BLUSH R P10751,Angel's Blush®  Hydrangea,DCS,4,     ,56,103,3/28/2016,16.5,14.85,14.44,1.45
OR,    ,42025,#5,HYD PAN ANGEL'S BLUSH R P10751,Angel's Blush®  Hydrangea,DCS,4,     ,22,     ,          ,23,20.7,20.13,2.91
OR,    ,024372S,SuperTwo,HYD PAN LIMELIGHT PP12874,Limelight Hardy Hydrangea                                   ,DCS,3,14,14,     ,          ,17.75,15.98,15.53,1.94
OR,    ,35011,#1 STAKED,HYD PET MIRANDA,Miranda Climbing Hydrangea                                  ,VIN,4,     ,110,,,8.75,7.88,7.66,0.58
OR,    ,35012,#2 STAKED,HYD PET MIRANDA,Miranda Climbing Hydrangea                                  ,VIN,4,16,338,,,19.75,17.78,17.28,1.45
OR,    ,42132,#2,HYPERICUM FRONDOSUM SUNBURST,Sunburst St. John's Wort                                    ,DCS,4,5,     ,5,4/27/2016,15.25,13.73,13.34,1.45
OR,    ,42135,#5,HYPERICUM FRONDOSUM SUNBURST,Sunburst St. John's Wort                                    ,DCS,4,     ,14,     ,          ,22,19.8,19.25,2.91
OR,,080891S,SuperOne TM,HYPERICUM K BLUES FSTVL TM PAF,Blue & Gold St. John's Wort                                 ,DCS,4,26,77,     ,          ,11,9.9,9.63,0.97
OR,    ,45115,#5,ILEX GLA NORDIC TM,Nordic  Inkberry Holly,EVS,3,     ,13,     ,          ,23,20.7,20.13,2.91
OR,,086352S,SuperTwo,ILEX VERT MR POPPINS R,Mr. Poppins  Winterberry,DCS,3,     ,38,     ,          ,17.25,15.53,15.09,1.94
OR,,86355,#5,ILEX VERT MR POPPINS R,Mr. Poppins  Winterberry,DCS,3,     ,6,     ,          ,23,20.7,20.13,2.91
OR,    ,16461,#1,IRIS EN BUTTERFLIES IN FLIGHT,Butterflies In Flight Japanese Iris                         ,PRN,4,     ,7,     ,          ,6,5.4,5.25,0.58
OR,    ,16471,#1,IRIS EN CASCADE SPICE,Cascade Spice Japanese Iris                                 ,PRN,4,7,561,     ,          ,6,5.4,5.25,0.58
OR,    ,44011,#1,IRIS EN VARIEGATA,Variegated Japanese Water Iris                              ,PRN,4,     ,29,     ,          ,7.25,6.53,6.34,0.58
OR,    ,46361,#1,IRIS SIB BENNERUP BLUE,Bennerup Blue Siberian Iris                                 ,PRN,4,     ,948,     ,          ,6,5.4,5.25,0.58
OR,    ,45971,#1,IRIS SIB BUTTER & SUGAR,Butter & Sugar Siberian Iris                                ,PRN,4,     ,314,     ,          ,6,5.4,5.25,0.58
OR,    ,46441,#1,IRIS SIB CAESAR'S BROTHER,Caesar's Brother Siberian Iris                              ,PRN,4,     ,830,     ,          ,6,5.4,5.25,0.58
OR,    ,46471,#1,IRIS SIB ERIC THE RED,Eric The Red Siberian Iris                                  ,PRN,4,     ,10,     ,          ,6,5.4,5.25,0.58
OR,    ,46011,#1,IRIS SIB RUFFLED VELVET,Ruffled Velvet Siberian Iris                                ,PRN,4,     ,"1,212",     ,          ,6,5.4,5.25,0.58
OR,    ,46015,#5,IRIS SIB RUFFLED VELVET,Ruffled Velvet Siberian Iris                                ,PRN,4,     ,68,     ,          ,18.5,16.65,16.19,2.91
OR,    ,48132,#2,JUN C SEA OF GOLD R PP17622,Sea Of Gold®  Juniper,CON,3,10,10,     ,          ,14.25,12.83,12.47,1.45
OR,    ,49902,#2,JUN H ICEE BLUE R P9639,Icee Blue®  Juniper,CON,3,     ,59,,,13.75,12.38,12.03,1.45
OR,    ,50202,#2,JUN H YOUNGSTOWN,Youngstown Andorra Juniper                                  ,CON,3,4,15,     ,          ,13.75,12.38,12.03,1.45
OR,    ,50205,#5,JUN H YOUNGSTOWN,Youngstown Andorra Juniper                                  ,CON,3,     ,9,     ,          ,19,17.1,16.63,2.91
OR,    ,50902,#2,JUN PRO NANA,Dwarf Japanese Garden Juniper                               ,CON,4,     ,7,     ,          ,13.75,12.38,12.03,1.45
OR,    ,51602,#2,JUN SA BROADMOOR,Broadmoor Juniper                                           ,CON,3,10,10,     ,          ,13.75,12.38,12.03,1.45
OR,    ,51702,#2,JUN SA BUFFALO,Buffalo Juniper                                             ,CON,3,     ,61,     ,          ,13.75,12.38,12.03,1.45
OR,    ,51752,#2,JUN SA CALGARY CARPET R,Calgary Carpet®  Juniper,CON,3,6,6,     ,          ,13.75,12.38,12.03,1.45
OR,    ,05330M,#10 Squat,JUN SC WICHITA BLUE,Wichita Blue Juniper                                        ,CON,3,36,36,     ,          ,68,61.2,59.5,10.47
OR,    ,53392,#2,JUN SQUA BLUE STAR,Blue Star Juniper                                           ,CON,4,4,4,     ,          ,13.75,12.38,12.03,1.45
OR,    ,53395,#5,JUN SQUA BLUE STAR,Blue Star Juniper                                           ,CON,4,34,110,     ,          ,19,17.1,16.63,2.91
