Code,Item#,Item Description,Common,OR 2013,,,,,,
074722,7472,AGAVE ATTENUATA RAY OF LIGHT,Variegated Fox Tail Agave,,,,,,,
074725,7472,AGAVE ATTENUATA RAY OF LIGHT,Variegated Fox Tail Agave,,,,,,,
034822,3482,AGAVE BRACTEOSA,Squid Agave,,,,,,,
074122,7412,AGAVE BRACTEOSA CALAMAR,Calamar Squid Agave,,,,,,,
068762,6876,AGAVE DESMETIANA JOE HOAK,,,,,,,,
068765,6876,AGAVE DESMETIANA JOE HOAK,,,,,,,,
027425,2742,AGAVE DESMETTIANA,Dwarf Agave,,,,,,,
027429,2742,AGAVE DESMETTIANA,Dwarf Agave,,,,,,,
021595,2159,AGAVE DESMETTIANA VARIEGATA,Variegated Dwarf Agave,,,,,,,
021599,2159,AGAVE DESMETTIANA VARIEGATA,Variegated Dwarf Agave,,,,,,,
074132,7413,AGAVE DURANGO,Thread-leaf Agave,,,,,,,
070492,7049,AGAVE FERDINAND REGIS,Ferdinand Agave,,,,,,,
068771S,6877,AGAVE FILIFERA,,,,,,,,
068772,6877,AGAVE FILIFERA,,,,,,,,
021612,2161,AGAVE GEMINIFLORA,Twin Flowered Agave,,,,,,,
021615,2161,AGAVE GEMINIFLORA,Twin Flowered Agave,,,,,,,
02161M,2161,AGAVE GEMINIFLORA,Twin Flowered Agave,,,,,,,
068791S,6879,AGAVE NEOMEXICANA,New Mexico Century Plant,,,,,,,
068792,6879,AGAVE NEOMEXICANA,New Mexico Century Plant,,,,,,,
092822,9282,AGAVE OCA X ATT BLUE GLOW,Blue Glow Agave,,,,,,,
092825,9282,AGAVE OCA X ATT BLUE GLOW,Blue Glow Agave,,,,,,,
025222,2522,AGAVE PARRYI VAR TRUNCATA,Artichoke Agave,,,,,,,
068812,6881,AGAVE POTATORUM KISSHO KAN,Lucky Crown Century Plant,,,,,,,
025233,2523,AGAVE SCH DURANGO DELIGHT TM,Durango Delight ™ Agave,,,,,,,
074172,7417,AGAVE UTAHENSIS SSP UTAHENSIS,Utah Agave,,,,,,,
025242,2524,AGAVE VICTORIA-REGINAE,Queen Victoria Agave,,,,,,,
094365,9436,AGAVE WEBERI,Weber's Agave,,,,,,,
034291TR,3429,AGONIS FLEX AFTER DARK,Purple Peppermint Willow,,,,,,,
034295TR,3429,AGONIS FLEX AFTER DARK,Purple Peppermint Willow,,,,,,,
08030UT,8030,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle,3.00 ,,,,,,
080301,8030,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle,4.80 ,,,,,,
00189UT,189,AJUGA REPTANS BRONZE BEAUTY,Bronze Beauty Carpet Bugle,3.00 ,,,,,,
