Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
OR,1354950,                              ,06/13/14  ,024031,#1,CHAM PIS FIL GOLDEN CHARM,Golden Charm Thread-Branch Cypress                                                                  ,    ,6.75 ,,5.60 , 10 , 10 , 56.00 ,Now         ,WINTER COLOR,"10""S",0.81 , 6.41 , 6.81 ,, 19.99 ,014949240311 
OR,1354950,                              ,06/13/14  ,039512,#2,CIMI S BLACK NEGLIGEE (ACTAEA),Black Negligee Snakeroot                                                                            ,    ,16.00 ,,13.28 , 5 , 5 , 66.40 ,Now         ,DORMANT,.,2.01 , 15.29 , 16.30 ,, 19.99 ,014949230329 
OR,1354950,                              ,06/13/14  ,027251,#1,CLEM INTEGRIFOLIA CAERULEA,Bushy Blue Bell Clematis                                                                            ,    ,7.00 ,,5.81 , 10 , 10 , 58.10 ,Now         ,DORMANT,.,0.81 , 6.62 , 7.02 ,, 16.99 ,014949272510 
OR,1354950,                              ,06/13/14  ,021792,#2 STAKED,CLEM PIILU TM PPAF,Piilu™  Clematis                                                                                    ,    ,17.00 ,,14.11 , 5 , 15 , 211.65 ,Now         ,BREAKING DORMANCY,FULL STK,2.01 , 16.12 , 17.13 ,, 29.99 ,014949041581 
OR,1354950,                              ,06/13/14  ,021862,#2 STAKED,CLEM SAPPHIRE INDIGO TMPP17012,Sapphire Indigo™  Clematis                                                                          ,2009,17.50 ,,14.53 , 5 , 5 , 72.65 ,Now         ,BREAKING DORMANCY,FULL STK,2.01 , 16.54 , 17.55 ,, 29.99 ,014949108727 
OR,1354950,                              ,06/13/14  ,033492,#2 STAKED,CLEM X HANIA,Hania Clematis                                                                                      ,    ,17.00 ,,14.11 , 5 , 6 , 84.66 ,Now         ,BREAKING DORMANCY,FULL STK,2.01 , 16.12 , 17.13 ,, 29.99 ,014949210314 
OR,1354950,                              ,06/13/14  ,044481,#1 STAKED,CLEM X JACKMANII SUPERBA,Jackman Superba Clematis                                                                            ,    ,8.50 ,,7.06 , 10 , 10 , 70.60 ,05/01/14    ,-,,0.81 , 7.87 , 8.27 ,, 19.99 ,014949296981 
OR,1354950,                              ,06/13/14  ,033512,#2 STAKED,CLEM X JULKA,Julka Clematis                                                                                      ,    ,17.00 ,,14.11 , 5 , 5 , 70.55 ,05/01/14    ,,,2.01 , 16.12 , 17.13 ,, 29.99 ,014949210321 
OR,1354950,                              ,06/13/14  ,027061,#1 STAKED,CLEM X MULTI-BLUE,Multi-Blue Clematis                                                                                 ,    ,8.50 ,,7.06 , 10 , 10 , 70.60 ,Now         ,BREAKING DORMANCY,FULL STK,0.81 , 7.87 , 8.27 ,, 19.99 ,014949270615 
OR,1354950,                              ,06/13/14  ,027065,#5 STAKED,CLEM X MULTI-BLUE,Multi-Blue Clematis                                                                                 ,    ,28.00 ,,23.24 , 5 , 5 , 116.20 ,Now         ,BREAKING DORMANCY,FULL STK,4.03 , 27.27 , 29.28 ,, 44.99 ,014949270653 
OR,1354950,                              ,06/13/14  ,027071,#1 STAKED,CLEM X PINK CHAMPAGNE,Pink Champagne Clematis                                                                             ,    ,8.50 ,,7.06 , 10 , 10 , 70.60 ,Now         ,BREAKING DORMANCY,FULL STK,0.81 , 7.87 , 8.27 ,, 19.99 ,014949270714 
GA,1354973,                              ,06/15/14  ,024175,#5,COLOCASIA ANT ILLUSTRIS,Imperial Taro                                                                                       ,    ,20.00 ,,16.60 , 5 , 5 , 83.00 ,03/01/14    ,,,2.35 , 18.95 , 20.12 ,, 39.99 ,014949207284 
GA,1354973,                              ,06/15/14  ,024201,#1,COLOCASIA ESC BLACK MAGIC,Black Magic Elephant Ear                                                                            ,    ,7.00 ,,5.81 , 10 , 10 , 58.10 ,Now         ,,"10""H",0.47 , 6.28 , 6.51 ,, 34.99 ,014949044643 
GA,1354973,                              ,06/15/14  ,05934UT,LittleOne,COREOPSIS GRAND RISING SUN,Rising Sun Tickseed                                                                                 ,2010,2.95 ,,2.45 , 16 , 16 , 39.20 ,04/01/14    ,,,0.35 , 2.80 , 2.98 ,, 5.99 ,014949310113 
