,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rep Allocation,,,,,,,,,,,,,,,,,
Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast,,
170000,017411,CANNA TROPICANNA GLD TM P13809,PRN,+,17,17,-,-,-,-,4/1/2014,"1,466",$9.00 ,17,-,,
170000,017412,CANNA TROPICANNA GLD TM P13809,PRN,+,45,20,-,25,25,875,4/15/2014,"3,229",$18.50 ,21,-,,
170000,022891,CARY X DARK KNIGHT,DCS,+,11,10,-,1,-,-,4/1/2014,-,$5.75 ,10,-,,
170000,022895,CARY X DARK KNIGHT,DCS,+,23,22,-,1,-,-,4/1/2014,160,$19.25 ,10,-,,
170000,023481,CERATOSTIGMA PLUMBAGINOIDES,PRN,+,23,23,-,-,-,-,3/15/2014,-,$4.75 ,55,-,,
170000,034835TR,CERCIDIUM X DESERT MUSEUM,TRE,+,6,-,-,6,-,-,5/1/2014,-,$33.00 ,-,-,,
170000,074442S,CHAEN DBLTKE TM OR STRM P20950,DCS,+,75,35,-,40,40,683,,683,$16.00 ,9,-,,
170000,074452S,CHAEN DBLTKE TM PK STRM P20920,DCS,+,75,35,-,40,40,"1,053",3/15/2014,"1,053",$16.00 ,6,-,,
170000,074771S,CHAEN DBLTKE TM SCR STRM PPAF,DCS,+,35,15,-,20,20,170,,170,$9.75 ,-,-,,
170000,031002,CHAENOMELES SUPER RED R,DCS,+,26,12,-,14,14,163,,163,$13.75 ,5,-,,
170000,031052,CHAENOMELES TEXAS SCARLET,DCS,+,11,6,-,5,-,-,4/1/2014,-,$13.75 ,10,-,,
170000,020742,CHAENOMELES TOYO-NISHIKI,DCS,+,5,5,-,-,-,-,,-,$13.75 ,10,-,,
170000,022985,CHITALPA TASH PINK DAWN,TRE,+,11,10,-,1,1,56,,56,$28.00 ,-,-,,
170000,026001,CITRUS IMPROVED MEYER LEMON,CIT,+,12,12,-,-,-,-,4/25/2014,-,$9.00 ,76,-,,
170000,026002,CITRUS IMPROVED MEYER LEMON,CIT,+,40,24,-,16,16,"1,514",,"1,514",$16.75 ,27,-,,
170000,026002PT,CITRUS IMPROVED MEYER LEMON,CIT,+,15,15,-,-,-,-,4/25/2014,-,$30.00 ,-,-,,
170000,026005,CITRUS IMPROVED MEYER LEMON,CIT,+,18,18,-,-,-,-,,-,$24.25 ,40,-,,
170000,026005PT,CITRUS IMPROVED MEYER LEMON,CIT,+,33,33,-,-,-,60,,60,$38.50 ,69,-,,
