Loc,Item,Plant Name,Botanical Name,Common Name,Chosen Items,Royalty Code,UPC#,
CA,006151,AZALEA S NUCCIO'S CARNIVAL,Azalea 'Nuccio's Carnival' (Southern Indica)                ,Nuccio's Carnival Azalea                                    ,,,014949061510,
CA,006301,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,,,014949063019,
CA,006305,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,,,014949063057,
CA,006305PT,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,,,014949063156,
CA,006401,AZALEA S RED RUFFLES,Azalea 'Red Ruffles' (Rutherfordiana hybrid)                ,Red Ruffles Azalea                                          ,,,014949064016,
CA,006501,AZALEA S SOUTHERN CHARM,Azalea 'Southern Charm' (Southern Indica)                   ,Southern Charm Azalea                                       ,,,014949065013,
CA,006505,AZALEA S SOUTHERN CHARM,Azalea 'Southern Charm' (Southern Indica)                   ,Southern Charm Azalea                                       ,,,014949065051,
CA,006505PT,AZALEA S SOUTHERN CHARM,Azalea 'Southern Charm' (Southern Indica)                   ,Southern Charm Azalea                                       ,,,014949065259,
CA,007361,AZALEA SK GETSUTOKU,Azalea 'Getsutoku' (Satsuki hybrid)                         ,Getsutoku Azalea                                            ,,,014949073612,
CA,008511,AZALEA SK SHUGETSU,Azalea 'Shugetsu' (Satsuki hybrid)                          ,Autumn Moon Azalea                                          ,,,014949085110,
CT,401043,AZALEA SWEET SIXTEEN PP12847,                                                            ,                                                            ,,,014949388808,
OR,049782,AZARA MICRO VARIEGATA,Azara microphylla 'Variegata'                               ,Variegated Box-Leaf Azara                                   ,,HIN,014949282526,
OR,049775,AZARA MICROPHYLLA,Azara microphylla                                           ,Box-leaf Azara                                              ,,HIN,014949288542,
OR,035535,BAM-BORINDA ANGUSTISSIMA(CLMP),Borinda angustissima                                        ,Narrow-Leaved Clumping Bamboo                               ,,,014949207925,
OR,053491,BAM-BORINDA BOLIANA (CLUMP),Borinda boliana (Clumping)                                  ,Giant Blue Bamboo                                           ,,,014949375501,
OR,053492,BAM-BORINDA BOLIANA (CLUMP),Borinda boliana (Clumping)                                  ,Giant Blue Bamboo                                           ,,,014949282168,
OR,053495,BAM-BORINDA BOLIANA (CLUMP),Borinda boliana (Clumping)                                  ,Giant Blue Bamboo                                           ,,,014949282175,
CT,402541S,BAM-FARGESIA DENUDATA,                                                            ,                                                            ,,,014949388846,
CT,025211S,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,,,014949400760,
160000,025212,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,su,,014949191972,
CT,025213,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,,,014949400777,
OR,025215,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,,,014949050187,
CT,402563,BAM-FARGESIA RUFA GREAT WALL,                                                            ,                                                            ,,,014949388877,
CT,402581S,BAM-FARGESIA SCABRIDA,                                                            ,                                                            ,,,014949388891,
CT,402583,BAM-FARGESIA SCABRIDA,                                                            ,                                                            ,,,014949388907,
CA,011407,BAM-OTATEA AC AZTECTORUM (CLP),Otatea acuminata aztecorum                                  ,Mexican Weeping Bamboo                                      ,,,014949114070,
170000,011427,BAM-PHYLLO AUREA (RUN),Phyllostachys aurea                                         ,Golden Bamboo                                               ,1,,014949114278,
CA,011447,BAM-PHYLLO NIGRA (RUN),Phyllostachys nigra                                         ,Black Bamboo                                                ,,,014949114476,
CA,011385,BAMBUSA GOLDEN GODDESS (CLUMP),Bambusa multiplex 'Golden Goddess'                          ,Golden Goddess Bamboo                                       , ,,014949113851,
CA,011317,BAMBUSA OLDHAMII (CLUMP),Bambusa oldhamii                                            ,Giant Timber Bamboo                                         ,,,014949113172,
CA,011325,BAMBUSA TULDOIDES (CLUMP),Bambusa tuldoides                                           ,Punting Pole Bamboo                                         ,,,014949113257,
CA,011327,BAMBUSA TULDOIDES (CLUMP),Bambusa tuldoides                                           ,Punting Pole Bamboo                                         ,,,014949113271,
CA,011335,BAMBUSA VENTRICOSA (CLUMP),Bambusa ventricosa                                          ,Buddha's Belly Bamboo                                       ,,,014949113356,
GA,002781,BAPTISIA 'PURPLE SMOKE',Baptisia x 'Purple Smoke'                                   ,Purple Smoke False Indigo                                   ,,,014949352618,
CA,002191,BAPTISIA AUSTRALIS,Baptisia australis                                          ,Blue False Indigo                                           ,,,014949011324,
CT,401051S,BAPTISIA DECADENCE R CHRS JUBL,                                                            ,                                                            ,,PW,014949410981,
CT,401061,BAPTISIA SOLAR FLARE PP20408,                                                            ,                                                            ,,,014949388921,
CA,064021,BASIL PESTO PERPETUO PP16260,Ocimum x citriodorum 'Pesto Perpetuo' P.P.# 16260           ,Pesto Perpetuo Basil                                        ,,SBN,014949315477,
CT,064021,BASIL PESTO PERPETUO PP16260,Ocimum x citriodorum 'Pesto Perpetuo' P.P.# 16260           ,Pesto Perpetuo Basil                                        ,,SBN,014949315477,
CT,06402RND,BASIL PESTO PERPETUO PP16260,Ocimum x citriodorum 'Pesto Perpetuo' P.P.# 16260           ,Pesto Perpetuo Basil                                        ,,SBN,014949384749,
CA,011505,BAUHINIA BLAK HONG KONG,Bauhinia blakeana                                           ,Hong Kong Orchid Tree                                       ,,,014949115053,
OR,050021,BEESIA DELTOPHYLLA,Beesia deltophylla                                          ,Beesia                                                      ,,HIN,014949288597,
GA,05917UT,BELLIS PERENNIS ROMINETTE MIX,Bellis perennis 'Rominette Mix'                             ,Rominette Mix English Daisy                                 ,,,014949307724,
OR,023941,BER CRIMSON RUBY R PPAF,Berberis thunbergii 'Criruzam'                              ,Crimson Ruby®  Japanese Barberry,,LHI,014949044438,
OR,023942,BER CRIMSON RUBY R PPAF,Berberis thunbergii 'Criruzam'                              ,Crimson Ruby®  Japanese Barberry,,LHI,014949113769,
OR,02394M,BER CRIMSON RUBY R PPAF,Berberis thunbergii 'Criruzam'                              ,Crimson Ruby®  Japanese Barberry,,LHI,014949367681,
170000,012031,BER GOLDN NUGGET TM P9577 CBR,"Berberis thunbergii 'Monlers' P.P. #9,577, Can. PBR #3489   ",Golden Nugget™  Dwarf Japanese Barberry,su,EHE,014949120316,
OR,074741S,BER SUNJOY R GOLD PILLAR PPAF,"Berberis thunbergii 'Maria' P.P. #18,082                    ",Sunjoy®  Gold Pillar Barberry,,PW,014949335642,
