013907,,,,7,OR,2,Buxus sempervirens Green Tower®,Green Tower®  Boxwood,EVS,E Shrub,05,    , $61.58 ,,,,014949139073,0,5,5,09/15/14  ,0,          ,0,          ,, $48.50 , $13.08 
013981,,,,1,OR,10,Buxus sempervirens 'Suffruticosa'                           ,Dwarf English Boxwood                                       ,EVS,E Shrub,05,    , $8.55 ,,,,014949139813,261,261,261,04/01/15  ,0,          ,0,          ,, $7.50 , $1.05 
013982,,,,2,OR,5,Buxus sempervirens 'Suffruticosa'                           ,Dwarf English Boxwood                                       ,EVS,E Shrub,05,    , $19.12 ,,,,014949027103,107,0,0,          ,0,          ,0,          ,, $16.50 , $2.62 
01398UT,,,,LittleOne,OR,16,Buxus sempervirens 'Suffruticosa'                           ,Dwarf English Boxwood                                       ,EVS,E Shrub,05,    , $5.78 ,,,,014949068953,0,17,17,04/01/15  ,0,          ,0,          ,, $5.00 , $0.78 
013881,,,,1,OR,10,Buxus sempervirens 'Variegata'                              ,Variegated English Boxwood                                  ,EVS,E Shrub,05,    , $8.55 ,,,,014949139219,0,162,162,10/01/14  ,0,          ,0,          ,, $7.50 , $1.05 
013882,,,,2,GA,5,Buxus sempervirens 'Variegata'                              ,Variegated English Boxwood                                  ,EVS,E Shrub,05,    , $19.12 ,, $18.16 ,,014949139226,0,627,478,0,149,0,0,0,, $16.50 , $1.66 
01388UT,,,,LittleOne,OR,16,Buxus sempervirens 'Variegata'                              ,Variegated English Boxwood                                  ,EVS,E Shrub,05,    , $5.78 ,,,,014949068960,0,63,63,04/01/15  ,0,          ,0,          ,, $5.00 , $0.78 
03597UT,,,,LittleOne,OR,16,Buxus sinica var. insularis 'Wee Willie',Wee Willie®  Boxwood,EVS,E Shrub,05,2010, $5.78 ,,,,014949212226,0,462,462,04/01/15  ,0,          ,0,          ,, $5.00 , $0.78 
003011,,,,1,OR,10,Buxus x Chicagoland Green™                             ,Chicagoland Green™  Boxwood,EVS,E Shrub,04,    , $8.55 ,,,,014949005750,90,90,90,09/15/14  ,0,          ,0,          ,, $7.50 , $1.05 
003012,,,,2,OR,5,Buxus x Chicagoland Green™                             ,Chicagoland Green™  Boxwood,EVS,E Shrub,04,    , $18.12 ,,,,014949005767,31,62,31,10/01/14  ,31,05/01/15  ,0,          ,, $15.50 , $2.62 
003015,,,,5,OR,5,Buxus x Chicagoland Green™                             ,Chicagoland Green™  Boxwood,EVS,E Shrub,04,    , $30.73 ,,,,014949012079,0,14,14,04/15/15  ,0,          ,0,          ,, $25.50 , $5.23 
013821,,,,1,CA,10,Buxus x 'Green Mountain'                                    ,Green Mountain Boxwood                                      ,EVS,E Shrub,04,    , $7.55 , $7.59 ,,,014949138212,41,5134,5134,0,0,0,0,0,, $6.50 , $1.09 
013822,,,,2,OR,5,Buxus x 'Green Mountain'                                    ,Green Mountain Boxwood                                      ,EVS,E Shrub,04,    , $17.62 ,,,,014949138229,61,0,0,          ,0,          ,0,          ,, $15.00 , $2.62 
