Loc,Order#,PO#,Request Date,Item,Size,Description,Product,Zone,Common Name,New Plant,Catalog Price      ,Price Code,Net Price     ,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Date Ready,Condition,Current Specs,Plant Status,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
GA,1494978,SPRING 2015 GA                ,06/01/15  ,092752,#2,HYD BLUE ENCHANTRESS R PP25209,DCS,05,Blue Enchantress®  Hydrangea                                                                        ,2013,17,,14.96, 5 , 20 , 299.20 ,     ,     ,     ,04/15/15    ,,,,1.46, 16.42 ,     ,, 34.99 ,014949370643 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,092755,#5,HYD BLUE ENCHANTRESS R PP25209,DCS,05,Blue Enchantress®  Hydrangea                                                                        ,2013,24,,21.12, 5 , 30 , 633.60 ,     ,     ,     ,Now         ,DORMANT,"15""H - 15""S",,2.92, 24.04 ,     ,, 49.99 ,014949313145 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,403803,#3,HYD END SUM R BLMSTRCK TM PPAF,DCS,04,Bloomstruck Endless Summer®  Hydrangea                                                              ,    ,21.5,,18.92, 5 , 10 , 189.20 ,     ,     ,     ,05/01/15    ,,,,1.46, 20.38 ,     ,, 39.99 ,014949392393 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,017313,#3,HYD M ENDLESS SUMMER R PP15298,DCS,04,Endless Summer®  Hydrangea                                                                          ,    ,21,,18.48, 5 , 10 , 184.80 ,     ,     ,     ,Now         ,-,,,1.46, 19.94 ,     ,, 39.99 ,014949057285 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,017315,#5,HYD M ENDLESS SUMMER R PP15298,DCS,04,Endless Summer®  Hydrangea                                                                          ,    ,22,,19.36, 5 , 50 , 968.00 ,     ,     ,     ,Now         ,DORMANT,cutback,,2.92, 22.28 ,     ,, 44.99 ,014949003657 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,074562S,SuperTwo,HYD MAC CTYLN TM PARIS PP10906,DCS,05,Cityline®  Paris Bigleaf Hydrangea                                                                  ,2011,17,,14.96, 5 , 20 , 299.20 ,     ,     ,     ,04/01/15    ,,,,1.95, 16.91 ,     ,, 34.99 ,014949338230 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,077462S,SuperTwo,HYD MAC LD R BIG EASY PPAF,DCS,05,Let's Dance®  Big Easy Hydrangea                                                                    ,2012,17,,14.96, 5 , 30 , 448.80 ,     ,     ,     ,Now         ,DORMANT,"12""H - 12""S",,1.95, 16.91 ,     ,, 34.99 ,014949355961 
GA,1494978,SPRING 2015 GA                ,04/01/15  ,077465,#5,HYD MAC LD R BIG EASY PPAF,DCS,05,Let's Dance®  Big Easy Hydrangea                                                                    ,2012,24,,21.12, 5 , 30 , 633.60 ,     ,     ,     ,04/01/15    ,,,,2.92, 24.04 ,     ,, 49.99 ,014949355978 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,086303S,Super 3,HYD MAC LD R DIVA,DCS,05,Let's Dance®  Diva Hydrangea                                                                        ,2014,21.5,,18.92, 5 , 15 , 283.80 ,     ,     ,     ,06/01/15    ,,,,1.46, 20.38 ,     ,, 39.99 ,014949410455 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,074582S,SuperTwo,HYD MAC LD R STARLIGHT PP20019,DCS,05,Let's Dance®  Starlight Bigleaf Hydrangea                                                           ,2011,17,,14.96, 5 , 20 , 299.20 ,     ,     ,     ,Now         ,DORMANT,"14""H - 14""S",,1.95, 16.91 ,     ,, 34.99 ,014949336205 
