Item,,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
40212,2,,,2,CT,5,Cytisus purgans Andorra Hardy Broom                         ,Andorra Hardy Broom                                         ,DCS,D Shrubs,05,    ,,,, $13.36 ,014949390313,6,0,0,          ,0,          ,0,          ,, $17.00 , $3.64 
03120,2,,,2,CT,5,Cytisus scoparius 'Burkwoodi'                               ,Burkwoodi Broom                                             ,DCS,D Shrubs,06,    ,,,, $13.36 ,014949402368,0,241,241,09/01/14  ,0,          ,0,          ,, $10.50 , $1.82 
03136,5,,,5,OR,5,Cytisus x 'Lena' ,Lena Scotch Broom                                           ,DCS,D Shrubs,06,    , $26.73 ,,,,014949313657,13,0,0,          ,0,          ,0,          ,, $14.50 , $1.11 
03135,2,,,2,CT,5,Cytisus x 'Lilac Time'    ,Lilac Time Scotch Broom                                     ,DCS,D Shrubs,06,    ,,,, $13.36 ,014949313527,0,901,901,09/01/14  ,0,          ,0,          ,, $10.50 , $1.82 
03138,2,,,2,OR,5,Cytisus x praecox 'Allgold'                                 ,Allgold Scotch Broom                                        ,DCS,D Shrubs,06,    , $15.87 ,,,,014949313824,0,30,30,04/15/15  ,0,          ,0,          ,, $17.00 , $3.64 
02989,3S,,,Super 3,CT,5,Deutzia gracilis Chardonnay Pearls®,Chardonnay Pearls®  Deutzia,DCS,D Shrubs,05,    ,,,, $19.29 ,014949411537,0,520,520,09/01/14  ,0,          ,0,          ,, $13.25 , $1.11 
03157,2,,,2,OR,5,Deutzia gracilis 'Nikko'                                    ,Dwarf Nikko Deutzia                                         ,DCS,D Shrubs,05,    , $16.37 ,,,,014949315729,65,65,65,10/01/14  ,0,          ,0,          ,, $13.25 , $1.11 
05642,2,,,2,OR,5,Deutzia setchuenensis var. corymbiflora                     ,Chinese Snow Flower                                         ,DCS,D Shrubs,04,2011, $16.37 ,,,,014949348291,19,19,19,10/01/14  ,0,          ,0,          ,, $13.25 , $1.11 
03159,5,,,5,OR,5,Deutzia x Pink-A-Boo®,Pink-A-Boo®  Deutzia,DCS,D Shrubs,05,    , $26.73 ,,,,014949315958,0,5,5,10/01/14  ,0,          ,0,          ,, $22.50 , $5.46 
06827,3,,,3,CT,5,Diervilla sessilifolia Cool Splash™,Cool Splash™  Diervilla,DCS,D Shrubs,04,2014,,,, $18.54 ,014949386996,3970,0,0,          ,0,          ,0,          ,, $9.50 , $1.82 
03203,2,,,2,OR,5,Enkianthus campanulatus                                     ,Red Veined Enkianthus                                       ,DCS,D Shrubs,05,    , $18.12 ,,,,014949028391,82,82,82,10/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
01931,1,,,1,OR,10,Euonymus alatus 'Cole's Compact'                            ,Cole's Compact Burning Bush                                 ,DCS,D Shrubs,04,    , $7.30 ,,,,014949015636,267,0,0,          ,0,          ,0,          ,, $22.50 , $5.46 
03360,1,,,1,OR,10,Euonymus alatus 'Compactus'                                 ,Dwarf Burning Bush                                          ,DCS,D Shrubs,04,    , $7.05 ,,,,014949336014,0,102,102,10/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
40253,3S,,,Super 3,CT,5,Exochorda 'Blizzard'                                        ,Snow Day™  Blizzard Pearl Bush,DCS,D Shrubs,04,    ,,,, $18.79 ,014949411568,0,226,189,09/01/14  ,37,01/01/15  ,0,          ,, $22.00 , $5.23 
40261,3,,,3,CT,5,Forsythia suspensa var. sieboldii                           ,Weeping Forsythia                                           ,DCS,D Shrubs,05,    ,,,, $16.04 ,014949390917,0,136,136,08/15/14  ,0,          ,0,          ,, $15.25 , $2.62 
08381,3,,,3,CT,5,Forsythia x Gold Tide,Gold Tide Forsythia                                  ,DCS,D Shrubs,05,    ,,,, $16.04 ,014949220856,0,152,152,09/01/14  ,0,          ,0,          ,, $22.00 , $5.23 
01754,1,,,1,OR,10,Forsythia x intermedia Magical Gold             ,Magical®  Gold Forsythia,DCS,D Shrubs,05,    , $8.55 ,,,,014949004395,84,84,84,10/01/14  ,0,          ,0,          ,, $17.75 , $1.54 
07743,1S,,,SuperOne TM,OR,10,Forsythia x intermedia Show Off Starlet,Show Off™  Starlet Forsythia,DCS,D Shrubs,04,2011, $12.24 ,,,,014949355848,0,679,679,10/01/14  ,0,          ,0,          ,, $17.50 , $1.54 
07482,1S,,,SuperOne TM,OR,10,Forsythia x intermedia Show Off™ ,Show Off™  Forsythia,DCS,D Shrubs,04,2012, $12.24 ,,,,014949335871,22,22,22,10/01/14  ,0,          ,0,          ,, $22.00 , $5.23 
03710,1,,,1,OR,10,Forsythia x intermedia 'Spring Glory'                       ,Spring Glory Forsythia                                      ,DCS,D Shrubs,03,    , $7.30 ,,,,014949371015,681,1710,1710,10/01/14  ,0,          ,0,          ,, $24.00 , $3.32 
03717,5,,,5,CT,5,Fothergilla gardenii                                        ,Dwarf Fothergilla                                           ,DCS,D Shrubs,05,    ,,,, * ,014949371756,0,501,501,09/01/14  ,0,          ,0,          ,, $8.00 , $1.82 
