Loc,Item,Size,Plant Name,Botanical Name,Common Name,Chosen Items,Royalty Code,UPC#
OR,48135,#5,JUN C SEA OF GOLD R PP17622,"Juniperus x pfitzeriana 'MonSan' P.P. #17,622               ",Sea Of Gold®  Juniper,,,14949481356
CA,48135,#5,JUN C SEA OF GOLD R PP17622,"Juniperus x pfitzeriana 'MonSan' P.P. #17,622               ",Sea Of Gold®  Juniper,,,14949481356
CA,047307SP,#7 SPIRAL,JUN C SPARTAN,Juniperus chinensis 'Spartan'                               ,Spartan Juniper                                             ,,,14949473177
CA,47309,#15,JUN C SPARTAN,Juniperus chinensis 'Spartan'                               ,Spartan Juniper                                             ,,,14949473092
CA,047309SP,#15 SPIRAL,JUN C SPARTAN,Juniperus chinensis 'Spartan'                               ,Spartan Juniper                                             ,,,14949473191
CA,48705,#5,JUN C TORULOSA,Juniperus chinensis 'Torulosa'                              ,Hollywood Juniper                                           ,,,14949487051
CA,48709,#15,JUN C TORULOSA,Juniperus chinensis 'Torulosa'                              ,Hollywood Juniper                                           ,,,14949487099
OR,49032,#2,JUN COM ALPINE CARPET R,Juniperus communis 'Mondap'                                 ,Alpine Carpet®  Juniper,,,14949490327
OR,49035,#5,JUN COM ALPINE CARPET R,Juniperus communis 'Mondap'                                 ,Alpine Carpet®  Juniper,,,14949490358
OR,84901,#1,JUN COMMUNIS VAR MONTANA,Juniperus communis var. montana (var. jackii)               ,Mountain Juniper                                            ,,,14949051306
OR,84905,#5,JUN COMMUNIS VAR MONTANA,Juniperus communis var. montana (var. jackii)               ,Mountain Juniper                                            ,,,14949051313
CT,49102,#2,JUN CON BLUE PACIFIC,Juniperus conferta 'Blue Pacific'                           ,Blue Pacific Shore Juniper                                  ,,,14949491027
GA,49102,#2,JUN CON BLUE PACIFIC,Juniperus conferta 'Blue Pacific'                           ,Blue Pacific Shore Juniper                                  ,,,14949491027
GA,49103,#3,JUN CON BLUE PACIFIC,Juniperus conferta 'Blue Pacific'                           ,Blue Pacific Shore Juniper                                  ,,,14949040164
OR,49901,#1,JUN H ICEE BLUE R P9639,"Juniperus horizontalis 'Monber' P.P. #9,639                 ",Icee Blue®  Juniper,,OLD,14949499016
CA,49901,#1,JUN H ICEE BLUE R P9639,"Juniperus horizontalis 'Monber' P.P. #9,639                 ",Icee Blue®  Juniper,,OLD,14949499016
OR,49902,#2,JUN H ICEE BLUE R P9639,"Juniperus horizontalis 'Monber' P.P. #9,639                 ",Icee Blue®  Juniper,,OLD,14949499023
CA,49905,#5,JUN H ICEE BLUE R P9639,"Juniperus horizontalis 'Monber' P.P. #9,639                 ",Icee Blue®  Juniper,,OLD,14949499054
OR,049905PT,#5 PATIO TREE,JUN H ICEE BLUE R P9639,"Juniperus horizontalis 'Monber' P.P. #9,639                 ",Icee Blue®  Juniper,,OLD,14949499252
CA,049905PT,#5 PATIO TREE,JUN H ICEE BLUE R P9639,"Juniperus horizontalis 'Monber' P.P. #9,639                 ",Icee Blue®  Juniper,,OLD,14949499252
CA,50302,#2,JUN H PRINCE OF WALES,Juniperus horizontalis 'Prince of Wales'                    ,Prince Of Wales Juniper                                     ,,,14949503027
OR,50701,#1,JUN H WILTONII,Juniperus horizontalis 'Wiltonii'                           ,Blue Rug Juniper                                            ,,,14949507018
GA,50701,#1,JUN H WILTONII,Juniperus horizontalis 'Wiltonii'                           ,Blue Rug Juniper                                            ,,,14949507018
CT,50702,#2,JUN H WILTONII,Juniperus horizontalis 'Wiltonii'                           ,Blue Rug Juniper                                            ,,,14949507025
CT,50703,#3,JUN H WILTONII,Juniperus horizontalis 'Wiltonii'                           ,Blue Rug Juniper                                            ,,,14949507032
CA,50202,#2,JUN H YOUNGSTOWN,Juniperus horizontalis 'Youngstown'                         ,Youngstown Andorra Juniper                                  ,,,14949502020
OR,50901,#1,JUN PRO NANA,Juniperus procumbens 'Nana'                                 ,Dwarf Japanese Garden Juniper                               ,,,14949509012
GA,50901,#1,JUN PRO NANA,Juniperus procumbens 'Nana'                                 ,Dwarf Japanese Garden Juniper                               ,,,14949509012
OR,50902,#2,JUN PRO NANA,Juniperus procumbens 'Nana'                                 ,Dwarf Japanese Garden Juniper                               ,,,14949509029
CT,50902,#2,JUN PRO NANA,Juniperus procumbens 'Nana'                                 ,Dwarf Japanese Garden Juniper                               ,,,14949509029
CT,50903,#3,JUN PRO NANA,Juniperus procumbens 'Nana'                                 ,Dwarf Japanese Garden Juniper                               ,,,14949509036
CT,050903BO,#3 BONSAI,JUN PRO NANA,Juniperus procumbens 'Nana'                                 ,Dwarf Japanese Garden Juniper                               ,,,14949405550
CA,50905,#5,JUN PRO NANA,Juniperus procumbens 'Nana'                                 ,Dwarf Japanese Garden Juniper                               ,,,14949509050
GA,50905,#5,JUN PRO NANA,Juniperus procumbens 'Nana'                                 ,Dwarf Japanese Garden Juniper                               ,,,14949509050
CA,52305,#5,JUN SC COLOGREEN,Juniperus scopulorum 'Cologreen'                            ,Cologreen Juniper                                           ,,,14949523056
CA,54005,#5,JUN SC SKYROCKET,Juniperus scopulorum 'Skyrocket'                            ,Skyrocket Juniper                                           ,,,14949540053
CA,053105PT,#5 PATIO TREE,JUN SC TOLL BLU WEEPING,Juniperus scopulorum 'Tolleson's Blue Weeping'              ,Tolleson's Blue Weeping Juniper                             ,,,14949531051
CA,53302,#2,JUN SC WICHITA BLUE,Juniperus scopulorum 'Wichita Blue'                         ,Wichita Blue Juniper                                        ,,,14949533024
OR,53305,#5,JUN SC WICHITA BLUE,Juniperus scopulorum 'Wichita Blue'                         ,Wichita Blue Juniper                                        ,,,14949533055
CA,53305,#5,JUN SC WICHITA BLUE,Juniperus scopulorum 'Wichita Blue'                         ,Wichita Blue Juniper                                        ,,,14949533055
CA,53309,#15,JUN SC WICHITA BLUE,Juniperus scopulorum 'Wichita Blue'                         ,Wichita Blue Juniper                                        ,,,14949533093
OR,05330M,#10 Squat,JUN SC WICHITA BLUE,Juniperus scopulorum 'Wichita Blue'                         ,Wichita Blue Juniper                                        ,,,14949533178
OR,53391,#1,JUN SQUA BLUE STAR,Juniperus squamata 'Blue Star'                              ,Blue Star Juniper                                           ,,,14949533918
OR,53392,#2,JUN SQUA BLUE STAR,Juniperus squamata 'Blue Star'                              ,Blue Star Juniper                                           ,,,14949533925
CT,53392,#2,JUN SQUA BLUE STAR,Juniperus squamata 'Blue Star'                              ,Blue Star Juniper                                           ,,,14949533925
OR,53395,#5,JUN SQUA BLUE STAR,Juniperus squamata 'Blue Star'                              ,Blue Star Juniper                                           ,,,14949533956
OR,053395PT,#5 PATIO TREE,JUN SQUA BLUE STAR,Juniperus squamata 'Blue Star'                              ,Blue Star Juniper                                           ,,,14949534359
CA,53655,#5,JUN V BLUE ARROW,Juniperus virginiana 'Blue Arrow'                           ,Blue Arrow Juniper                                          ,,,14949536551
GA,53655,#5,JUN V BLUE ARROW,Juniperus virginiana 'Blue Arrow'                           ,Blue Arrow Juniper                                          ,,,14949536551
CA,53659,#15,JUN V BLUE ARROW,Juniperus virginiana 'Blue Arrow'                           ,Blue Arrow Juniper                                          ,1,,14949536599
CA,05365M,#10 Squat,JUN V BLUE ARROW,Juniperus virginiana 'Blue Arrow'                           ,Blue Arrow Juniper                                          ,,,14949536582
GA,54141,#1,JUN V GREY OWL,Juniperus virginiana 'Grey Owl'                             ,Grey Owl Juniper                                            ,,,14949541418
GA,54145,#5,JUN V GREY OWL,Juniperus virginiana 'Grey Owl'                             ,Grey Owl Juniper                                            ,,,14949217306
CA,54091,#1,JUSTICIA BRANDEGEANA,Justicia brandegeana                                        ,Shrimp Plant                                                ,,,14949540916
CT,404272,#2,KALMIA LAT BULLS EYE,                                                            ,                                                            ,,,14949393758
CT,404275,#5,KALMIA LAT BULLS EYE,                                                            ,                                                            ,,,14949393796
CT,19845,#5,KALMIA LAT CAROL,                                                            ,                                                            ,,,14949405574
CT,404282,#2,KALMIA LAT CAROUSEL,                                                            ,                                                            ,,,14949393833
CT,404285,#5,KALMIA LAT CAROUSEL,                                                            ,                                                            ,,,14949393888
OR,54162,#2,KALMIA LAT ELF,Kalmia latifolia 'Elf'                                      ,Elf Dwarf Mountain Laurel                                   ,,,14949541623
CT,54162,#2,KALMIA LAT ELF,Kalmia latifolia 'Elf'                                      ,Elf Dwarf Mountain Laurel                                   ,,,14949541623
OR,54232,#2,KALMIA LAT MINUET,Kalmia latifolia 'Minuet'                                   ,Minuet Mountain Laurel                                      ,,,14949542323
OR,54072,#2,KALMIA LAT OLYMPIC FIRE,Kalmia latifolia 'Olympic Fire'                             ,Olympic Fire Mountain Laurel                                ,,,14949540725
CT,54075,#5,KALMIA LAT OLYMPIC FIRE,Kalmia latifolia 'Olympic Fire'                             ,Olympic Fire Mountain Laurel                                ,,,14949405697
CT,404315,#5,KALMIA LAT PINK CHARM,                                                            ,                                                            ,,,14949394007
CT,19865,#5,KALMIA LAT SARAH,                                                            ,                                                            ,,,14949405772
OR,54191,#1,KERRIA J PLENIFLORA,Kerria japonica 'Pleniflora'                                ,Double Flowered Japanese Rose                               ,,,14949541913
GA,54192,#2,KERRIA J PLENIFLORA,Kerria japonica 'Pleniflora'                                ,Double Flowered Japanese Rose                               ,,,14949040577
OR,54195,#5,KERRIA J PLENIFLORA,Kerria japonica 'Pleniflora'                                ,Double Flowered Japanese Rose                               ,,,14949541951
OR,80252,#2,KNIPH MANGO POPSICLE TM PPAF,Kniphofia 'Mango Popsicle' P.P.A.F.                         ,Mango Popsicle™  Dwarf Poker,,,14949380055
CT,404321S,SuperOne TM,KNIPH MANGO SHOUTOUT TM PPAF,                                                            ,                                                            ,,,14949394038
CT,80241,#1,KNIPH PAPAYA POPSICLE TM PPAF,                                                            ,                                                            ,,,14949298695
CT,80261,#1,KNIPH PINEAPPL POPSICLE TM PAF,Kniphofia 'Pineapple Popsicle' P.P.A.F.                     ,Pineapple Popsicle Dwarf Poker                              ,,,14949358894
OR,80262,#2,KNIPH PINEAPPL POPSICLE TM PAF,Kniphofia 'Pineapple Popsicle' P.P.A.F.                     ,Pineapple Popsicle Dwarf Poker                              ,,,14949380062
OR,80272,#2,KNIPH REDHOT POPSICLE TM PPAF,Kniphofia 'Redhot Popsicle' P.P.A.F.                        ,Redhot Popsicle™  Poker,,,14949380079
GA,06215UT,LittleOne,KNIPHOFIA BORDER BALLET,Kniphofia 'Border Ballet'                                   ,Border Ballet Torch Flower                                  ,,,14949310823
OR,43121,#1,KNIPHOFIA HIR FIRE DANCE,Kniphofia hirsuta 'Fire Dance'                              ,Fire Dance Dwarf Poker                                      ,,,14949338421
CA,54222,#2,KNIPHOFIA UV FLAMENCO,Kniphofia uvaria 'Flamenco'                                 ,Flamenco Red Hot Poker                                      ,,,14949276297
OR,074661S,SuperOne TM,KOLKWITZIA AMA DREAM CATCHR TM,Kolkwitzia amabilis 'Maradco'                               ,Dream Catcher™  Beauty Bush,,PW,14949336397
OR,54335,#5,LABURNUM X WAT VOSSII,Laburnum x Watereri 'Vossii'                                ,Golden Chain Tree                                           ,,,14949543351
CA,28431,#1,LAG ARAPAHO,Lagerstroemia indica x faueri 'Arapaho'                     ,Arapaho Crape Myrtle                                        ,,,14949063392
CA,28435,#5,LAG ARAPAHO,Lagerstroemia indica x faueri 'Arapaho'                     ,Arapaho Crape Myrtle                                        ,,,14949063408
GA,28435,#5,LAG ARAPAHO,Lagerstroemia indica x faueri 'Arapaho'                     ,Arapaho Crape Myrtle                                        ,,,14949063408
CA,028437TR,#7 TREE,LAG ARAPAHO,Lagerstroemia indica x faueri 'Arapaho'                     ,Arapaho Crape Myrtle                                        ,,,14949063439
GA,29815,#5,LAG BURGUNDY COTTON R PP14438,Lagerstroemia indica 'Whit VI' P.P.# 14438                  ,Burgundy Cotton®  Crape Myrtle,,LBI,14949066744
CA,54701,#1,LAG CATAWBA,Lagerstroemia indica 'Catawba'                              ,Catawba Crape Myrtle                                        ,,,14949547014
CA,54705,#5,LAG CATAWBA,Lagerstroemia indica 'Catawba'                              ,Catawba Crape Myrtle                                        ,,,14949547052
GA,54705,#5,LAG CATAWBA,Lagerstroemia indica 'Catawba'                              ,Catawba Crape Myrtle                                        ,,,14949547052
GA,54707,#7,LAG CATAWBA,Lagerstroemia indica 'Catawba'                              ,Catawba Crape Myrtle                                        ,1,,14949057865
CA,054707TR,#7 TREE,LAG CATAWBA,Lagerstroemia indica 'Catawba'                              ,Catawba Crape Myrtle                                        ,,,14949547175
CA,54709,#15 CLUMP,LAG CATAWBA,Lagerstroemia indica 'Catawba'                              ,Catawba Crape Myrtle                                        ,,,14949040737
CA,54765,#5,LAG CENTENNIAL SPIRIT,Lagerstroemia indica 'Centennial Spirit'                    ,Centennial Spirit Crape Myrtle                              ,,OLD,14949547854
CA,054765TR,#5 TREE,LAG CENTENNIAL SPIRIT,Lagerstroemia indica 'Centennial Spirit'                    ,Centennial Spirit Crape Myrtle                              ,,OLD,14949547953
CA,054767TR,#7 TREE,LAG CENTENNIAL SPIRIT,Lagerstroemia indica 'Centennial Spirit'                    ,Centennial Spirit Crape Myrtle                              ,,OLD,14949547977
CA,54769,#15,LAG CENTENNIAL SPIRIT,Lagerstroemia indica 'Centennial Spirit'                    ,Centennial Spirit Crape Myrtle                              ,,OLD,14949375587
CA,41905,#5,LAG CHERRY DAZZLE R PP16917,Lagerstroemia 'Gamad I' ' P.P.# 16917                       ,Cherry Dazzle®  Crape Myrtle,,MCC,14949204733
CA,28445,#5,LAG CHEYENNE,Lagerstroemia indica x faueri 'Cheyenne'                    ,Cheyenne Crape Myrtle                                       ,,,14949063477
GA,8792,#2,LAG CHICKASAW,Lagerstroemia indica x fauriei 'Chickasaw'                  ,Chickasaw Crape Myrtle                                      ,,,14949260807
CT,404345,#5,LAG CORDON BLEU,                                                            ,                                                            ,,,14949394076
GA,8865,#5,LAG DYNAMITE R P10296,Lagerstroemia indica 'Whit II' P.P.# 10296                  ,Dynamite®  Crape Myrtle,,LBI,14949020227
CT,008865P,#5 P,LAG DYNAMITE R P10296,Lagerstroemia indica 'Whit II' P.P.# 10296                  ,Dynamite®  Crape Myrtle,,LBI,14949405888
GA,8867,#7 CLUMP,LAG DYNAMITE R P10296,Lagerstroemia indica 'Whit II' P.P.# 10296                  ,Dynamite®  Crape Myrtle,,LBI,14949057896
GA,008869BH,#15 BUSH,LAG DYNAMITE R P10296,Lagerstroemia indica 'Whit II' P.P.# 10296                  ,Dynamite®  Crape Myrtle,1,LBI,14949368886
GA,8895,#5,LAG MUSKOGEE,Lagerstroemia indica x fauriei 'Muskogee'                   ,Muskogee Crape Myrtle                                       ,,,14949020272
GA,8897,#7 CLUMP,LAG MUSKOGEE,Lagerstroemia indica x fauriei 'Muskogee'                   ,Muskogee Crape Myrtle                                       ,,,14949020289
GA,8899,#15 CLUMP,LAG MUSKOGEE,Lagerstroemia indica x fauriei 'Muskogee'                   ,Muskogee Crape Myrtle                                       ,1,,14949020302
GA,8995,#5,LAG NATCHEZ,Lagerstroemia indica x fauriei 'Natchez'                    ,Natchez Crape Myrtle                                        ,,,14949020395
GA,8997,#7 CLUMP,LAG NATCHEZ,Lagerstroemia indica x fauriei 'Natchez'                    ,Natchez Crape Myrtle                                        ,,,14949020401
GA,8999,#15 CLUMP,LAG NATCHEZ,Lagerstroemia indica x fauriei 'Natchez'                    ,Natchez Crape Myrtle                                        ,1,,14949020418
CA,056307TR,#7 TREE,LAG NEAR EAST,Lagerstroemia indica 'Near East'                            ,Near East Crape Myrtle                                      ,,,14949563175
CA,54505,#5,LAG PEPPERMINT LACE,Lagerstroemia indica 'Peppermint Lace'                      ,Peppermint Lace Crape Myrtle                                ,,,14949545058
CA,55401,#1,LAG PETITE EMBERS TM,Lagerstroemia indica 'Moners'                               ,Petite Embers™  Crape Myrtle,,,14949554012
CA,55405,#5,LAG PETITE EMBERS TM,Lagerstroemia indica 'Moners'                               ,Petite Embers™  Crape Myrtle,,,14949554050
CA,55501,#1,LAG PETITE ORCHID TM,Lagerstroemia indica 'Monhid'                               ,Petite Orchid™  Crape Myrtle,,,14949555019
CA,55505,#5,LAG PETITE ORCHID TM,Lagerstroemia indica 'Monhid'                               ,Petite Orchid™  Crape Myrtle,,,14949555057
CA,055505PT,#5 PATIO TREE,LAG PETITE ORCHID TM,Lagerstroemia indica 'Monhid'                               ,Petite Orchid™  Crape Myrtle,,,14949032251
CA,55601,#1,LAG PETITE PINKIE TM,Lagerstroemia indica 'Monkie'                               ,Petite Pinkie™  Crape Myrtle,,,14949556016
CA,55605,#5,LAG PETITE PINKIE TM,Lagerstroemia indica 'Monkie'                               ,Petite Pinkie™  Crape Myrtle,,,14949556054
CA,55651,#1,LAG PETITE PLUM R,Lagerstroemia indica 'Monum'                                ,Petite Plum®  Crape Myrtle,,,14949556511
CA,55655,#5,LAG PETITE PLUM R,Lagerstroemia indica 'Monum'                                ,Petite Plum®  Crape Myrtle,,,14949556559
CA,55701,#1,LAG PETITE RED IMP TM,Lagerstroemia indica 'Monimp'                               ,Petite Red Imp™  Crape Myrtle,,,14949557013
CA,55705,#5,LAG PETITE RED IMP TM,Lagerstroemia indica 'Monimp'                               ,Petite Red Imp™  Crape Myrtle,,,14949557051
CA,55801,#1,LAG PETITE SNOW TM,Lagerstroemia indica 'Monow'                                ,Petite Snow™  Crape Myrtle,,,14949558010
CA,55805,#5,LAG PETITE SNOW TM,Lagerstroemia indica 'Monow'                                ,Petite Snow™  Crape Myrtle,,,14949558058
CA,15285,#5,LAG PINK VELOUR R PP10319,Lagerstroemia indica 'Whit III' P.P.#10319                  ,Pink Velour®  Crape Myrtle,,LBI,14949028421
GA,9012,#2,LAG POCOMOKE,Lagerstroemia indica 'Pocomoke'                             ,Pocomoke Crape Myrtle                                       ,,,14949260838
GA,9025,#5,LAG RED ROCKET R PP11342,Lagerstroemia indica 'Whit IV' P.P.# 11342                  ,Red Rocket®  Crape Myrtle,,LBI,14949020456
CA,56201,#1,LAG SEMINOLE,Lagerstroemia indica 'Seminole'                             ,Seminole Crape Myrtle                                       ,,,14949562017
CA,56205,#5,LAG SEMINOLE,Lagerstroemia indica 'Seminole'                             ,Seminole Crape Myrtle                                       ,,,14949562055
CA,056207TR,#7 TREE,LAG SEMINOLE,Lagerstroemia indica 'Seminole'                             ,Seminole Crape Myrtle                                       ,,,14949562178
GA,9035,#5,LAG TUSCARORA,Lagerstroemia indica x fauriei 'Tuscarora'                  ,Tuscarora Crape Myrtle                                      ,,,14949020470
GA,9037,#7 CLUMP,LAG TUSCARORA,Lagerstroemia indica x fauriei 'Tuscarora'                  ,Tuscarora Crape Myrtle                                      ,,,14949020487
GA,9039,#15 CLUMP,LAG TUSCARORA,Lagerstroemia indica x fauriei 'Tuscarora'                  ,Tuscarora Crape Myrtle                                      ,1,,14949020494
CA,56401,#1,LAG WATERMELON RED,Lagerstroemia indica 'Watermelon Red'                       ,Watermelon Red Crape Myrtle                                 ,,,14949564011
CA,56405,#5,LAG WATERMELON RED,Lagerstroemia indica 'Watermelon Red'                       ,Watermelon Red Crape Myrtle                                 ,,,14949564059
CA,056407TR,#7 TREE,LAG WATERMELON RED,Lagerstroemia indica 'Watermelon Red'                       ,Watermelon Red Crape Myrtle                                 ,,,14949564172
CA,54551,#1,LAG X PECOS,Lagerstroemia indica x fauriei 'Pecos'                      ,Pecos Crape Myrtle                                          ,,,14949545515
CA,54555,#5,LAG X PECOS,Lagerstroemia indica x fauriei 'Pecos'                      ,Pecos Crape Myrtle                                          ,,,14949545553
GA,56355,#5,LAG X TONTO,Lagerstroemi (indica {{#215}} fauriei) 'Tonto'              ,Tonto Crape Myrtle                                          ,,,14949563557
GA,56357,#7 CLUMP,LAG X TONTO,Lagerstroemi (indica {{#215}} fauriei) 'Tonto'              ,Tonto Crape Myrtle                                          ,,,14949563571
GA,56359,#15 CLUMP,LAG X TONTO,Lagerstroemi (indica {{#215}} fauriei) 'Tonto'              ,Tonto Crape Myrtle                                          ,,,14949040805
CA,54571,#1,LAG X ZUNI,Lagerstroemia indica x fauriei 'Zuni'                       ,Zuni Crape Myrtle                                           ,,,14949545713
CA,54575,#5,LAG X ZUNI,Lagerstroemia indica x fauriei 'Zuni'                       ,Zuni Crape Myrtle                                           ,,,14949545751
GA,54575,#5,LAG X ZUNI,Lagerstroemia indica x fauriei 'Zuni'                       ,Zuni Crape Myrtle                                           ,,,14949545751
GA,54577,#7 CLUMP,LAG X ZUNI,Lagerstroemia indica x fauriei 'Zuni'                       ,Zuni Crape Myrtle                                           ,,,14949058022
OR,24901,#1,LAMIUM M PURPLE DRAGON P15890,Lamium maculatum 'Purple Dragon' P.P.# 15890                ,Purple Dragon Dead Nettle                                   ,,HOR,14949049822
CT,02489UT,LittleOne,LAMIUM MAC BEACON SILVER,Lamium maculatum 'Beacon Silver'                            ,Beacon Silver Dead Nettle                                   ,,,14949051122
OR,9081,#1,LAMIUM ORCHID FROST PP11122,Lamium maculatum 'Orchid Frost' P.P.# 11122                 ,Orchid Frost Spotted Dead Nettle                            ,,PHI,14949053553
CA,89452,#2,LANTANA BANDANA R PINK PP20555,                                                            ,                                                            ,,,14949377109
GA,56611,#1,LANTANA CAM AMERICAN RED,Lantana camara 'American Red'                               ,American Red Bush Lantana                                   ,,,14949566114
CA,56612,#2,LANTANA CAM AMERICAN RED,Lantana camara 'American Red'                               ,American Red Bush Lantana                                   ,,,14949377703
CA,56801,#1,LANTANA CAM DWARF YELLOW,Lantana camara 'Dwarf Yellow'                               ,Dwarf Yellow Bush Lantana                                   ,,,14949568019
CA,56871,#1,LANTANA CAM LEMON SWIRL R,Lantana camara 'Variegata'                                  ,Lemon Swirl®  Bush Lantana,,,14949568712
GA,56641,#1,LANTANA CAM MARY ANN,Lantana 'Mary Ann'                                          ,Mary Ann Lantana                                            ,1,DLC,14949281147
GA,056643PT,#3 PATIO TREE,LANTANA CAM MARY ANN,Lantana 'Mary Ann'                                          ,Mary Ann Lantana                                            ,,DLC,14949282854
GA,56841,#1,LANTANA CAM MISS HUFF,Lantana camara 'Miss Huff'                                  ,Miss Huff Hardy Lantana                                     ,1,,14949568415
CA,56842,#2,LANTANA CAM MISS HUFF,Lantana camara 'Miss Huff'                                  ,Miss Huff Hardy Lantana                                     ,,,14949360323
GA,05684UT,LittleOne,LANTANA CAM MISS HUFF,Lantana camara 'Miss Huff'                                  ,Miss Huff Hardy Lantana                                     ,,,14949310830
GA,9131,#1,LANTANA CAM MOZELLE,Lantana camara 'Mozelle'                                    ,Mozelle Lantana                                             ,,,14949020630
GA,009133PT,#3 PATIO TREE,LANTANA CAM MOZELLE,Lantana camara 'Mozelle'                                    ,Mozelle Lantana                                             ,,,14949053065
CA,56631,#1,LANTANA CHAPEL HILL YLW P19548,"Lantana 'Chapel Hill Yellow' P.P.# 19,548                   ",Chapel Hill Yellow Lantana                                  ,1,PII,14949281109
GA,56631,#1,LANTANA CHAPEL HILL YLW P19548,"Lantana 'Chapel Hill Yellow' P.P.# 19,548                   ",Chapel Hill Yellow Lantana                                  ,,PII,14949281109
GA,056633PT,#3 PATIO TREE,LANTANA CHAPEL HILL YLW P19548,"Lantana 'Chapel Hill Yellow' P.P.# 19,548                   ",Chapel Hill Yellow Lantana                                  ,,PII,14949263495
CA,056635PT,#5 PATIO TREE,LANTANA CHAPEL HILL YLW P19548,"Lantana 'Chapel Hill Yellow' P.P.# 19,548                   ",Chapel Hill Yellow Lantana                                  ,,PII,14949312421
CA,56951,#1,LANTANA CONFETTI TM,Lantana x 'Moni'                                            ,Confetti™  Spreading Lantana,,,14949569511
GA,56951,#1,LANTANA CONFETTI TM,Lantana x 'Moni'                                            ,Confetti™  Spreading Lantana,,,14949569511
GA,056953PT,#3 PATIO TREE,LANTANA CONFETTI TM,Lantana x 'Moni'                                            ,Confetti™  Spreading Lantana,,,14949032299
CA,056955PT,#5 PATIO TREE,LANTANA CONFETTI TM,Lantana x 'Moni'                                            ,Confetti™  Spreading Lantana,,,14949569658
GA,9091,#1,LANTANA NEW GOLD,Lantana x 'New Gold'                                        ,New Gold Lantana                                            ,,,14949020555
GA,009093PT,#3 PATIO TREE,LANTANA NEW GOLD,Lantana x 'New Gold'                                        ,New Gold Lantana                                            ,,,14949006139
GA,00909UT,LittleOne,LANTANA NEW GOLD,Lantana x 'New Gold'                                        ,New Gold Lantana                                            ,,,14949020593
CA,56881,#1,LANTANA PAT TM RAINBOW PP9837,"Lantana camara 'Robpatrai' P.P.# 9,837                      ",Patriot™  Rainbow Compact Lantana,,RAI,14949568811
GA,56881,#1,LANTANA PAT TM RAINBOW PP9837,"Lantana camara 'Robpatrai' P.P.# 9,837                      ",Patriot™  Rainbow Compact Lantana,,RAI,14949568811
GA,57231,#1,LANTANA S LAVENDER SWIRL R,Lantana sellowiana 'Monswee'                                ,Lavender Swirl®  Trailing Lantana,,,14949572313
GA,057231SPT,SuperOne TM PATIO TREE,LANTANA S LAVENDER SWIRL R,Lantana sellowiana 'Monswee'                                ,Lavender Swirl®  Trailing Lantana,,,14949154014
CA,57031,#1,LANTANA S WHITE LIGHTNIN' R,Lantana sellowiana 'Monma'                                  ,White Lightnin'®  Trailing Lantana,,,14949570319
CA,57051,#1,LANTANA SPREADING SUNSET R,Lantana x 'Monet'                                           ,Spreading Sunset®  Lantana,,,14949570517
CA,057055PT,#5 PATIO TREE,LANTANA SPREADING SUNSET R,Lantana x 'Monet'                                           ,Spreading Sunset®  Lantana,,,14949570654
GA,057103PT,#3 PATIO TREE,LANTANA SPREADING SUNSHINE R,Lantana x 'Monine'                                          ,Spreading Sunshine®  Lantana,,,14949070291
GA,057153PT,#3 PATIO TREE,LANTANA SUNBURST TM,Lantana x 'Sunburst'                                        ,Sunburst™  Spreading Lantana,,,14949032312
CA,057155PT,#5 PATIO TREE,LANTANA SUNBURST TM,Lantana x 'Sunburst'                                        ,Sunburst™  Spreading Lantana,,,14949571651
CA,57201,#1,LANTANA TANGERINE TM,Lantana x 'Mone'                                            ,Tangerine™  Spreading Lantana,,,14949572016
GA,057201SPT,SuperOne TM PATIO TREE,LANTANA TANGERINE TM,Lantana x 'Mone'                                            ,Tangerine™  Spreading Lantana,,,14949260678
GA,057203PT,#3 PATIO TREE,LANTANA TANGERINE TM,Lantana x 'Mone'                                            ,Tangerine™  Spreading Lantana,,,14949032329
CA,057205PT,#5 PATIO TREE,LANTANA TANGERINE TM,Lantana x 'Mone'                                            ,Tangerine™  Spreading Lantana,,,14949572153
GA,24461,#1,LANTANA TEENIE GENIE R PP17612,"Lantana camara 'Monike' P.P. #17,612                        ",Teenie Genie®  Compact Lantana,,HMJ,14949048870
CA,24462,#2,LANTANA TEENIE GENIE R PP17612,"Lantana camara 'Monike' P.P. #17,612                        ",Teenie Genie®  Compact Lantana,,HMJ,14949217313
OR,57275,#5,LARIX DECIDUA PENDULA,Larix decidua 'Pendula'                                     ,Weeping European Larch                                      ,,,14949572757
OR,53425,#5,LARIX LARICINA BLUE SPARKLER,Larix laricina 'Blue Sparkler'                              ,Blue Sparkler Larch                                         ,,,14949298213
CT,400091,#1,LAURENTIA FLUVIATILIS,Laurentia fluviatilis                                       ,Blue Star Creeper                                           ,,,14949382332
CT,40009RND,Round,LAURENTIA FLUVIATILIS,Laurentia fluviatilis                                       ,Blue Star Creeper                                           ,,,14949382349
CA,57291,#1,LAURUS NOBILIS,Laurus nobilis                                              ,Sweet Bay                                                   ,,,14949572917
CA,57295,#5,LAURUS NOBILIS,Laurus nobilis                                              ,Sweet Bay                                                   ,,,14949572955
CA,057295PT,#5 PATIO TREE,LAURUS NOBILIS,Laurus nobilis                                              ,Sweet Bay                                                   ,,,14949573051
CA,057295PY,#5 CONE,LAURUS NOBILIS,Laurus nobilis                                              ,Sweet Bay                                                   ,,,14949005392
