Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2016 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,    ,084651,#1,JUN C DAUB'S FROSTED,Juniperus chinensis 'Daub's Frosted'                        ,Daub's Frosted Juniper                                      ,CON,04,, 6.50 , 5.53 , 0.97 , 6.50 ,,     ,014949846513,     ,     ,-,"10""S", 10 , 173 ,     ,          ,     ,          ,     ,          
OR,    ,084652,#2,JUN C DAUB'S FROSTED,Juniperus chinensis 'Daub's Frosted'                        ,Daub's Frosted Juniper                                      ,CON,04,, 14.25 , 12.11 , 2.44 , 14.55 ,,     ,014949064573,     ,     ,-,"12""S", 5 , 98 ,     ,          ,     ,          ,     ,          
CA,    ,046902,#2,JUN C GOLD COAST R,Juniperus x pfitzeriana 'Aurea Improved'                    ,Gold Coast®  Juniper,CON,03,, 13.75 , 11.69 , 2.62 , 14.31 ,,     ,014949469026,     ,     ,-,"14""S", 5 , 5 ,     ,          ,     ,          ,     ,          
CA,    ,047507P3,#7 3BALL POODLE,JUN C HETZII COLUMN,Juniperus chinensis 'Hetzii Columnaris'                     ,Green Columnar Juniper                                      ,CON,04,, 117.00 , 99.45 , 13.12 , 112.57 ,,     ,014949475270,     ,     ,-,"67""H", 2 , 7 ,     ,          ,     ,          ,     ,          
CA,    ,047507SP,#7 SPIRAL,JUN C HETZII COLUMN,Juniperus chinensis 'Hetzii Columnaris'                     ,Green Columnar Juniper                                      ,CON,04,, 105.50 , 89.68 , 13.12 , 102.80 ,,     ,014949475171,     ,     ,-,"60""H", 2 , 11 ,     ,          ,     ,          ,     ,          
CA,    ,047509P3,#15 3BALL POODLE,JUN C HETZII COLUMN,Juniperus chinensis 'Hetzii Columnaris'                     ,Green Columnar Juniper                                      ,CON,04,, 156.75 , 133.24 , 26.25 , 159.49 ,,     ,014949475294,     ,     ,-,"72""H", 1 , 4 ,     ,          ,     ,          ,     ,          
CA,    ,047509SP,#15 SPIRAL,JUN C HETZII COLUMN,Juniperus chinensis 'Hetzii Columnaris'                     ,Green Columnar Juniper                                      ,CON,04,, 153.50 , 130.48 , 26.25 , 156.73 ,,     ,014949475195,     ,     ,-,"72""H", 1 , 4 , 7 ,04/24/16  ,     ,          ,     ,          
CA,    ,047602PP,#2 POMPON,JUN C HETZII GLAUCA,Juniperus chinensis 'Hetzii Glauca'                         ,Hetz Blue Juniper                                           ,CON,04,, 40.75 , 34.64 , 3.94 , 38.58 ,,     ,014949476321,     ,     ,-,"18""H - 18""S", 5 , 1 , 15 ,05/01/16  ,     ,          ,     ,          
CA,    ,047605PP,#5 POMPON,JUN C HETZII GLAUCA,Juniperus chinensis 'Hetzii Glauca'                         ,Hetz Blue Juniper                                           ,CON,04,, 69.00 , 58.65 , 7.87 , 66.52 ,,     ,014949476352,     ,     ,-,5-7 ARMS, 2 , 41 ,     ,          ,     ,          ,     ,          
CA,    ,047607PP,#7 POMPON,JUN C HETZII GLAUCA,Juniperus chinensis 'Hetzii Glauca'                         ,Hetz Blue Juniper                                           ,CON,04,, 95.00 , 80.75 , 19.69 , 100.44 ,,     ,014949476376,     ,     ,-,"36""H - 36""S", 2 , 42 ,     ,          ,     ,          ,     ,          
CA,    ,048001,#1,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 6.50 , 5.53 , 1.05 , 6.58 ,,     ,014949480014,     ,     ,-,"8""S", 10 ,     , 276 ,11/01/15  ,     ,          ,     ,          
OR,    ,048002,#2,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 13.75 , 11.69 , 2.44 , 14.13 ,,     ,014949480021,     ,     ,-,"16""S", 5 , 13 ,     ,          ,     ,          ,     ,          
CA,    ,048002,#2,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 13.75 , 11.69 , 2.62 , 14.31 ,,     ,014949480021,     ,     ,-,"14""H - 14""S", 5 , 5 , 21 ,11/15/15  ,     ,          ,     ,          
CA,    ,048002P2,#2 2BALL POODLE,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 42.75 , 36.34 , 3.94 , 40.28 ,,     ,014949481523,     ,     ,-,"32""H", 5 , 13 ,     ,          ,     ,          ,     ,          
CA,    ,048002PP,#2 POMPON,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 40.75 , 34.64 , 3.94 , 38.58 ,,     ,014949480625,     ,     ,-,"22""H - 22""S", 5 , 157 ,     ,          ,     ,          ,     ,          
CA,    ,048002SP,#2 SPIRAL,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 49.75 , 42.29 , 3.94 , 46.23 ,,     ,014949480229,     ,     ,-,LTD RELEASE, 5 , 1 ,     ,          ,     ,          ,     ,          
CA,    ,048005,#5,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 19.00 , 16.15 , 5.25 , 21.40 ,,     ,014949480052,     ,     ,-,"18""H - 20""S", 5 , 13 ,     ,          ,     ,          ,     ,          
CA,    ,048005GL,#5 GLOBE,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 34.00 , 28.90 , 5.25 , 34.15 ,,     ,014949480359,     ,     ,-,"10""H - 15""S", 2 , 18 ,     ,          ,     ,          ,     ,          
