Branch,Item,Description,Confirmed Qty Remaining,,,,,,,,,,,,,
550000,009791,LIRIOPE MUSCARI VARIEGATA, 250 ,,,,,,,,,,,,,
550000,058921,LIRIOPE SPICATA SILVER DRAGON, 450 ,,,,,,,,,,,,,
170000,059051ST,LONICERA JAP HALLIANA, 80 ,,,,,,,,,,,,,
170000,067831,LONICERA SEMP MAJOR WHEELER, 100 ,,,,,,,,,,,,,
160000,067835,LONICERA SEMP MAJOR WHEELER, 20 ,,,,,,,,,,,,,
170000,058991,LONICERA X GOLDFLAME, 80 ,,,,,,,,,,,,,
170000,059111,LONICERA X MANDARIN PP11083, 30 ,,,,,,,,,,,,,
170000,059115,LONICERA X MANDARIN PP11083, 10 ,,,,,,,,,,,,,
550000,060437,MAG G BRACKENS BROWN BEAUTY, 33 ,,,,,,,,,,,,,
160000,060755,MAHONIA AQUIFOLIUM COMPACTA, 20 ,,,,,,,,,,,,,
550000,061201,MAN ALICE DU PONT, 30 ,,,,,,,,,,,,,
550000,061205,MAN ALICE DU PONT, 10 ,,,,,,,,,,,,,
170000,061195,MAN PNK PRFT R P11787-P6300547, 20 ,,,,,,,,,,,,,
550000,061241BH,MAN RED RIDING HOOD, 30 ,,,,,,,,,,,,,
550000,061245ST,MAN RED RIDING HOOD, 21 ,,,,,,,,,,,,,
170000,072655,MAN SUN PAR R CARMINE KING PAF, 10 ,,,,,,,,,,,,,
170000,057062,MAN SUN PAR R GNT WHITE P11556, 6 ,,,,,,,,,,,,,
170000,057072,MAN SUN PAR R PRTY PNK P19399, 20 ,,,,,,,,,,,,,
550000,061291,MAN TANGO TWIRL R P14290, 30 ,,,,,,,,,,,,,
170000,061295,MAN TANGO TWIRL R P14290, 10 ,,,,,,,,,,,,,
170000,016605,MAN X CRIMSON JEWEL R, 20 ,,,,,,,,,,,,,
170000,061935,MUSA ACUM ENANO GIGANTE, 10 ,,,,,,,,,,,,,
550000,061945,MUSA ACUM ZEBRINA, 25 ,,,,,,,,,,,,,
170000,061971,MUSA BASJOO, 35 ,,,,,,,,,,,,,
170000,061975,MUSA BASJOO, 40 ,,,,,,,,,,,,,
170000,062222,NAND D SIENNA SUNRISE R P14693, 20 ,,,,,,,,,,,,,
