Loc,Item,Description,Botanical Name,Common Name,Product
OR,064215,PEROVSKIA ATRIPLICIFOLIA,Perovskia atriplicifolia                                    ,Russian Sage                                                ,PRN
OR,405201,PHLOX PAN BUBBLEGUM PINK,"Phlox paniuculata 'DITOFRA' P.P.# 21,171                    ",Candy Store®  Bubblegum Pink™  Phlox,PRN
OR,405221,PHLOX PAN CORAL CREME DROP,"Phlox paniculata 'Ditomdre' P.P.# 20,907                    ",Candy Store®  Coral Cr{{#232}}me Drop Garden Phlox,PRN
OR,405231,PHLOX PAN GRAPE LOLLIPOP,"Phlox paniculata 'Ditomsur' P.P.# 21,171                    ",Candy Store®  Grape Lollipop™  Phlox,PRN
OR,064341,PHLOX SUB CANDY STRIPE,Phlox subulata 'Candy Stripe'                               ,Candy Stripe Creeping Phlox                                 ,PRN
OR,06445UT,PHLOX SUB EMERALD BLUE,Phlox subulata 'Emerald Blue'                               ,Emerald Blue Creeping Phlox                                 ,PRN
OR,064601,PHLOX SUB RED WINGS,Phlox subulata 'Red Wings'                                  ,Red Wings Creeping Phlox                                    ,PRN
OR,06460UT,PHLOX SUB RED WINGS,Phlox subulata 'Red Wings'                                  ,Red Wings Creeping Phlox                                    ,PRN
OR,085861,PHYGELIUS CAPENSIS MAGENTA,Phygelius capensis 'Magenta'                                ,Magenta Cape Fuchsia                                        ,PRN
OR,034655,PHYSOCARPUS CENTER GLOW P16894,Physocarpus opulifolius 'Center Glow' P.P.# 16894           ,Center Glow Ninebark                                        ,DCS
OR,063935,PHYSOCARPUS DIABOLO R P11211,"Physocarpus opulifolius 'Monlo' P.P. #11,211                ",Diabolo®  Ninebark,DCS
OR,064525,PICEA ABIES,Picea abies                                                 ,Norway Spruce                                               ,CON
OR,064552,PICEA ABIES LITTLE GEM,Picea abies 'Little Gem'                                    ,Little Gem Norway Spruce                                    ,CON
OR,064561,PICEA ABIES NIDIFORMIS,Picea abies 'Nidiformis'                                    ,Nest Spruce                                                 ,CON
OR,064565,PICEA ABIES NIDIFORMIS,Picea abies 'Nidiformis'                                    ,Nest Spruce                                                 ,CON
OR,064577ST,PICEA ABIES PENDULA,Picea abies 'Pendula'                                       ,Weeping Norway Spruce                                       ,CON
OR,049015,PICEA BICOLOR PROSTRATA,                                                            ,                                                            ,CON
OR,033265,PICEA ENG BUSH'S LACE,Picea engelmannii 'Bush's Lace'                             ,Bush's Lace Engleman Spruce                                 ,CON
OR,064621,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        ,CON
OR,064622,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        ,CON
OR,064622SP,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        ,CON
OR,064625,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        ,CON
OR,064625SP,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        ,CON
OR,064629,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        ,CON
OR,06462M,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        ,CON
OR,06462MP3,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        ,CON
OR,019371,PICEA GL CONICA TINY TOWER R,Picea glauca conica 'MonRon'                                ,Tiny Tower®  Alberta Spruce,CON
OR,019372,PICEA GL CONICA TINY TOWER R,Picea glauca conica 'MonRon'                                ,Tiny Tower®  Alberta Spruce,CON
OR,01937E,PICEA GL CONICA TINY TOWER R,Picea glauca conica 'MonRon'                                ,Tiny Tower®  Alberta Spruce,CON
OR,033275,PICEA GL DENSATA WELLS' WEEPER,Picea glauca 'Wells' Weeper'                                ,Wells' Weeper Spruce                                        ,CON
OR,064475,PICEA MARIANA NANA,Picea mariana 'Nana'                                        ,Dwarf Black Spruce                                          ,CON
OR,04761M,PICEA OMORIKA SKY TRAILS,Picea omorika 'Sky Trails'                                  ,Sky Trails Serbian Spruce                                   ,CON
OR,064815,PICEA ORIEN ATROVIRENS,Picea orientalis 'Atrovirens'                               ,Oriental Spruce                                             ,CON
OR,06481M,PICEA ORIEN ATROVIRENS,Picea orientalis 'Atrovirens'                               ,Oriental Spruce                                             ,CON
OR,064785,PICEA PUN GLAUCA FAT ALBERT,Picea pungens 'Fat Albert'                                  ,Fat Albert Colorado Blue Spruce                             ,CON
OR,064789,PICEA PUN GLAUCA FAT ALBERT,Picea pungens 'Fat Albert'                                  ,Fat Albert Colorado Blue Spruce                             ,CON
OR,06469MPT,PICEA PUN GLOBOSA,Picea pungens 'Globosa'                                     ,Dwarf Globe Blue Spruce                                     ,CON
OR,064719,PICEA PUN HOOPSII,Picea pungens 'Hoopsii'                                     ,Hoop's Blue Spruce                                          ,CON
OR,044635,PICEA PUN ISELI FASTIGATE,Picea pungens 'Iseli fastigiate'                            ,Iseli Fastigiate Spruce                                     ,CON
