Branch,Date,SB Order,Item,Description,Size / Form,Confirmed,Remaining,Plus/X,"Remaining
Amount",Ready Date,Specs,Comments,Net Price,"Price
Code","Landed
Price",SKU,Retail,UPC
CA,5/1/2014,1372051,38681,GR-HAKONECHLOA MACRA AUREOLA,#1,10,10,Remaining,$69.60 ,4/1/2014,,,$6.96 ,,$8.09 ,,$18.99 ,14949386811
OR,5/1/2014,1372023,39971,GR-HELICTOTRICHON SEMPERVIRENS,#1,15,15,Remaining,$81.60 ,4/1/2014,,,$5.44 ,,$6.52 ,,$14.99 ,14949399712
CA,5/1/2014,1372051,61745,GR-MIS SIN CABARET,#5,10,10,Remaining,$152.30 ,READY,"5""H",CUT BACK,$15.23 ,,$20.86 ,,$46.99 ,14949617458
OR,5/1/2014,1372023,44582,GR-MIS SIN GOLD BAR PP15193,#2,15,15,Remaining,$182.70 ,READY,.,CUT BACK,$12.18 ,,$14.88 ,,$33.99 ,14949249901
CA,5/1/2014,1372051,61562,GR-MIS SIN GRACILLIMUS,#2,65,65,Remaining,$763.75 ,READY,"4""H",CUT BACK,$11.75 ,,$14.57 ,,$32.99 ,14949615621
CA,5/1/2014,1372051,61565,GR-MIS SIN GRACILLIMUS,#5,30,30,Remaining,$456.90 ,READY,"5""H",CUT BACK,$15.23 ,,$20.86 ,,$46.99 ,14949615652
CA,5/1/2014,1372051,61662,GR-MIS SIN MORNING LIGHT,#2,20,20,Remaining,$235.00 ,READY,"4""H",CUT BACK,$11.75 ,,$14.57 ,,$32.99 ,14949044377
OR,5/1/2014,1372023,61665,GR-MIS SIN MORNING LIGHT,#5,10,10,Remaining,$152.30 ,READY,.,CUT BACK,$15.23 ,,$20.64 ,,$46.99 ,14949616659
CA,5/1/2014,1372051,61572,GR-MIS SIN VARIEGATUS,#2,25,25,Remaining,$293.75 ,READY,"4""H",CUT BACK,$11.75 ,,$14.57 ,,$32.99 ,14949615720
CA,5/1/2014,1372051,61642,GR-MIS SIN YAKUSHIMA,#2,5,5,Remaining,$58.75 ,READY,"4""H",CUT BACK,$11.75 ,,$14.57 ,,$32.99 ,14949616420
