Loc,Item Number,Plant Category,Plant Name,Confirmed Qty Remaining
OR,029892S,DCS,DEUTZIA CHRDNY PERLS R PP16098, 20 
CT,029893S,DCS,DEUTZIA CHRDNY PERLS R PP16098, 10 
OR,091882,DCS,DEUTZIA X NIKKO BLUSH NA74356, 10 
GA,059681,PRN,DIANTHUS FIRE STAR PP14895, 12 
CA,03540MES,EVS,EUO KIA MANHATTAN, 4 
CA,035405ES,EVS,EUO KIA MANHATTAN, 10 
GA,036121,FRN,FERN-ATHYRIUM NIP PICTUM, 24 
CA,036122,FRN,FERN-ATHYRIUM NIP PICTUM, 20 
GA,044541,FRN,FERN-ATHYRIUM PWTR LACE P15721, 50 
GA,005041,FRN,FERN-DRYOPTERIS CELSA, 12 
CT,021221,FRN,FERN-DRYOPTERIS ERY BRILLIANCE, 18 
OR,021222,FRN,FERN-DRYOPTERIS ERY BRILLIANCE, 15 
GA,036241,FRN,FERN-DRYOPTERIS ERYTHROSORA, 54 
GA,021231,FRN,FERN-DRYOPTERIS X AUSTRALIS, 24 
OR,036492,FRN,FERN-POLYSTICHUM SET(ANGULARE), 10 
GA,02383UT,PRN,GALIUM ODORATUM, 13 
GA,035681,PRN,GAURA L WHIRLING BUTTERFLIES, 24 
OR,022591,GRS,GR-CAREX ELATA BOWLES GOLDEN, 10 
CT,061743,GRS,GR-MIS SIN CABARET, 15 
GA,061563,GRS,GR-MIS SIN GRACILLIMUS, 10 
CA,061565,GRS,GR-MIS SIN GRACILLIMUS, 50 
CA,061665,GRS,GR-MIS SIN MORNING LIGHT, 10 
GA,061575,GRS,GR-MIS SIN VARIEGATUS, 15 
CA,061645,GRS,GR-MIS SIN YAKUSHIMA, 15 
CT,403061S,PRN,HELLEBORUS HYB MERLIN, 24 
CT,074493S,DCS,HIB SYR LIL' KIM TM PP19547, 10 
CA,092755,DCS,HYD BLUE ENCHANTRESS R PP25209, 15 
GA,092755,DCS,HYD BLUE ENCHANTRESS R PP25209, 15 
GA,074542S,DCS,HYD MAC CTYLN TM RIO, 15 
CT,403872S,DCS,HYD MAC ELECTRIC ROUGE TM, 15 
CA,077465,DCS,HYD MAC LD R BIG EASY PPAF, 25 
GA,077465,DCS,HYD MAC LD R BIG EASY PPAF, 15 
CT,086303S,DCS,HYD MAC LD R DIVA, 15 
CT,086313S,DCS,HYD MAC LD R RHYTHMIC BLUE PAF, 15 
GA,041965,DCS,HYD MAC NIKKO BLUE, 20 
CA,023755,DCS,HYD MAC PENNY MAC, 2 
GA,023755,DCS,HYD MAC PENNY MAC, 13 
CA,042072,DCS,HYD MAC PINK ELF R (PIA), 30 
OR,041702,VIN,HYD PETIOLARIS, 8 
CT,041702,VIN,HYD PETIOLARIS, 12 
OR,041705,VIN,HYD PETIOLARIS, 20 
CT,093173,DCS,HYD QUER MUNCHKIN, 10 
CT,042045,DCS,HYD QUER SNOWFLAKE, 10 
OR,080962S,DCS,HYD SER TUFF STUFF TM PPAF, 15 
CA,065381,DCS,HYPERICUM AN IGNITE RED P19468, 20 
GA,404083,DCS,HYPERICUM IGNITE SCR RD P18801, 10 
GA,044935,EVS,ILEX CREN SKY PENCIL(SKY SNTRY, 15 
GA,044937,EVS,ILEX CREN SKY PENCIL(SKY SNTRY, 5 
CT,045133,EVS,ILEX X BERRI-MAGIC R ROYALTY, 10 
CT,014883,EVS,ILEX X EMERALD MAGIC PP12314, 15 
CA,047307,CON,JUN C SPARTAN, 10 
GA,049102,CON,JUN CON BLUE PACIFIC, 15 
CT,060321,PRN,LEUCOSCEPTRUM JAP GOLDEN ANGEL, 12 
GA,036541,GRS,LIRIOPE EMRLD GODDESS R P15471, 98 
GA,060439,TRE,MAG G BRACKENS BROWN BEAUTY, 20 
GA,060905,EVS,MAHONIA BEALEI, 10 
GA,063111,GRS,OPHIOPOGON EBONY KNIGHT TM, 30 
OR,065162,EVS,PIERIS J LITTLE HEATH, 15 
CA,067701,EVS,PYRACANTHA ANG YUKON BELLE R, 10 
CA,079572,ROS,ROSA FLWR CAR R PNK SPLSH PPAF, 20 
GA,036312,ROS,ROSA FLWR CAR R SCARLET P17373, 70 
CA,036315PT,ROS,ROSA FLWR CAR R SCARLET P17373, 4 
CA,070212,ROS,ROSA FLWR CAR R WHITE P9573, 20 
CA,070215PT,ROS,ROSA FLWR CAR R WHITE P9573, 4 
CT,406253,ROS,ROSA PEACHY KEEN PPAF, 10 
OR,043465,VIN,SCHIZOPHRAGMA ELLIP 8170 DJHV8, 5 
OR,028425,DCS,SYRINGA X DECLARATION NA62975, 20 
OR,074065,DCS,VIB PLI T MARIESI, 5 
CT,074065,DCS,VIB PLI T MARIESI, 5 
CT,407205,DCS,VIBURNUM PLI T POPCORN, 10 
CA,076775,VIN,WISTERIA FL TEXAS PURPLE, 10 
CT,076815,VIN,WISTERIA FRU AMETHYST FALLS, 8 
CA,028342,EVS,ABELIA GRA KALEIDOSCOPE P16988, 20 
GA,025692,EVS,ABELIA GRA ROSE CREEK, 15 
GA,400343,EVS,ABELIA SUNSHNE DAYDRM PP20961, 15 
CA,001882,DCS,AGAPANTHUS X MIDKNIGHT BLUE R, 15 
CA,001885,DCS,AGAPANTHUS X MIDKNIGHT BLUE R, 30 
OR,039021,PRN,ANEMONE X WILD SWAN TM PP23132, 12 
GA,003562,EVS,AUCUBA MR GOLDSTRIKE, 20 
OR,003565,EVS,AUCUBA MR GOLDSTRIKE, 20 
CT,402583,GRS,BAM-FARGESIA SCABRIDA, 30 
OR,027431,VIN,CLEM MONTANA FREDA, 10 
CA,088912,PRN,CYNARA SCO GREEN GLOBE, 5 
GA,083721,FRN,FERN-POLYSTICHUM POLYBLEPHARUM, 30 
OR,083722,FRN,FERN-POLYSTICHUM POLYBLEPHARUM, 20 
GA,097912S,EVS,GARDENIA PINWHEEL R PP22510, 10 
GA,036481,PRN,GAURA PASSIONATE RAINBW P17002, 24 
OR,023967,EVS,ILEX X SANTA'S DELIGHT R, 10 
GA,041905,DCS,LAG CHERRY DAZZLE R PP16917, 6 
GA,008869BH,DCS,LAG DYNAMITE R P10296, 10 
GA,008899,DCS,LAG MUSKOGEE, 10 
GA,008999,DCS,LAG NATCHEZ, 10 
CT,404362,DCS,LAG PURPLE MAGIC TM PPAF, 10 
GA,040705,DCS,LAG RASPBERRY DAZZLE R PP17216, 5 
GA,009029BH,DCS,LAG RED ROCKET R PP11342, 4 
GA,009037,DCS,LAG TUSCARORA, 10 
GA,009039,DCS,LAG TUSCARORA, 10 
GA,058921,GRS,LIRIOPE SPICATA SILVER DRAGON, 30 
OR,049492,EVS,PIERIS J TIKI, 10 
OR,067172,EVS,PRUNUS LAUR SCHIPKAENSIS, 10 
OR,067175,EVS,PRUNUS LAUR SCHIPKAENSIS, 100 
OR,067055,EVS,PRUNUS LAUROCERASUS, 15 
GA,062691,EVS,ROSMARINUS BLUE SPIRES, 18 
CA,094291,PRN,SALVIA HTWV BLAST TM PP24153, 50 
OR,070501,EVS,SARCOCOCCA HUMILIS, 20 
OR,070502,EVS,SARCOCOCCA HUMILIS, 50 
GA,056232,DCS,VACC BOUNTIFUL BLUE R PP19381, 10 
CT,073995,DCS,VIB PLI T SHOSHONI, 10 
GA,028045,GRS,GR-CORT IVORY FEATHERS R, 10 
CA,054705,DCS,LAG CATAWBA, 5 
GA,059439,TRE,MAG G LITTLE GEM, 10 
OR,071051,EVS,SKIMMIA JAPONICA-FEMALE, 50 
OR,071052,EVS,SKIMMIA JAPONICA-FEMALE, 30 
OR,071061,EVS,SKIMMIA JAPONICA-MALE, 30 
OR,071062,EVS,SKIMMIA JAPONICA-MALE, 30 
OR,071081,EVS,SKIMMIA REEVESIANA, 10 
OR,071082,EVS,SKIMMIA REEVESIANA, 20 
