Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On
OR,2014,039475,#5,HOSTA ROSEDALE GOLDEN GOOSE,PRN,03, 24.50 ,,3-5 EYES,     , 5 ,     , 99 ,04/15/15  
OR,2014,075162,#2,HOSTA THE RAZOR'S EDGE,PRN,03, 14.25 ,-,,     , 5 , 671 , 671 ,04/01/15  
GA,2013,016301,#1,HOSTA TOKUDAMA FLAVOCIRCINALIS,PRN,03, 6.35 ,,1-3 EYES,     , 10 ,     , 470 ,05/01/15  
OR,2013,016305,#5,HOSTA TOKUDAMA FLAVOCIRCINALIS,PRN,03, 24.50 ,-,3-5 EYES,     , 5 , 4 , 159 ,04/01/15  
CT,2013,082011,#1,HOSTA X LIBERTY,PRN,03, 5.28 ,,,     , 10 ,     , 102 ,05/15/15  
CT,2013,082012,#2,HOSTA X LIBERTY,PRN,03, 7.50 ,,,     , 5 ,     , 782 ,06/01/15  
OR,2013,088392,#2,HUMULUS X CRYSTAL,VIN,04, 16.75 ,-,FULL STK,     , 5 , 11 ,     ,          
OR,2013,088395,#5 STAKED,HUMULUS X CRYSTAL,VIN,04, 27.50 ,-,FULL STK,     , 5 , 23 ,     ,          
OR,2013,088402,#2,HUMULUS X NEWPORT,VIN,05, 16.75 ,-,FULL STK,     , 5 , 110 ,     ,          
OR,2013,088405,#5 STAKED,HUMULUS X NEWPORT,VIN,05, 27.50 ,-,FULL STK,     , 5 , 156 ,     ,          
OR,2013,063832,#2,HYD ANG GOLDEN CRANE R,DCS,06, 16.50 ,-,12''H - 12''S, 30 , 5 ," 1,209 ",     ,          
OR,2013,063835,#5,HYD ANG GOLDEN CRANE R,DCS,06, 25.50 ,-,"16""H - 18""S",     , 5 , 562 ,     ,          
GA,2013,063835,#5,HYD ANG GOLDEN CRANE R,DCS,06, 25.50 ,,"15""H - 15""S", 127 , 5 ,     , 296 ,05/15/15  
GA,2013,056451,#1,HYD ASPERA PLUM PASSION R,DCS,07, 7.50 ,,,     , 10 ,     , 685 ,05/15/15  
OR,2013,056452,#2,HYD ASPERA PLUM PASSION R,DCS,07, 16.50 ,-,12''H - 12''S,     , 5 , 86 , 86 ,04/15/15  
OR,2013,056455,#5,HYD ASPERA PLUM PASSION R,DCS,07, 24.00 ,-,"16""H - 16""S",     , 5 , 184 ,     ,          
GA,2013,056455,#5,HYD ASPERA PLUM PASSION R,DCS,07, 24.00 ,,"14""H - 16""S", 100 , 5 ,     ," 1,091 ",11/01/14  
OR,2013,05645P72SA,Plug 72 PLUG,HYD ASPERA PLUM PASSION R,DCS,07, 1.00 ,,,     , 72 , 394 ,     ,          
