Requested,Remaining,Date,Item,Description,Size,Form,Whs,UPC,,,Selling Price,Price Code,Extended,
42,42,4/1/2014,064623SP,PICEA GL CONICA,3,SP,450000,14949406977,,,$14.50 ,,$609.00 ,
60,60,4/1/2014,064625,PICEA GL CONICA,5,,450000,14949646250,,,$31.20 ,,"$1,872.00 ",
24,24,4/1/2014,064625MT,PICEA GL CONICA,5,MT,450000,14949406991,,,$48.00 ,,"$1,152.00 ",
24,24,4/1/2014,064625SP,PICEA GL CONICA,5,SP,450000,14949646359,,,$48.00 ,,"$1,152.00 ",
10,10,4/1/2014,06462MSP,PICEA GL CONICA,10,SP,450000,14949651179,,,$60.00 ,,$600.00 ,
75,75,4/1/2014,064472,PICEA MARIANA NANA,2,,450000,14949644720,,,$10.00 ,,$750.00 ,
15,15,4/1/2014,064785,PICEA PUN GLAUCA FAT ALBERT,5,,450000,14949647851,,,$30.80 ,,$462.00 ,
15,15,4/1/2014,064695,PICEA PUN GLOBOSA,5,,450000,14949646953,,,$36.00 ,,$540.00 ,
50,50,4/1/2014,010763,PIERIS J DOROTHY WYCOFF,3,,450000,14949387238,,,$15.80 ,,$790.00 ,
40,40,4/1/2014,065213,PIERIS X BROUWER'S BEAUTY,3,,450000,14949407264,,,$15.80 ,,$632.00 ,
15,15,4/1/2014,021545,PINUS KOR SILVERAY,5,,450000,14949040522,,,$30.80 ,,$462.00 ,
15,15,4/1/2014,049125,PINUS STROBUS MACOPIN,5,,450000,14949267219,,,$30.00 ,,$450.00 ,
10,10,4/1/2014,044823,POTENTILLA MANGO TANGO PP12258,3,,450000,14949407509,,,$10.80 ,,$108.00 ,
50,50,4/1/2014,086653,POTENTILLA PINK BEAUTY P9874,3,,450000,14949407530,,,$10.80 ,,$540.00 ,
131,131,4/1/2014,009052,RHOD (H-1) CATAW BOURSAULT,2,,450000,14949090527,,,$10.80 ,,"$1,414.80 ",
150,150,4/1/2014,405572,RHOD (H-1) CATAW GRANDIFLORUM,2,,450000,14949396353,,,$10.80 ,,"$1,620.00 ",
30,30,4/1/2014,405765,RHOD (H-1) MAXIMUM PINK,5,,450000,14949396506,,,$27.20 ,,$816.00 ,
66,66,4/1/2014,010152,RHOD (H-1) ROSEUM ELEGANS,2,,450000,14949101520,,,$10.80 ,,$712.80 ,
100,100,4/1/2014,405732,RHOD (H-2) CHECKMATE,2,,450000,14949396841,,,$10.80 ,,"$1,080.00 ",
53,53,4/1/2014,405662,RHOD (H-2) CHIONOIDES,2,,450000,14949396872,,,$10.80 ,,$572.40 ,
100,100,4/1/2014,009202,RHOD (H-2) CUNNINGHAM'S WHITE,2,,450000,14949092026,,,$10.80 ,,"$1,080.00 ",
50,50,4/1/2014,098552S,ROSA DRIFT R CORAL PP19148,2S,,450000,14949384282,,,$10.60 ,,$530.00 ,
50,50,4/1/2014,022632S,ROSA DRIFT R PINK PP18874,2S,,450000,14949375631,,,$10.60 ,,$530.00 ,
50,50,4/1/2014,022642S,ROSA DRIFT R RED PP17877,2S,,450000,14949384299,,,$10.60 ,,$530.00 ,
50,50,4/1/2014,098572S,ROSA DRIFT R SWEET PP21612,2S,,450000,14949375532,,,$10.60 ,,$530.00 ,
150,150,4/1/2014,042823S,ROSA KNCK OUT R DBL PNK P18507,3S,,450000,14949384084,,,$11.00 ,,"$1,650.00 ",
150,150,4/1/2014,030903S,ROSA KNCK OUT R DBL RD P16202,3S,,450000,14949384077,,,$11.00 ,,"$1,650.00 ",
150,150,4/1/2014,011623S,ROSA KNCK OUT R P11836 (RED),3S,,450000,14949023617,,,$11.00 ,,"$1,650.00 ",
75,75,4/1/2014,022153S,ROSA KNCK OUT R P15070 (PINK),3S,,450000,14949308332,,,$11.00 ,,$825.00 ,
75,75,4/1/2014,037863S,ROSA KNCK OUT R SUNNY P18562,3S,,450000,14949218457,,,$11.00 ,,$825.00 ,
40,40,4/1/2014,406223,ROSA SUNSHINE DAYDREAM PPAF,3,,450000,14949397909,,,$11.00 ,,$440.00 ,
40,40,4/1/2014,406233,ROSA TAHITIAN TREASURE TM,3,,450000,14949397930,,,$11.00 ,,$440.00 ,
35,35,4/1/2014,406253,ROSA THRIVE! TM SEASHELL PPAF,3,,450000,14949397985,,,$11.00 ,,$385.00 ,
25,25,4/1/2014,406153,ROSA-CL BRITE EYES TM PP17391,3,,450000,14949397992,,,$11.00 ,,$275.00 ,
30,30,4/1/2014,406163,ROSA-CL CANCAN TM PP21430,3,,450000,14949398005,,,$11.00 ,,$330.00 ,
30,30,4/1/2014,406193,ROSA-CL THE CHARLATAN R P18990,3,,450000,14949398043,,,$11.00 ,,$330.00 ,
30,30,4/1/2014,406203,ROSA-CL WNERS CIRCLE TM P19310,3,,450000,14949398067,,,$11.00 ,,$330.00 ,
135,135,4/1/2014,039493,SALIX INTEGRA FLAMINGO PP17490,3,,450000,14949387627,,,$10.80 ,,"$1,458.00 ",
45,45,4/1/2014,071252,SPIRAEA JAP LITTLE PRINCESS,2,,450000,14949712528,,,$7.40 ,,$333.00 ,
45,45,4/1/2014,071582,SPIRAEA JAP NEON FLASH,2,,450000,14949715826,,,$7.40 ,,$333.00 ,
