Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Zone,Royalty Code,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CT,080933S,Super 3,WEIGELA SONIC BLOOM TM RED PAF,Weigela florida 'Verweil4' P.P.A.F.                         ,Sonic Bloom™  Red Reblooming Weigela,Deciduous sumr flower'g shrub,04,PW, 17.75 ,     , 5 ,     , 606 ,05/01/15  ,     ,          ,     ,          
GA,086185,#5,ABELIA SUNNY ANNIVERSARY TM,                                                            ,                                                            ,Evergreen sumr flower'g shrub,06,PW, 21.00 , 10 , 5 ,     , 10 ,10/01/14  ,     ,          ,     ,          
CT,400343,#3,ABELIA SUNSHNE DAYDRM PP20961,"Abelia x grandiflora 'Sunshine Daydream' P.P.#20,961        ",Sunshine Daydream Abelia                                    ,Evergreen sumr flower'g shrub,06,BHC, 17.75 ,     , 5 , 103 ,     ,          ,     ,          ,     ,          
GA,400343,#3,ABELIA SUNSHNE DAYDRM PP20961,"Abelia x grandiflora 'Sunshine Daydream' P.P.#20,961        ",Sunshine Daydream Abelia                                    ,Evergreen sumr flower'g shrub,06,BHC, 16.75 ,     , 5 ,     ," 1,452 ",05/15/15  ,     ,          ,     ,          
CT,018561S,SuperOne TM,AGASTACHE AUR-HYB TANGO,Agastache aurantiaca 'Tango'                                ,Tango Hummingbird Mint                                      ,Mid/late interm. flowering,06,, 8.50 ,     , 10 ,     , 5 ,10/01/14  ,     ,          ,     ,          
CT,017601,#1,ASTILBE VISION IN WHITE P18965,"Astilbe chinensis 'Vision In White P.P. #18,965             ",Vision in White Astilbe                                     ,Mid/late border flowering,04,, 5.10 ,     , 10 ,     , 70 ,10/01/14  ,     ,          ,     ,          
CT,017602,#2,ASTILBE VISION IN WHITE P18965,"Astilbe chinensis 'Vision In White P.P. #18,965             ",Vision in White Astilbe                                     ,Mid/late border flowering,04,, 7.50 ,     , 5 ,     , 6 ,10/01/14  ,     ,          ,     ,          
OR,080772S,SuperTwo,BER SUNJOY R MINI SALSA PPAF,Berberis thunbergii 'Mimi' P.P.A.F.                         ,Sunjoy®  Mini Salsa Barberry,Berberis,04,PW, 17.00 , 16 , 5 , 16 ,     ,          ,     ,          ,     ,          
CA,095742BH,#2 BUSH,BOUG SUNVILLEA TM CREAM P22112,"Bougainvillea x 'Sasara' P.P.# 22,112                       ",Sunvillea™  Cream Dwarf Bougainvillea,Tropical flowering vine,09,Y, 18.50 ,     , 5 , 275 , 424 ,04/01/15  ,     ,          ,     ,          
CA,095752BH,#2 BUSH,BOUG SUNVILLEA TM PINK PP22113,"Bougainvillea x 'Kasumi' P.P.# 22,113                       ",Sunvillea™  Pink Dwarf Bougainvillea,Tropical flowering vine,09,Y, 18.50 ,     , 5 , 222 , 673 ,04/01/15  ,     ,          ,     ,          
OR,094071,#1,BUXUS MIC MORRIS MIDGET,Buxus microphylla var. japonica 'Morris Midget'             ,Morris Midget Boxwood                                       ,Evergreen small shrub/hedge,05,, 7.50 , 161 , 10 ,     , 161 ,05/01/15  ,     ,          ,     ,          
OR,077421S,SuperOne TM,BUXUS MIC WEDDING RING TM PPAF,"Buxus microphylla var. koreana 'Eseles' P.P.A.F., C.B.R.A.F.",Wedding Ring™  Boxwood,Evergreen small shrub/hedge,05,PW, 10.00 , 17 , 10 , 17 ,     ,          ,     ,          ,     ,          
GA,080835,#5,CALYCANTHUS APHRODITE PPAF,Calycanthus floridus 'Aphrodite'                            ,Aphrodite Sweetshrub                                        ,Deciduous mid flowering shrub,05,PW, 24.00 ,     , 5 , 38 , 38 ,09/15/14  ,     ,          ,     ,          
