Loc,Item,Plant Name,CAT,Zone,,,,,,,,,,,,,,,,,,,,,,
170000,012705,BOUG BARBARA KARST,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,012705PT,BOUG BARBARA KARST,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,035041BH,BOUG BENGAL ORANGE,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,035042BH,BOUG BENGAL ORANGE,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,090121,BOUG BLUEBERRY ICE,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,090121BH,BOUG BLUEBERRY ICE,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,090122BH,BOUG BLUEBERRY ICE,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,012901,BOUG CAMARILLO FIESTA TM,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,012905,BOUG CAMARILLO FIESTA TM,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013031,BOUG DON MARIO R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013035,BOUG DON MARIO R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,012661,BOUG GOLD RUSH TM,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,012662,BOUG GOLD RUSH TM,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,012665,BOUG GOLD RUSH TM,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,016482,BOUG GOLDEN JACKPOT R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,016482BH,BOUG GOLDEN JACKPOT R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013121,BOUG JAMES WALKER,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013125,BOUG JAMES WALKER,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013191,BOUG MARY PALMERS ENCHANTMT,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013195,BOUG MARY PALMERS ENCHANTMT,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013201,BOUG ORANGE KING,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013205,BOUG ORANGE KING,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013051,BOUG PURPLE QUEEN R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013051BH,BOUG PURPLE QUEEN R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013052,BOUG PURPLE QUEEN R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013052BH,BOUG PURPLE QUEEN R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013052PT,BOUG PURPLE QUEEN R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013055,BOUG PURPLE QUEEN R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013055BH,BOUG PURPLE QUEEN R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013055PT,BOUG PURPLE QUEEN R,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013211BH,BOUG RASPBERRY ICE,VIN,10,,,,,,,,,,,,,,,,,,,,,,
