Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,x
CT,2014,018401,#1,CORE CRUZIN' TM BROAD STRT PAF,"Coreopsis verticillata 'Broad Street' P.P. #24,598          ",Broad Street Tickseed (Cruizin' Series)                     ,Mid/late border flowering,PRN,05,ITS, 5.50 ,,,     , 10 ,     , 886 ,06/01/15  ,     ,          ,     ,          ,x
CT,2014,018421,#1,CORE CRUZIN' TM ELCTRC AVE PAF,"Coreopsis verticillata 'Electric Avenue' P.P.#24,688        ",Electric Avenue Tickseed (Cruizin' Series)                  ,Mid/late border flowering,PRN,05,ITS, 5.50 ,,,     , 10 ,     , 895 ,06/01/15  ,     ,          ,     ,          ,x
CT,    ,031202,#2,CYTISUS BURKWOODII,Cytisus scoparius 'Burkwoodii'                              ,Burkwood's Broom                                            ,Deciduous early flower'g Shrub,DCS,06,, 12.25 ,,, 45 , 5 , 175 ,     ,          ,     ,          ,     ,          ,x
CT,    ,031352,#2,CYTISUS LILAC TIME,Cytisus x 'Lilac Time' (Dallimorei hybrid)                  ,Lilac Time Scotch Broom                                     ,Deciduous early flower'g Shrub,DCS,06,, 12.25 ,,"12""H - 10""S", 75 , 5 , 860 ,     ,          ,     ,          ,     ,          ,x
CT,2014,097991,#1,DELOS JWL OF DSRT GARNT P23471,"Delosperma cooperi 'Jewel of the Desert Garnet' P.P. #23,471",Jewel of Desert Garnet Ice Plant                            ,Ground cover,PRN,05,CPB, 5.25 ,,,     , 10 ,     , 910 ,05/01/15  ,     ,          ,     ,          ,x
CT,2013,084671,#1,DELOS JWL OF DSRT RUBY P23453,"Delosperma cooperi 'Jewel of the Desert Ruby' P.P.#23,453   ",Jewel of the Desert Ruby Ice Plant                          ,Ground cover,PRN,05,CPB, 5.25 ,,,     , 10 ,     , 910 ,05/01/15  ,     ,          ,     ,          ,x
CT,2014,098591,#1,DELOS JWL OF DSRT TOPAZ P23492,"Delosperma cooperi 'Jewel of the Desert Topaz' P.P. #23,492 ",Jewel of the Desert Topaz Ice Plant                         ,Ground cover,PRN,05,CPB, 5.25 ,,,     , 10 ,     , 860 ,05/01/15  ,     ,          ,     ,          ,x
CT,2012,078741,#1,DELOSPERMA FIRE SPINNER R,Delosperma 'P001S'                                          ,Fire Spinner®  Ice Plant,Ground cover,PRN,05,PLC, 5.25 ,-,,     , 10 , 57 , 119 ,04/01/15  ,     ,          ,     ,          ,x
CT,2011,004801,#1,DICENTRA BURNINGHEARTS PP20797,Dicentra 'Burning Hearts' P.P.A.F.                          ,Burning Hearts Bleeding Heart                               ,Early spring border flowering,PRN,04,, 6.35 ,,,     , 10 ,     , 620 ,04/01/15  ,     ,          ,     ,          ,x
CT,2014,068273,#3,DIERVILLA SES COOL SPLASH,"Diervilla sessilifolia 'LPDC Podaras' PP#19,391             ",First Editions®  Cool Splash™  Bush Honeysuckle,Deciduous sumr flower'g shrub,DCS,04,BNI, 17.00 ,ATTRACTIVE FOLIAGE,"15""H X 21"" S", 85 , 5 ," 2,699 ",     ,          ,     ,          ,     ,          ,x
CT,New ,085821,#1,DISPORUM CANT MOONLIGHT P24556,"Disporum cantoniense 'Moonlight' P.P.#24,556                ",Moonlight Chinese Fairy Bells                               ,Evergreen large shrub/hedge,PRN,07,HIN, 7.15 ,,,     , 10 ,     , 862 ,06/01/15  ,     ,          ,     ,          ,x
CT,2013,007051,#1,ECHIN SUPREME CANTALOUPE PPAF,Echinacea 'Supreme Cantaloupe' P.P.A.F.                     ,Supreme Cantaloupe Cone Flower                              ,Mid/late interm. flowering,PRN,04,, 6.95 ,,,     , 10 ,     , 538 ,05/15/15  ,     ,          ,     ,          ,x
CT,2014,086091,#1,FRAGARIA X ANANASSA TOSCANA,Fragaria x ananassa 'Toscana'                               ,Toscana Strawberry                                          ,Edible berries/fruit,PRN,04,, 4.90 ,,,     , 10 ,     , 950 ,04/01/15  ,     ,          ,     ,          ,x
CT,2014,065801S,SuperOne TM,GR-CHASMANTHIUM LAT RIVER MIST,"Chasmanthium latifolium 'River Mist' PP #20,643             ",River Mist Northern Sea Oat Grass                           ,Small grasses,GRS,04,, 8.50 ,,, 20 , 10 , 20 , 20 ,01/01/15  ,     ,          ,     ,          ,x
CT,2014,022963,#3,GR-PAN VIR NORTHWIND,Panicum virgatum 'Northwind'                                ,Northwind Switch Grass                                      ,Large grass,GRS,04,, 15.75 ,,,     , 5 ,     , 99 ,01/01/15  ,     ,          ,     ,          ,x
CT,    ,039215,#5,HAMAMELIS VIRGINIANA,Hamamelis virginiana                                        ,Witch Hazel                                                 ,Deciduous early flower'g Shrub,DCS,04,, 35.00 ,-,"24"" H", 30 , 5 , 13 , 71 ,06/01/15  , 105 ,03/01/15  ,     ,          ,x
CT,2013,080873S,Super 3,HIB SYR PINK CHIFFON TM PPAF,Hibiscus syriacus 'JWNfour' P.P.A.F.                        ,Pink Chiffon™  Rose of Sharon,Deciduous sumr flower'g shrub,DCS,05,PW, 17.75 ,,,     , 5 , 66 , 457 ,12/01/14  ,     ,          ,     ,          ,x
CT,2014,026217PT,#7 PATIO TREE,HIB X LOHENGRIN,Hibiscus x 'Lohengrin'                                      ,Lohengrin Rose of Sharon                                    ,Deciduous sumr flower'g shrub,DCS,05,, 53.00 ,,,     , 2 ,     , 195 ,01/01/15  ,     ,          ,     ,          ,x
