Loc,Item Number,Plant Name,Common Name,Plant Category,Zone,Intro Year,Catalog Price      ,Price Code,Net Price     ,Unit Freight,Landed Price,Landed Price Palletized,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,Order Quantity,Confirmed Amount Remaining,Open Stock,2013 Qty Shipped  ,2014 Qty Shipped  ,2015 Qty Shipped  ,Date Ready,SKU,UPC
160000,083981,HEM PINK PLAYMATE,Pink Playmate Daylily                                                                               ,PRN,04,2001, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 15 , , 65.40 , 6 ,     ,     ,     ,Now         ,,014949839812 
550000,040111,HEM STELLA DE ORO,Stella De Oro Dwarf Daylily                                                                         ,PRN,04,    , 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 50 , , 218.00 ,     ,     ,     ,     ,Now         ,,014949401118 
550000,064181,HESPERALOE BRK LIGHTS R P21729,Brakelights¨  Red Yucca                                                                             ,EVS,05,2011, 9.25 ,, 8.14 , 0.57 , 8.71 ,     ,     , 10 , 10 , , 81.40 ,     ,     ,     ,     ,Now         ,,014949315675 
550000,403231,HEUCHERA BERRY SMOOTHIE P21871,Berry Smoothie Coral Bells                                                                          ,PRN,04,    , 8.25 ,PRNADV, 6.85 , 0.57 , 7.42 ,     ,     , 10 , 25 , , 171.25 ,     ,     ,     ,     ,Now         ,,014949391730 
550000,086641,HEUCHERA FIRE ALARM PPAF,Fire Alarm Coral Bells                                                                              ,PRN,04,    , 8.25 ,PRNADV, 6.85 , 0.57 , 7.42 ,     ,     , 10 , 28 , , 191.80 ,     ,     ,     ,     ,Now         ,,014949403754 
550000,029531,HEUCHERA LIME RICKEY PP16210,Lime Rickey Coral Bells                                                                             ,PRN,04,2006, 8.25 ,PRNADV, 6.85 , 0.57 , 7.42 ,     ,     , 10 , 25 , , 171.25 ,     ,     ,     ,     ,03/15/16    ,,014949066164 
550000,045721,HEUCHERA MIDNIGHT ROSE PP18551,Midnight Rose Coral Bells                                                                           ,PRN,04,2008, 8.25 ,PRNADV, 6.85 , 0.57 , 7.42 ,     ,     , 10 , 30 , , 205.50 ,     ,     ,     ,     ,Now         ,,014949238431 
550000,006861,HOSTA BIG DADDY,Big Daddy Plantain Lily                                                                             ,PRN,04,    , 6.00 ,PRNADV, 4.98 , 0.57 , 5.55 ,     ,     , 10 , 25 , , 124.50 ,     ,     ,     ,     ,Now         ,,014949017036 
450000,40353UT,HOSTA BLUE MOUSE EARS,Blue Mouse Ears Hosta                                                                               ,PRN,03,    , 3.25 ,PRNADV, 2.70 , 0.49 , 3.19 ,     ,     , 16 , 16 , , 43.20 , 216 ,     ,     ,     ,Now         ,,014949392102 
450000,068241,HOSTA EMPRESS WU PP20774,Empress Wu Hosta                                                                                    ,PRN,03,2011, 7.25 ,PRNADV, 6.02 , 1.01 , 7.03 ,     ,     , 10 , 10 , , 60.20 ,     ,     ,     ,     ,Now         ,,014949361672 
