Branch ,Item ,Size,Plant Availability,,,,,,For: 4/29/16,,,,,,,,,,,,
,,,Rep#:  600201   ,,,,,, 6:51:12  ,,,,,,,,,,,,
,,,House Accounts-East                     ,,,,,,,,,,,,,,,,,,
OPRPJ026R ,,,                      ,,,,,,,PS1;Plants that are prime condition.,,,,,,,,,,,
,,Landscape Ready:*Excluded,,,,,,,,PS2:Plants in prime condition for at least 2 more weeks.,,,,,,,,,,,
,,                  ,,,,,,,,"PS3:Plants are past blooming, but still saleable.",,,,,,,,,,,
,,,,,,,,,,*:Denotes perennials that bloom once per year.,,,,,,,,,,,
Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Plant Status,Qty Open,Qty Alloc Rem Thru 06/30/16,Net Avail Qty,Min Order Qty,List Price,UPC#,Sale Price,AVL Flag,,,
OR,408331,#1,AGASTACHE LITTLE ADDER PPAF,Agastache rugosa 'Little Adder' P.P.A.F.                    ,Little Adder Hummingbird Mint                               ,PRN,05,-,CAN FULL,, 627 ,     , 627 , 10 , 5.75 ,014949413470,          ,I,,,
OR,08030UT,LittleOne,AJUGA CHOCOLATE CHIP,Ajuga x 'Chocolate Chip'                                    ,Chocolate Chip Carpet Bugle                                 ,PRN,04,-,CAN FULL,PS3*, 288 ,     , 288 , 16 , 3.25 ,014949010792,          , ,,,
OR,000591,#1,AJUGA REPTANS BURGUNDY GLOW,Ajuga reptans 'Burgundy Glow'                               ,Burgundy Glow Carpet Bugle                                  ,PRN,04,-,CAN FULL,PS3, 212 ,     , 212 , 10 , 5.25 ,014949003053,          ,I,,,
OR,002565,#5 STAKED,AKEBIA QUINATA SHIRO BANA,Akebia quinata 'Shirobana'                                  ,White Flowered Chocolate Vine                               ,VIN,05,-,FULL STK,, 185 ,     , 185 , 5 , 28.50 ,014949025659,          , ,,,
OR,400561,#1,ALLIUM HYB MILLENNIUM,Allium 'ALLMIG1'                                            ,Millenium Ornamental Onion                                  ,PRN,05,-,CAN FULL,PS0, 26 ,     , 26 , 10 , 5.25 ,014949388341,          , ,,,
OR,06696UT,LittleOne,ANACYCLUS PYR DEP SILBERKISSEN,Anacyclus depressus 'Silberkissen'                          ,Silver Kisses Mount Atlas Daisy                             ,PRN,05,,CAN FULL,," 1,152 ",     ," 1,152 ", 16 , 3.25 ,014949429334,          ,N,,,
OR,016632,#2,ANDROMEDA POL BLUE ICE,Andromeda polifolia 'Blue Ice'                              ,Blue Ice Bog Rosemary                                       ,EVS,02,-,6''H - 12''S,, 154 ,     , 154 , 5 , 17.75 ,014949000311,          ,I,,,
OR,002741,#1,ANEMONE SYLVESTRIS,Anemone sylvestris                                          ,Snowdrop Anemone                                            ,PRN,02,-,CAN FULL,PS3, 10 ,     , 10 , 10 , 5.25 ,014949027417,          , ,,,
OR,039021,#1,ANEMONE X WILD SWAN TM PP23132,"Anemone x 'Macane001' Wild Swan™  P.P.# 23,132",Wild Swan™  Hybrid Anemone,PRN,06,-,CAN FULL,PS0," 1,726 ",     ," 1,726 ", 10 , 7.75 ,014949226315,          ,I,,,
OR,045921,#1,AQUILEGIA CAE ORIGAMI PNK & WT,Aquilegia x hybrida 'Origami Pink & White'                  ,Origami Pink & White Columbine                              ,PRN,03,LIGHT BUD & BLOOM,CAN FULL,PS2, 32 ,     , 32 , 10 , 5.25 ,014949312742,          ,I,,,
OR,00272UT,LittleOne,AQUILEGIA FLA CAMEO BLUE & WT,Aquilegia flabellata 'Cameo Series Blue & White'            ,Cameo Series Blue & White Columbine                         ,PRN,03,LIGHT BUD & BLOOM,CAN FULL,PS2, 14 ,     , 14 , 16 , 3.25 ,014949053614,          , ,,,
OR,400691,#1,AQUILEGIA V WINKY DBL RED,Aquilegia caerulea 'Winky Double Red '                      ,Winky Double Red Columbine                                  ,PRN,03,BUDS & BLOOMS,,PS1, 501 ,     , 501 , 10 , 5.25 ,014949388464,          , ,,,
