Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Monthly Sale Price,Condition,Current Specs,UPC#,Qty Allocated,Min Qrd Qty,Available Now     ,Available Later,On,Available Later,On,Available Later,On,Stk Loc
OR,    ,018242,#2,ROSA FLWR CAR R YELLOW PP13869,Rosa x 'Noalesa' P.P.# 13869                                ,Flower Carpet®  Yellow Rose,Rosa,ROS,04,ATI, 15.50 ,            ,-,"12""H - 12""S",014949011010, 2 , 5 ,     , 48 ,05/01/15  ,     ,          ,     ,          ,                              
CA,    ,018242,#2,ROSA FLWR CAR R YELLOW PP13869,Rosa x 'Noalesa' P.P.# 13869                                ,Flower Carpet®  Yellow Rose,Rosa,ROS,04,ATI, 15.50 ,            ,LIGHT BUD & BLOOM,"10""H - 10""S",014949011010, 29 , 5 , 29 ,     ,          ,     ,          ,     ,          ,"1F 106, 1G 103, 1H 104, 1H 105"
CA,    ,018245PT,#5 PATIO TREE,ROSA FLWR CAR R YELLOW PP13869,Rosa x 'Noalesa' P.P.# 13869                                ,Flower Carpet®  Yellow Rose,Rosa,ROS,04,ATI, 38.50 ,            ,LIGHT BUDS,"17""S",014949062814,     , 2 , 56 , 56 ,04/01/15  ,     ,          ,     ,          ,1H 108                        
CT,2014,406273,#3,ROSA FRNCIS MEILLAND TM P19970,"Rosa hybrid 'Meitroni' PP #19,970                           ",Francis Meilland™  Hybrid Tea Rose,Rosa,ROS,04,, 15.00 ,            ,,,014949397831, 5 , 5 , 488 ," 1,231 ",04/15/15  ,     ,          ,     ,          ,3S 5 E                        
CA,    ,069382PT,#2 PATIO TREE,ROSA GOLDEN SUNBLAZE R P8493,Rosa x 'Meicupaq' P.P. #8493                                ,Golden Sunblaze®  Miniature Rose,Rosa,ROS,05,CPC, 24.00 ,            ,LIGHT BUD & BLOOM,12''s,014949693827,     , 5 , 4 ,     ,          ,     ,          ,     ,          ,1F 111                        
CA,2012,077481S,SuperOne TM,ROSA HOME RUN R PINK PPAF,Rosa 'WEKPhom' P.P.A.F.                                     ,Home Run®  Pink Rose,Rosa,ROS,04,PW, 10.00 ,            ,LIGHT BUD & BLOOM,8''H - 8''S,014949356005,     , 10 ," 1,565 ",     ,          ,     ,          ,     ,          ,1H 106                        
CA,2012,077482S,SuperTwo,ROSA HOME RUN R PINK PPAF,Rosa 'WEKPhom' P.P.A.F.                                     ,Home Run®  Pink Rose,Rosa,ROS,04,PW, 16.50 ,            ,LIGHT BUD & BLOOM,"10""H - 10""S",014949356012, 100 , 5 , 352 ,     ,          ,     ,          ,     ,          ,1H 106                        
CA,2012,077491S,SuperOne TM,ROSA HOME RUN R RED PP18552,"Rosa 'WEKcisbako' P.P. #18,552                              ",Home Run®  Red Rose,Rosa,ROS,04,PW, 10.00 ,            ,LIGHT BUD & BLOOM,8''H - 8''S,014949356029,     , 10 ," 1,955 ",     ,          ,     ,          ,     ,          ,1H 106                        
CT,    ,023783S,Super 3,ROSA KNCK OUT R BLSHNG P14700,Rosa x 'Radyod' P.P.# 14700                                 ,Blushing Knock Out®  Rose,Rosa,ROS,05,CPC, 15.25 ,            ,,,014949419380,     , 5 , 549 , 549 ,04/15/15  ,     ,          ,     ,          ,"2P 0 E, 2R 4 E                "
OR,    ,042822S,SuperTwo,ROSA KNCK OUT R DBL PNK P18507,Rosa x 'Radtkopink' P.P.# 18507                             ,Pink Double Knock Out®  Rose,Rosa,ROS,04,CPC, 13.50 ,            ,-,"12""H - 12""S",014949370209,     , 5 , 247 ,     ,          ,     ,          ,     ,          ,1F 208                        
CA,    ,042822S,SuperTwo,ROSA KNCK OUT R DBL PNK P18507,Rosa x 'Radtkopink' P.P.# 18507                             ,Pink Double Knock Out®  Rose,Rosa,ROS,04,CPC, 13.50 ,            ,BUDS & BLOOMS,"10""H - 10""S",014949370209,     , 5 , 146 , 146 ,04/01/15  ,     ,          ,     ,          ,1H 105                        
GA,    ,042822S,SuperTwo,ROSA KNCK OUT R DBL PNK P18507,Rosa x 'Radtkopink' P.P.# 18507                             ,Pink Double Knock Out®  Rose,Rosa,ROS,04,CPC, 13.50 ,            ,,"12""H - 12""S",014949370209, 50 , 5 ,     ," 1,731 ",01/01/15  ," 1,422 ",04/01/15  ," 5,340 ",05/15/15  ,                              
CT,    ,042823S,Super 3,ROSA KNCK OUT R DBL PNK P18507,Rosa x 'Radtkopink' P.P.# 18507                             ,Pink Double Knock Out®  Rose,Rosa,ROS,04,CPC, 15.25 ,            ,,,014949384084, 84 , 5 , 84 , 84 ,04/15/15  ,     ,          ,     ,          ,"2P 0 E, 2R 4 W                "
CT,    ,042823SPT,Super 3 PATIO TREE,ROSA KNCK OUT R DBL PNK P18507,Rosa x 'Radtkopink' P.P.# 18507                             ,Pink Double Knock Out®  Rose,Rosa,ROS,04,CPC, 29.50 ,            ,,,014949414095,     ,     , 2 , 72 ,05/01/15  ,     ,          ,     ,          ,2R 3 W                        
GA,    ,042825,#5,ROSA KNCK OUT R DBL PNK P18507,Rosa x 'Radtkopink' P.P.# 18507                             ,Pink Double Knock Out®  Rose,Rosa,ROS,04,CPC, 17.75 ,            ,,"14""H - 16""S",014949257593,     , 5 , 286 , 286 ,04/01/15  , 286 ,05/15/15  ,     ,          ,3WG9                          
GA,    ,042825PT,#5 PATIO TREE,ROSA KNCK OUT R DBL PNK P18507,Rosa x 'Radtkopink' P.P.# 18507                             ,Pink Double Knock Out®  Rose,Rosa,ROS,04,CPC, 38.50 ,            ,,"15""S",014949313268, 9 , 2 ,     , 9 ,05/15/15  ,     ,          ,     ,          ,                              
CA,    ,030902S,SuperTwo,ROSA KNCK OUT R DBL RD P16202,Rosa x 'Radtko' P.P.# 16202                                 ,Double Knock Out®  Rose,Rosa,ROS,04,CPC, 13.50 ,            ,BUDS & BLOOMS,"10""H - 10""S",014949370223,     , 5 , 10 , 10 ,04/01/15  ,     ,          ,     ,          ,1F 105                        
GA,    ,030902S,SuperTwo,ROSA KNCK OUT R DBL RD P16202,Rosa x 'Radtko' P.P.# 16202                                 ,Double Knock Out®  Rose,Rosa,ROS,04,CPC, 13.50 ,            ,,"12""H - 12""S",014949370223, 50 , 5 ,     ," 3,863 ",01/01/15  ," 3,115 ",04/01/15  ," 1,124 ",05/15/15  ,                              
CT,    ,030903S,Super 3,ROSA KNCK OUT R DBL RD P16202,Rosa x 'Radtko' P.P.# 16202                                 ,Double Knock Out®  Rose,Rosa,ROS,04,CPC, 15.25 ,            ,BUDS,,014949420065, 20 , 5 ,     , 20 ,04/15/15  ,     ,          ,     ,          ,2P 0 E                        
CT,    ,030903SPT,Super 3 PATIO TREE,ROSA KNCK OUT R DBL RD P16202,Rosa x 'Radtko' P.P.# 16202                                 ,Double Knock Out®  Rose,Rosa,ROS,04,CPC, 29.50 ,            ,,,014949414088,     ,     , 18 , 133 ,05/01/15  ,     ,          ,     ,          ,2R 3 W                        
GA,    ,030905,#5,ROSA KNCK OUT R DBL RD P16202,Rosa x 'Radtko' P.P.# 16202                                 ,Double Knock Out®  Rose,Rosa,ROS,04,CPC, 17.75 ,            ,,"14""H - 16""S",014949236758, 7 , 5 , 7 , 7 ,05/01/15  ,     ,          ,     ,          ,3WL3                          
GA,    ,030905PT,#5 PATIO TREE,ROSA KNCK OUT R DBL RD P16202,Rosa x 'Radtko' P.P.# 16202                                 ,Double Knock Out®  Rose,Rosa,ROS,04,CPC, 38.50 ,            ,,"15""S",014949192337, 6 , 2 ,     , 6 ,05/15/15  ,     ,          ,     ,          ,                              
CA,    ,011622S,SuperTwo,ROSA KNCK OUT R P11836 (RED),Rosa x 'Radrazz' P.P.# 11836                                ,Knock Out®  Shrub Rose,Rosa,ROS,04,CPC, 13.50 ,            ,BUDS & BLOOMS,10''H - 10''S,014949370216, 10 , 5 , 358 , 358 ,04/01/15  ,     ,          ,     ,          ,"1F 106, 1G 103                "
GA,    ,011622S,SuperTwo,ROSA KNCK OUT R P11836 (RED),Rosa x 'Radrazz' P.P.# 11836                                ,Knock Out®  Shrub Rose,Rosa,ROS,04,CPC, 13.50 ,            ,,"12""H - 12""S",014949370216,     , 5 ," 5,284 ", 517 ,05/15/15  ,     ,          ,     ,          ,"3BR3, 3WG4, 7PD1, 7PD3        "
GA,    ,011623S,Super 3,ROSA KNCK OUT R P11836 (RED),Rosa x 'Radrazz' P.P.# 11836                                ,Knock Out®  Shrub Rose,Rosa,ROS,04,CPC, 15.25 ,            ,,,014949416440,     , 5 ,     , 26 ,01/01/15  ,     ,          ,     ,          ,                              
CT,    ,011623SPT,Super 3 PATIO TREE,ROSA KNCK OUT R P11836 (RED),Rosa x 'Radrazz' P.P.# 11836                                ,Knock Out®  Shrub Rose,Rosa,ROS,04,CPC, 29.50 ,            ,,,014949416464,     ,     , 7 , 238 ,05/01/15  ,     ,          ,     ,          ,2R 3 W                        
GA,    ,011625,#5,ROSA KNCK OUT R P11836 (RED),Rosa x 'Radrazz' P.P.# 11836                                ,Knock Out®  Shrub Rose,Rosa,ROS,04,CPC, 17.75 ,            ,,"14""H - 16""S",014949116258,     , 5 ,     ," 3,506 ",01/01/15  ," 3,506 ",04/01/15  ,     ,          ,                              
