Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
CT,022567,CARAGANA ARB PENDULA,Caragana arborescens 'Pendula'                              ,Weeping Siberian Peashrub                                   ,,,,,,,,,,,,,,,,,
CT,408962,CARY 'SUMMER SORBET' PP15935,"Caryopteris x clandonensis 'Summer Sorbet' P.P.# 15,935     ",Summer Sorbet Bluebeard                                     ,,,,,,,,,,,,,,,,,
CT,090183S,CEPHALANTHUS SUGAR SHCK TM PAF,Cephalanthus occidentalis 'SMCOSS' P.P.A.F.                 ,Sugar Shack™  Butttonbush,,,,,,,,,,,,,,,,,
CT,058427,CERCIS C RUBY FALLS,Cercis canadensis 'Ruby Falls' PPAF                         ,Ruby Falls Weeping Redbud                                   ,,,,,,,,,,,,,,,,,
CT,058417,CERCIS C TEXENSIS MERLOT,"Cercis x 'Merlot' P.P.#22,297                               ",Merlot Redbud                                               ,,,,,,,,,,,,,,,,,
CT,401767,CERCIS C THE RISING SUN P21451,"Cercis canadensis 'JN2'' P.P.#21,451                        ",The Rising Sun™  Eastern Redbud,,,,,,,,,,,,,,,,,
CT,017857,CERCIS LAVENDER TWIST R P10328,"Cercis canadensis 'Covey' P.P. #10,328                      ",Lavender Twist®  Redbud,,,,,,,,,,,,,,,,,
CT,074452S,CHAEN DBLTKE TM PK STRM P20920,"Chaenomeles speciosa 'Pink Storm' P.P.# 20,920, CBRAF       ",Double Take™  Pink Storm Flowering Quince,,,,,,,,,,,,,,,,,
CT,074453S,CHAEN DBLTKE TM PK STRM P20920,"Chaenomeles speciosa 'Pink Storm' P.P.# 20,920, CBRAF       ",Double Take™  Pink Storm Flowering Quince,,,,,,,,,,,,,,,,,
CT,074773S,CHAEN DBLTKE TM SCR STRM PPAF,"Chaenomeles speciosa 'Scarlet Storm' P.P.# PP 20,951        ",Double Take™  Scarlet Storm Flowering Quince,,,,,,,,,,,,,,,,,
CT,023655,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,,,,,,,,,,,,,,,,,
CT,035365,CHAM OBT CRIPPSII,Chamaecyparis obtusa 'Crippsii'                             ,Golden Hinoki False Cypress                                 ,,,,,,,,,,,,,,,,,
CT,023902,CHAM OBT FILICOIDES,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     ,,,,,,,,,,,,,,,,,
CT,023905,CHAM OBT FILICOIDES,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     ,,,,,,,,,,,,,,,,,
CT,023682,CHAM OBT GRACILIS,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                ,,,,,,,,,,,,,,,,,
CT,401805,CHAM OBT NIGHT LIGHT TM,Chamaecyparis obtusa 'Conschlecht'                          ,Night Light®  Hinoki Cypress,,,,,,,,,,,,,,,,,
CT,082455,CHAM PIS GOLDEN MOP,Chamaecyparis pisifera 'Golden Mop'                         ,Golden Mop Threadleaf False Cypress                         ,,,,,,,,,,,,,,,,,
CT,074783S,CHAM PIS SOFT SERVE R PPAF,Chamaecyparis pisifera 'Dow Whiting' P.P.A.F.               ,Soft Serve®  False Cypress,,,,,,,,,,,,,,,,,
CT,014412,CHAM PIS VINTAGE GOLD,Chamaecyparis pisifera 'Vintage Gold'                       ,Vintage Gold False Cypress                                  ,,,,,,,,,,,,,,,,,
CT,024191,CHELONE HOT LIPS,Chelone lyonii 'Hot Lips'                                   ,Hot Lips Turtlehead                                         ,,,,,,,,,,,,,,,,,
CT,412571,CHRY (LEU) REAL GALAXY PPAF,Chrysanthemum 'Real Galaxy' P.P.A.F.                        ,Real Galaxy Shasta Daisy                                    ,,,,,,,,,,,,,,,,,
CT,407861,CHRY (LEUCA) X REAL GLORY,Chrysanthemum 'Real Glory' P.P.A.F.                         ,Real Glory Shasta Daisy                                     ,,,,,,,,,,,,,,,,,
CT,40159UT,CHRYS (LEUCANTH) X FREAK PPAF,Chrysanthemum (Leucanthemum x superbum 'Leuzoo1' P.P.A.F.   ,Freak! Shasta Daisy                                         ,,,,,,,,,,,,,,,,,
CT,02661UT,CHRYS (LEUCANTH) X SUP CRAZY,Leucanthemum x superbum 'Crazy Daisy' P.P.A.F.              ,Crazy Shasta Daisy                                          ,,,,,,,,,,,,,,,,,
CT,027472,CLEM PANICULATA,Clematis paniculata                                         ,Sweet Autumn Clematis                                       ,,,,,,,,,,,,,,,,,
CT,089922S,CLEM SWEET SUMMER LOVE PPAF,Clematis 'Sweet Summer Love' P.P.A.F.                       ,Sweet Summer Love Clematis                                  ,,,,,,,,,,,,,,,,,
CT,048741,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,,,,,,,,,,,,,,,,,
CT,015901,CLEM X BLUE LIGHT R PP15953,Clematis x 'Vanso' P.P.# 15953                              ,Blue Light®  Clematis,,,,,,,,,,,,,,,,,
CT,027071,CLEM X PINK CHAMPAGNE,Clematis x 'Pink Champagne'                                 ,Pink Champagne Clematis                                     ,,,,,,,,,,,,,,,,,
CT,074463S,CLETHRA AL SUGARTINA TM P21561,"Clethra alnifolia 'Crystalina' P.P.# 21,561 Can. P.B.R.A.F. ",Sugartina™  Summersweet,,,,,,,,,,,,,,,,,
CT,027523,CLETHRA ALN HUMMINGBIRD,Clethra alnifolia 'Hummingbird'                             ,Hummingbird Summersweet                                     ,,,,,,,,,,,,,,,,,
CT,020093,CLETHRA ALN SIXTEEN CANDLES,Clethra alnifolia 'Sixteen Candles'                         ,Sixteen Candles Summersweet                                 ,,,,,,,,,,,,,,,,,
CT,078721,CORE BIGBANG TM CSMC EY P22601,"Coreopsis x 'Cosmic Eye' P.P.#22,601                        ",Big Bang™  Cosmic Eye Tickseed,,,,,,,,,,,,,,,,,
CT,088891,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,,,,,,,,,,,,,,,,,
CT,088891S,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,,,,,,,,,,,,,,,,,
CT,068081,CORE BIGBANG TM RDSHFT PP20412,"Coreopsis x 'Redshift' P.P.# 20,412                         ",Big Bang™  Redshift Tickseed,,,,,,,,,,,,,,,,,
CT,018421,CORE CRUZIN' TM ELCTRC AVE PAF,"Coreopsis verticillata 'Electric Avenue' P.P.#24,688        ",Electric Avenue Tickseed (Cruizin' Series)                  ,,,,,,,,,,,,,,,,,
CT,408541,CORE LIL' BANG TM RED ELF,Coreopsis x 'Red Elf' P.P.A.F.                              ,Lil' Bang™  Red Elf Tickseed,,,,,,,,,,,,,,,,,
CT,408531,CORE LIL' BANG TM STARLIGHT,Coreopsis 'Starlight' P.P.A.F.                              ,Lil' Bang™  Starlight Tickseed,,,,,,,,,,,,,,,,,
CT,401911S,COREOPSIS DAZZLESTAR PPAF,Coreopsis 'Mercury Rising' P.P.A.F.                         ,Dazzlestar™  Tickseed,,,,,,,,,,,,,,,,,
CT,027961,COREOPSIS VERT MOONBEAM,Coreopsis verticillata 'Moonbeam'                           ,Moonbeam Threadleaf Tickseed                                ,,,,,,,,,,,,,,,,,
CT,027971,COREOPSIS VERT ZAGREB,Coreopsis verticillata 'Zagreb'                             ,Zagreb Threadleaf Tickseed                                  ,,,,,,,,,,,,,,,,,
CT,027863,CORNUS ALBA IVORYHALO TM,Cornus alba 'Bailhalo'                                      ,Ivory Halo®  Dogwood,,,,,,,,,,,,,,,,,
CT,027865,CORNUS ALBA IVORYHALO TM,Cornus alba 'Bailhalo'                                      ,Ivory Halo®  Dogwood,,,,,,,,,,,,,,,,,
