Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
GA,1361954,GA 2014                       ,5/15/2014,6351,#1,CHRY (LEU) SUP REAL DREAM PPAF,Real Dream Shasta Daisy                                                                             ,2013,5.75,PRNADV,4.54,10,30,136.2,4/1/2014,,,0.74,5.28,     ,,15,14949061268
GA,1361954,GA 2014                       ,5/15/2014,26621,#1,CHRYS (LEUCANTH) X SUP AGLAIA,Aglaia Shasta Daisy                                                                                 ,    ,4.75,PRNADV,3.75,10,40,150,4/1/2014,,,0.74,4.49,     ,,15,14949375549
OR,1361955,OR 2014                       ,5/15/2014,23021,#1,CHRYS (LEUCANTH) X SUP BECKY,Becky Shasta Daisy                                                                                  ,    ,4.75,PRNADV,3.75,10,50,187.5,Now         ,CUT BACK,.,0.69,4.44,     ,,15,14949002490
GA,1361954,GA 2014                       ,5/15/2014,23021,#1,CHRYS (LEUCANTH) X SUP BECKY,Becky Shasta Daisy                                                                                  ,    ,4.75,PRNADV,3.75,10,10,37.5,4/1/2014,,,0.74,4.49,     ,,15,14949002490
GA,1361954,GA 2014                       ,5/15/2014,4221,#1,CHRYS (LEUCANTH) X SUP SNOWCAP,Snowcap Shasta Daisy                                                                                ,    ,4.75,PRNADV,3.75,10,20,75,4/1/2014,,,0.74,4.49,     ,,15,14949000397
GA,1361954,GA 2014                       ,5/15/2014,00423UT,LittleOne,CHRYS (LEUCANTH) X SUP SNWLADY,Snow Lady Shasta Daisy                                                                              ,2013,2.95,,2.48,16,32,79.36,4/1/2014,,,0.56,3.04,     ,,7.99,14949375167
OR,1361955,OR 2014                       ,5/15/2014,39512,#2,CIMI S BLACK NEGLIGEE (ACTAEA),Black Negligee Snakeroot                                                                            ,    ,16,,13.44,5,100,"1,344.00",Now         ,DORMANT,.,1.73,15.17,     ,,39.99,14949230329
CA,1361910,VI 2014                       ,5/15/2014,26005,#5,CITRUS IMPROVED MEYER LEMON,Improved Meyer Lemon                                                                                ,    ,24.25,,20.37,5,5,101.85,Now         ,-,"18""H-15""S",3.62,23.99,     ,TROPICAL,59.99,14949260050
OR,1361955,OR 2014                       ,5/15/2014,27251,#1,CLEM INTEGRIFOLIA CAERULEA,Bushy Blue Bell Clematis                                                                            ,    ,7,PRNADV,5.53,10,20,110.6,Now         ,DORMANT,.,0.69,6.22,     ,,15,14949272510
OR,1361955,OR 2014                       ,5/15/2014,27472,#2 STAKED,CLEM PANICULATA,Sweet Autumn Clematis                                                                               ,    ,17,,14.28,5,40,571.2,Now         ,-,FULL STK,1.73,16.01,     ,TROPICAL,39.99,14949274729
