Requested,Remaining,Date,Item,Description,Size,Form,Whs,UPC,,Retail,Selling Price,Price Code,Extended,
10,10,5/1/2016,086113,GR-SCHIZACH BL HEAVN TM P17310,3,,450000,014949419410,,$43.99 ,$14.25 ,,$142.50 ,
10,10,5/1/2016,413081,HELIOPSIS HEL SUNSTRUCK P25524,1,,450000,014949427439,,$16.99 ,$5.46 ,,$54.60 ,
1,1,5/15/2016,414781,HEM EVERYDAYLILY CREAM PPAF,1,,450000,014949431764,,$15.99 ,$4.99 ,,$4.99 ,
9,9,5/15/2016,414781,HEM EVERYDAYLILY CREAM PPAF,1,,450000,014949431764,,$15.99 ,$4.99 ,,$44.91 ,
10,10,5/15/2016,414791,HEM EVERYDAYLILY PINK WING PAF,1,,450000,014949431740,,$15.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,040511,HEM HAPPY RETURNS,1,,450000,014949405116,,,$4.99 ,,$49.90 ,
10,10,5/1/2016,046611,HEM PURPLE DE ORO,1,,450000,014949265550,,,$4.99 ,,$49.90 ,
10,10,5/1/2016,059931,HEM ROSY RETURNS,1,,450000,014949310656,,$15.99 ,$4.99 ,,$49.90 ,
16,16,5/1/2016,40353UT,HOSTA BLUE MOUSE EARS,QT,,450000,014949392102,,$9.99 ,$3.09 ,,$49.44 ,
10,10,5/1/2016,075121,HOSTA FIRE ISLAND,1,,450000,014949358627,,$17.99 ,$5.70 ,,$57.00 ,
16,16,5/4/2016,40158UT,HOSTA PANDORAS BOX,QT,,450000,014949385340,,$9.99 ,$3.09 ,,$49.44 ,
10,10,5/1/2016,403621,HOSTA PRAYING HANDS,1,,450000,014949392195,,$20.99 ,$6.89 ,,$68.90 ,
10,10,5/1/2016,093131,HOSTA VICTORY,1,,450000,014949277072,,$20.99 ,$6.89 ,,$68.90 ,
10,10,5/1/2016,045971,IRIS SIB BUTTER & SUGAR,1,,450000,014949459713,,$17.99 ,$5.70 ,,$57.00 ,
10,10,5/1/2016,046011,IRIS SIB RUFFLED VELVET,1,,450000,014949460115,,$17.99 ,$5.70 ,,$57.00 ,
10,10,5/1/2016,092361,LIGULARIA S LTL ROCKET PP14621,1,,450000,014949425183,,$20.99 ,$6.89 ,,$68.90 ,
4,4,5/1/2016,404703,LYCIUM BARB FIRECRACKER,3,,450000,014949412442,,$50.99 ,$17.10 ,,$68.40 ,
2,2,5/1/2016,402677,MALUS 5-IN-1 COMBO APPLE,7,,450000,014949394694,,$164.99 ,$57.00 ,,$114.00 ,
1,1,5/1/2016,415887ES,MALUS X APPLE #1 2 TIER,7,ES,450000,014949431917,,$170.99 ,$55.10 ,,$55.10 ,
2,2,5/1/2016,404777,MALUS X CARDINAL,7,,450000,014949394816,,$132.99 ,$44.18 ,,$88.36 ,
2,2,5/1/2016,404737,MALUS X CINDERELLA R,7,,450000,014949394830,,$132.99 ,$44.18 ,,$88.36 ,
2,2,5/1/2016,061147,MALUS X PRAIRIFIRE,7,,450000,014949006214,,$132.99 ,$44.18 ,,$88.36 ,
2,2,5/1/2016,402755,MALUS X URBAN TASTY RED,5,,450000,014949395004,,$117.99 ,$41.33 ,,$82.66 ,
10,10,5/1/2016,046171,PHLOX P PURPLE FLAME R PP12605,1,,450000,014949262030,,$15.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,007251,PHLOX P WHITE FLAME R PP16259,1,,450000,014949433591,,$15.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,409892,PHYSOCARPUS PETITE PLUM R PPAF,2,,450000,014949335567,,$43.99 ,$15.20 ,,$152.00 ,
10,10,5/1/2016,065361,POLEMONIUM BRISE D'ANJOU P9781,1,,450000,014949653616,,$19.99 ,$6.41 ,,$64.10 ,
10,10,5/1/2016,412841,POTENTILLA TWINKLING STAR,1,,450000,014949425213,,$17.99 ,$5.70 ,,$57.00 ,
2,2,5/1/2016,066917,PRUNUS SER KWANZAN,7,,450000,014949195475,,$156.99 ,$53.91 ,,$107.82 ,
5,5,5/1/2016,008831,RHOD (H-1) BLACK SATIN,1,,450000,014949088319,,$24.99 ,$8.55 ,,$42.75 ,
15,15,5/1/2016,009801,RHOD (H-1) P.J.M.,1,,450000,014949098011,,$24.99 ,$8.55 ,,$128.25 ,
5,5,5/1/2016,415022S,ROSA DRIFT R WHITE,2S,,450000,014949433300,,$39.99 ,$13.54 ,,$67.70 ,
5,5,5/1/2016,406153,ROSA-CL BRITE EYES TM PP17391,3,,450000,014949397992,,$45.99 ,$14.73 ,,$73.65 ,
10,10,5/1/2016,092351,SEDUM ELSIE GOLD PP20368,1,,450000,014949383698,,$16.99 ,$5.23 ,,$52.30 ,
16,16,5/1/2016,06560UT,SEMPERVIVUM GREEN WHEEL,QT,,450000,014949309315,,$9.99 ,$3.09 ,,$49.44 ,
16,16,5/1/2016,05696UT,SEMPERVIVUM RUBY HEARTS,QT,,450000,014949356814,,$9.99 ,$3.09 ,,$49.44 ,
5,5,5/1/2016,086413S,SPIRAEA BET GLOW GIRL TM,3S,,450000,014949410882,,$50.99 ,$17.10 ,,$85.50 ,
5,5,5/1/2016,071572,SPIRAEA JAP MAGIC CARPET P9363,2,,450000,014949715727,,$31.99 ,$10.21 ,,$51.05 ,
10,10,5/1/2016,022511,STOKESIA LAEVIS PEACHIE'S PICK,1,,450000,014949378496,,$16.99 ,$5.46 ,,$54.60 ,
10,10,5/1/2016,409261,VERONICA MDY BLUES LT BLU PPAF,1,,450000,014949416068,,$15.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,409251,VERONICA MDY BLUES PINK PPAF,1,,450000,014949416051,,$15.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,073621,VERONICA SPICATA RED FOX,1,,450000,014949736210,,$15.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,412881,VIOLA MGNFI SCNT TM AMY PPAF,1,,450000,014949425275,,$17.99 ,$5.70 ,,$57.00 ,
6,6,5/1/2016,013312S,WEIGELA FL MDNIT WINE R P12217,2S,,450000,014949002360,,$49.99 ,$17.58 ,,$105.48 ,
10,10,5/1/2016,080932S,WEIGELA SONIC BLOOM TM RED PAF,2S,,450000,014949360958,,$51.99 ,$18.05 ,,$180.50 ,
6,6,5/1/2016,066382,ALST ROCK & ROLL R PP21001,2,,170000,014949357637,,$42.99 ,$14.96 ,,$89.76 ,
15,15,5/1/2016,066341,ASCLEPIAS CUR SILKY GOLD,1,,170000,014949317389,,$14.99 ,$4.99 ,,$74.85 ,
5,5,5/1/2016,074742S,BER SUNJOY R GOLD PILLAR PPAF,2S,,170000,014949339558,,$50.99 ,$17.10 ,,$85.50 ,
6,6,5/1/2016,077392S,BUDDLEJA MISS MOLLY PPAF,2S,,170000,014949355749,,$50.99 ,$17.10 ,,$102.60 ,
10,10,5/1/2016,013822,BUXUS GREEN MOUNTAIN,2,,170000,014949138229,,$42.99 ,$14.73 ,,$147.30 ,
10,10,5/1/2016,022711,CAMPSIS BALBOA SUNSET R,1,ST,170000,014949227121,,$21.99 ,$7.60 ,,$76.00 ,
10,10,5/1/2016,022381,CAMPSIS FLAVA,1,ST,170000,014949223819,,$21.99 ,$7.60 ,,$76.00 ,
5,5,5/1/2016,022482,CANNA TROPICANNA TM PP10569,2,,170000,014949224823,,$50.99 ,$19.71 ,,$98.55 ,
10,10,5/1/2016,069211,ECHEVERIA AGAVOIDES LIPSTICK,1,,170000,014949328170,,$20.99 ,$7.36 ,,$73.60 ,
10,10,5/1/2016,086091,FRAGARIA X ANANASSA TOSCANA,1,,170000,014949371992,,$14.99 ,$4.99 ,,$49.90 ,
10,10,5/15/2016,408811,GAILLARDIA SUNSET CELEBRATION,1,,170000,014949413951,,$16.99 ,$5.70 ,,$57.00 ,
5,5,5/1/2016,034712,HIB MOS DAVE FLEMING PP21392,2,,170000,014949312377,,$42.99 ,$14.96 ,,$74.80 ,
5,5,5/1/2016,036322,HIB MOS STARDUST PP21479,2,,170000,014949312384,,$42.99 ,$14.96 ,,$74.80 ,
3,3,5/1/2016,055245,HIB R C'EST BON,5,,170000,014949285992,,$68.99 ,$22.80 ,,$68.40 ,
10,10,5/1/2016,025201,HIB R ERIN RACHEL,1,,170000,014949241332,,$20.99 ,$7.13 ,,$71.30 ,
10,10,5/1/2016,002111,HIB SYR APHRODITE,1,,170000,014949021118,,$17.99 ,$6.18 ,,$61.80 ,
5,5,5/1/2016,074502S,HIB SYR BLU CHIFFON TM PP20574,2S,,170000,014949335956,,$50.99 ,$17.10 ,,$85.50 ,
4,4,5/1/2016,041665,HIB SYR BLUSHING BRIDE,5,,170000,014949416655,,$63.99 ,$21.14 ,,$84.56 ,
10,10,5/1/2016,092752,HYD BLUE ENCHANTRESS R PP25209,2,,170000,014949370643,,$46.99 ,$16.39 ,,$163.90 ,
10,10,5/1/2016,074562S,HYD MAC CTYLN TM PARIS PP10906,2S,,170000,014949338230,,$50.99 ,$17.10 ,,$171.00 ,
5,5,5/1/2016,077462S,HYD MAC LD R BIG EASY PPAF,2S,,170000,014949355961,,$50.99 ,$17.10 ,,$85.50 ,
10,10,5/1/2016,042071,HYD MAC PINK ELF R (PIA),1,,170000,014949420713,,$21.99 ,$7.60 ,,$76.00 ,
10,10,5/1/2016,024372S,HYD PAN LIMELIGHT PP12874,2S,,170000,014949337936,,$50.99 ,$17.10 ,,$171.00 ,
10,10,5/1/2016,054222,KNIPHOFIA UV FLAMENCO,2,,170000,014949276297,,$38.99 ,$13.06 ,,$130.60 ,
10,10,5/1/2016,089451,LANTANA BANDANA R PINK PP20555,1,,170000,014949377093,,$15.99 ,$5.23 ,,$52.30 ,
10,10,5/1/2016,057311,LAVANDULA ANG MUNSTEAD,1,,170000,014949573112,,$15.99 ,$5.46 ,,$54.60 ,
15,15,5/1/2016,028131,LAVANDULA X INT PROVENCE,1,,170000,014949062425,,$15.99 ,$5.46 ,,$81.90 ,
24,24,5/1/2016,02813UT,LAVANDULA X INT PROVENCE,QT,,170000,014949213780,,$9.99 ,$3.09 ,,$74.16 ,
7,7,5/1/2016,061291,MAN TANGO TWIRL R P14290,1,ST,170000,014949612910,,$24.99 ,$9.03 ,,$63.21 ,
10,10,5/1/2016,404851,NEPETA JNR WALKER TM PP23074,1,,170000,014949395127,,$14.99 ,$4.99 ,,$49.90 ,
15,15,5/1/2016,064211,PEROVSKIA ATRIPLICIFOLIA,1,,170000,014949642115,,$14.99 ,$4.99 ,,$74.85 ,
10,10,5/1/2016,084781,PEROVSKIA LACEY BLUE PP20845,1,X,170000,014949088968,,$18.99 ,$6.41 ,,$64.10 ,
10,10,5/1/2016,066371,PLUMBAGO ROYAL CAPE R,1,,170000,014949663714,,$19.99 ,$6.89 ,,$68.90 ,
5,5,5/1/2016,036292,ROSA FLWR CAR R AMBER PPAF,2,,170000,014949211762,,$41.99 ,$14.25 ,,$71.25 ,
5,5,5/1/2016,078182,ROSA FLWR CAR R CORAL PP14441,2,,170000,014949781814,,$41.99 ,$14.25 ,,$71.25 ,
5,5,5/1/2016,036382,ROSA FLWR CAR R PNK SUP P16276,2,,170000,014949212547,,$41.99 ,$14.25 ,,$71.25 ,
5,5,5/1/2016,036312,ROSA FLWR CAR R SCARLET P17373,2,,170000,014949211779,,$41.99 ,$14.25 ,,$71.25 ,
5,5,5/1/2016,018242,ROSA FLWR CAR R YELLOW PP13869,2,,170000,014949011010,,$41.99 ,$14.25 ,,$71.25 ,
5,5,5/1/2016,082275ST,ROSA-CL-CANDY LAND PPAF,5,ST,170000,014949362235,,$78.99 ,$27.08 ,,$135.40 ,
5,5,5/1/2016,07028EPT,ROSMARINUS OFF TUSCAN BLUE,"7""",TPT,170000,014949063583,,,$16.15 ,,$80.75 ,
10,10,5/1/2016,070331,RUBUS BLACK SATIN BLACKBERRY,1,ST,170000,014949703311,,$25.99 ,$9.50 ,,$95.00 ,
2,2,5/1/2016,070341,RUBUS CANBY RED RASPBERRY,1,ST,170000,014949703410,,$25.99 ,$9.50 ,,$19.00 ,
10,10,5/1/2016,067871,RUBUS PRIME-JIM R BKBRY P16989,1,ST,170000,014949330371,,$25.99 ,$9.50 ,,$95.00 ,
15,15,5/1/2016,079382,RUBUS RSPBRY SHRTCKE TM P22141,2,,170000,014949357132,,$45.99 ,$15.91 ,,$238.65 ,
10,10,5/1/2016,412691,SALVIA NEM BLUE MARVEL PPAF,1,,170000,014949424773,,$16.99 ,$5.70 ,,$57.00 ,
10,10,5/1/2016,400271,SALVIA SNSATION R SKY BLUE PAF,1,,170000,014949382608,,$16.99 ,$5.70 ,,$57.00 ,
5,5,5/1/2016,076225,VITIS LAB EASTERN CONCORD,5,ST,170000,014949761557,,$69.99 ,$23.28 ,,$116.40 ,
10,10,5/1/2016,029061,ACHILLEA MILL RED VELVET,1,,550000,014949065426,,$14.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,001351,ACHILLEA X MOONSHINE,1,,550000,014949013519,,$14.99 ,$4.99 ,,$49.90 ,
5,5,5/1/2016,412802,ALOCASIA EBONY PPAF,2,,550000,014949425176,,$43.99 ,$15.68 ,,$78.40 ,
5,5,5/1/2016,087462,ALOCASIA MOROCCO PPAF,2,,550000,014949378700,,$43.99 ,$15.68 ,,$78.40 ,
15,15,5/1/2016,015931,ANEMONE X HONORINE JOBERT,1,,550000,014949053393,,$17.99 ,$6.41 ,,$96.15 ,
18,18,5/1/2016,003111,ARTEMISIA POWIS CASTLE,1,,550000,014949031117,,,$4.99 ,,$89.82 ,
2,2,5/1/2016,003111,ARTEMISIA POWIS CASTLE,1,,550000,014949031117,,,$4.99 ,,$9.98 ,
10,10,5/1/2016,027501,ASTILBE COLOR FLASH R PP17343,1,,550000,014949061862,,$19.99 ,$6.89 ,,$68.90 ,
