Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,004902,#2,DICENTRA SP VALENTINE R P22739,"Dicentra spectabilis 'Hordival' P.P.#22,739                 ",Valentine®  Bleeding Heart,Mid spring border flowering,PRN,03,PPP, 14.75 ,,,     , 5 ,     , 180 ,04/01/15  , 180 ,05/01/15  ,     ,          
OR,085822,#2,DISPORUM CANT MOONLIGHT P24556,"Disporum cantoniense 'Moonlight' P.P.#24,556                ",Moonlight Chinese Fairy Bells                               ,Evergreen large shrub/hedge,PRN,07,HIN, 14.75 ,,,     , 5 , 7 , 7 ,05/01/15  ,     ,          ,     ,          
OR,080762,#2,DISPORUM CANT NIGHT HERON,Disporum cantoniense 'Night Heron'                          ,Night Heron Chinese Fairy Bells                             ,Evergreen large shrub/hedge,PRN,07,HIN, 14.75 ,-,,     , 5 , 63 , 63 ,05/01/15  ,     ,          ,     ,          
CA,069211,#1,ECHEVERIA AGAVOIDES LIPSTICK,Echeveria agavoides 'Lipstick'                              ,Lipstick Echeveria                                          ,Succulent/cactus/yucca,CAC,09,, 7.25 ,-,CAN FULL, 19 , 10 ,     , 19 ,12/31/14  ,     ,          ,     ,          
CA,079151,#1,ECHEVERIA DERENBERGII,Echeveria derenbergii                                       ,Painted Lady                                                ,Succulent/cactus/yucca,CAC,09,, 7.25 ,,, 22 , 10 ,     , 22 ,12/31/14  ,     ,          ,     ,          
CA,057841,#1,ERIOGONUM GRANDE RUBESCENS,Eriogonum grande var. rubescens                             ,San Miguel Island Red Buckwheat                             ,Evergreen sumr flower'g shrub,PRN,08,, 6.35 ,,, 24 , 10 ,     , 24 ,04/01/15  ,     ,          ,     ,          
CA,080521,#1,ERYSIMUM HYB VARIEGATUM,Erysimum x Variegatum                                       ,Variegated Wallflower                                       ,Early spring border flowering,PRN,06,, 6.35 ,,, 25 , 10 ,     , 25 ,04/01/15  ,     ,          ,     ,          
OR,050722,#2,EUCRYPHIA LUC SPRING CREAM,Eucryphia lucida 'Spring Cream'                             ,Variegated Tasmanian Leatherwood                            ,Evergreen large shrub/hedge,EVS,08,HIN, 15.00 ,,14''H -  10''S,     , 5 ,     ," 1,463 ",04/15/15  ," 1,787 ",06/01/15  ,     ,          
CA,089412,#2,EURYOPS CHRY SONNENSCHEIN,Euryops chrysanthemoides 'Sonnenschein'                     ,Sonnenschein Euryops                                        ,Evergreen early flower'g shrub,EVS,08,, 13.50 ,-,"10""H-12""S",     , 5 ,     , 13 ,03/01/15  ,     ,          ,     ,          
CA,097641,#1,FERN-MICROLEPIA STRIGOSA,Microlepia strigosa                                         ,Lace Fern                                                   ,Fern,FRN,10,, 6.75 ,-,"15""H",     , 10 ,     , 57 ,03/01/15  ,     ,          ,     ,          
CA,097642,#2,FERN-MICROLEPIA STRIGOSA,Microlepia strigosa                                         ,Lace Fern                                                   ,Fern,FRN,10,, 15.50 ,-,"19""H",     , 5 ,     , 42 ,03/01/15  ,     ,          ,     ,          
CA,097711,#1,FERN-MICROSORUM SCOLOPENDRIA,                                                            ,                                                            ,Fern,FRN,09,, 6.75 ,,,     , 10 ,     , 4 ,03/01/15  ,     ,          ,     ,          
CA,097611,#1,FERN-NEPHROLEPIS CD CALIFORNIA,Nephrolepis cordifolia 'California'                         ,California Upright Sword Fern                               ,Fern,FRN,10,, 6.75 ,-,"6""H", 11 , 10 , 11 ,     ,          ,     ,          ,     ,          
CA,097621,#1,FERN-NEPHROLEPIS CD DUFFI,Nephrolepis cordifolia 'Duffii'                             ,Lemon Button Fern                                           ,Fern,FRN,10,, 6.75 ,-,CAN FULL,     , 10 , 35 ,     ,          ,     ,          ,     ,          
CA,084911,#1,FERN-POLYSTICHUM MUNITUM,Polystichum munitum                                         ,Western Sword Fern                                          ,Fern,FRN,05,, 6.75 ,,, 10 , 10 ,     , 10 ,03/01/15  ,     ,          ,     ,          
OR,084912,#2,FERN-POLYSTICHUM MUNITUM,Polystichum munitum                                         ,Western Sword Fern                                          ,Fern,FRN,05,, 15.50 ,,,     , 5 ,     , 347 ,04/01/15  ,     ,          ,     ,          
CA,097631,#1,FERN-RUMOHRA ADIANT IBERIA,Rumohra adiantiformis 'Iberia'                              ,Iberia Leatherleaf Fern                                     ,Fern,FRN,09,, 6.75 ,-,"4""H-6""S",     , 10 , 31 ,     ,          ,     ,          ,     ,          
CA,070295,#5,FICUS CAR DESERT KING,Ficus carica 'Desert King'                                  ,Desert King Fig                                             ,Edible berries/fruit,TRE,06,, 29.00 ,-,"42""H", 5 , 5 , 5 ,     ,          ,     ,          ,     ,          
OR,086091,#1,FRAGARIA X ANANASSA TOSCANA,Fragaria x ananassa 'Toscana'                               ,Toscana Strawberry                                          ,Edible berries/fruit,PRN,04,, 4.90 ,CUT BACK,, 107 , 10 ,     , 328 ,05/01/15  ,     ,          ,     ,          
