Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Royalty Code,YOUR 2014 ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND
 QTY 
READY DATE","3RD 
QTY 
AVAIL","3RD 
QTY 
READY DATE",2014 List Price,Condition,Current Specs
CA,    ,022715,#5 STAKED,CAMPSIS BALBOA SUNSET R,Balboa Sunset®  Trumpet Creeper,VIN,04,OLD,, 849 ,     ,          ,     ,          , 24.75 ,DORMANT,48''H
CA,    ,022381,#1 STAKED,CAMPSIS FLAVA,Yellow Trumpet Creeper                                      ,VIN,04,,," 3,885 ",,,     ,          , 7.25 ,DORMANT,24''H
CA,    ,022385,#5 STAKED,CAMPSIS FLAVA,Yellow Trumpet Creeper                                      ,VIN,04,,, 619 ,     ,          ,     ,          , 22.00 ,DORMANT,48''H
CA,    ,022551,#1 STAKED,CAMPSIS MADAME GALEN,Trumpet Creeper                                             ,VIN,04,,," 4,911 ",     ,          ,     ,          , 7.50 ,BREAKING DORMANCY,24''H
CA,    ,022555,#5 STAKED,CAMPSIS MADAME GALEN,Trumpet Creeper                                             ,VIN,04,,, 67 ,     ,          ,     ,          , 24.75 ,BREAKING DORMANCY,48''H
CA,2010,092891,#1,CARY CLA KORBALL BLU BALLOON R,Blue Balloon®  Bluebeard,DCS,05,KJU,,     , 187 ,04/01/14  ,     ,          , 6.50 ,-,"13""H - 8""S *"
CA,2010,092892,#2,CARY CLA KORBALL BLU BALLOON R,Blue Balloon®  Bluebeard,DCS,05,KJU,, 70 ,,,     ,          , 14.50 ,-,"12""H - 10""S"
CA,2010,092895,#5,CARY CLA KORBALL BLU BALLOON R,Blue Balloon®  Bluebeard,DCS,05,KJU,,     , 562 ,04/01/14  ,     ,          , 20.25 ,-,"22""H - 20""S *"
CA,    ,029872S,SuperTwo,CARY INC SUNSHINE BLUE R PPAF,Sunshine Blue®  Bluebeard,DCS,05,PW,,     , 40 ,03/15/14  ,     ,          , 15.00 ,,
CA,    ,022891,#1,CARY X DARK KNIGHT,Dark Knight Bluebeard                                       ,DCS,05,,,     , 68 ,05/01/14  ,     ,          , 5.75 ,-,"15""H - 10""S *"
CA,    ,038415,#5,CERCIS C HEARTS OF GOLD P17740,Hearts Of Gold Redbud                                       ,TRE,05,PHI,, 4 ,     ,          ,     ,          , 38.00 ,BREAKING DORMANCY,"50""H"
CA,2011,074442S,SuperTwo,CHAEN DBLTKE TM OR STRM P20950,Double Take™  Orange Storm Flowering Quince,DCS,05,PW,," 1,029 ",     ,          ,     ,          , 16.00 ,FULL BLOOM,"8""H - 10''S"
CA,2011,074452S,SuperTwo,CHAEN DBLTKE TM PK STRM P20920,Double Take™  Pink Storm Flowering Quince,DCS,05,PW,, 351 ,     ,          ,     ,          , 16.00 ,BUDS & BLOOMS,"8""H - 10""S"
CA,2011,074772S,SuperTwo,CHAEN DBLTKE TM SCR STRM PPAF,Double Take™  Scarlet Storm Flowering Quince,DCS,05,PW,, 12 ,     ,          ,     ,          , 16.00 ,FULL BLOOM,"8""H - 10""S"
CA,    ,030821,#1,CHAENOMELES CAMEO,Cameo Japanese Flowering Quince                             ,DCS,05,,, 20 ,     ,          ,     ,          , 7.00 ,BUDS & BLOOMS,"8""H - 8""S"
CA,    ,030822,#2,CHAENOMELES CAMEO,Cameo Japanese Flowering Quince                             ,DCS,05,,, 55 ,     ,          ,     ,          , 13.75 ,BUDS & BLOOMS,"8""H - 8""S"
CA,    ,031001,#1,CHAENOMELES SUPER RED R,Super Red®  Flowering Quince,DCS,05,,," 1,047 ",     ,          ,     ,          , 7.00 ,-,"8""H - 10""S"
CA,    ,031002,#2,CHAENOMELES SUPER RED R,Super Red®  Flowering Quince,DCS,05,,, 153 ,     ,          ,     ,          , 13.75 ,-,"10""H - 8""S"
CA,    ,031051,#1,CHAENOMELES TEXAS SCARLET,Texas Scarlet Flowering Quince                              ,DCS,05,,, 62 ,     ,          ,     ,          , 7.00 ,-,"8""H - 10""S"
CA,    ,027211,#1 STAKED,CLEM VIT ETOILE VIOLETTE,Etoile Violette Clematis                                    ,VIN,04,,, 622 ,,,,          , 8.50 ,-,24''H
CA,    ,027215,#5 STAKED,CLEM VIT ETOILE VIOLETTE,Etoile Violette Clematis                                    ,VIN,04,,,     , 21 ,04/01/14  ,     ,          , 28.00 ,,"48""H"
CA,    ,027301,#1 STAKED,CLEM VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis                              ,VIN,04,,,     , 66 ,04/01/14  ,     ,          , 8.50 ,-,21''H
CA,    ,027301S,SuperOne TM STAKED,CLEM VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis                              ,VIN,04,,,     , 167 ,04/01/14  ,     ,          , 9.50 ,-,24''H
CA,    ,027305,#5 STAKED,CLEM VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis                              ,VIN,04,,,     , 38 ,04/01/14  ,     ,          , 28.00 ,,"48""H"
CA,2012,078721,#1,CORE BIGBANG TM CSMC EY P22601,Big Bang™  Cosmic Eye Tickseed,PRN,05,SBN,,     , 303 ,04/01/14  ,     ,          , 5.50 ,-,CAN FULL
CA,    ,027961,#1,COREOPSIS VERT MOONBEAM,Moonbeam Threadleaf Tickseed                                ,PRN,03,,,     , 27 ,04/01/14  ,     ,          , 4.75 ,-,CAN FULL
CA,    ,027971,#1,COREOPSIS VERT ZAGREB,Zagreb Threadleaf Tickseed                                  ,PRN,03,,,     , 375 ,04/01/14  ,     ,          , 4.75 ,-,CAN FULL
CA,    ,030521,#1,CUP LEY CASTLEWELLAN,Golden Leyland Cypress                                      ,CON,05,,, 196 ,     ,          ,     ,          , 6.75 ,-,"20""H"
CA,    ,030517,#7,CUP LEY EMERALD ISLE R,Emerald Isle®  Leyland Cypress,CON,05,,, 25 , 47 ,04/01/14  ,     ,          , 55.00 ,-,"54""H"
CA,    ,048541,#1,DELOSPERMA DY RED MOUNTAIN R,Red Mountain®  Ice Plant,CAC,05,PLC,, 11 ,     ,          ,     ,          , 5.00 ,WINTER COLOR,CAN FULL
CA,2012,067731,#1,DIANTHUS FIRST LOVE R,First Love®  Cheddar Pink,PRN,03,PLC,,     , 224 ,05/15/14  ,     ,          , 5.50 ,-,CAN FULL
CA,    ,004721,#1,DIANTHUS GRAT FIREWITCH,Firewitch Cheddar Pink                                      ,PRN,03,,,     , 356 ,04/15/14  , 691 ,05/01/14  , 4.75 ,-,CAN FULL
CA,    ,004741,#1,DIANTHUS GRAT MOUNTAIN MIST,Mountain Mist Cheddar Pink                                  ,PRN,03,,,     , 8 ,04/15/14  ,     ,          , 4.75 ,-,CAN FULL
CA,2010,094501,#1,DIANTHUS RASP SURPRISE PP16029,Raspberry Surprise Maiden Pink                              ,PRN,04,,, 29 ,,,,, 4.75 ,BUDS & BLOOMS,CAN FULL
CA,    ,032121,#1,ERIGERON GLA SEA BREEZE P12076,Sea Breeze Fleabane                                         ,PRN,05,PHI,, 236 ,     ,          ,     ,          , 4.75 ,BUDS,CAN FULL
CA,    ,074341S,SuperOne TM,ERYNGIUM PLANUM BLUE HOBBIT,Blue Hobbit Dwarf Sea Holly                                 ,PRN,04,,, 45 ,     ,          ,     ,          , 7.00 ,-,CAN FULL
CA,    ,033901,#1,EUO F EMERALD GAIETY,Emerald Gaiety Wintercreeper                                ,EVS,05,,, 330 ," 1,006 ",03/15/14  ,     ,          , 5.50 ,-,"6""H - 8""S"
CA,    ,033902,#2,EUO F EMERALD GAIETY,Emerald Gaiety Wintercreeper                                ,EVS,05,,," 1,443 "," 1,521 ",03/15/14  ,     ,          , 13.00 ,-,"8""H - 12""S"
CA,2011,019192S,SuperTwo,EUO F GOLD SPLASH R,Gold Splash®  Wintercreeper,EVS,05,PW,,     , 82 ,04/01/14  ,     ,          , 16.00 ,,"8""H - 10""S"
CA,    ,035401,#1,EUO KIA MANHATTAN,Manhattan Euonymus                                          ,EVS,05,,, 70 ,,,     ,          , 5.50 ,-,"7""H - 8""S"
CA,    ,035402,#2,EUO KIA MANHATTAN,Manhattan Euonymus                                          ,EVS,05,,, 350 ,     ,          ,     ,          , 13.00 ,-,"10""H - 12""S"
CA,    ,035405ES,#5 ESPALIER,EUO KIA MANHATTAN,Manhattan Euonymus                                          ,EVS,05,,, 25 ,,,     ,          , 48.00 ,-,"36""H - 42""S"
CA,    ,03540MES,#10 Squat ESPALIER,EUO KIA MANHATTAN,Manhattan Euonymus                                          ,EVS,05,,, 28 ,,,     ,          , 79.00 ,-,"48""H - 44""S"
CA,    ,019241,#1,FERN-ATHYRIUM F LADY IN RED,Lady In Red Fern                                            ,FRN,02,,, 578 ,     ,          ,     ,          , 6.50 ,EMERGING,CAN FULL
CA,    ,019242,#2,FERN-ATHYRIUM F LADY IN RED,Lady In Red Fern                                            ,FRN,02,,, 105 ,     ,          ,     ,          , 14.75 ,DORMANT,"10""S"
CA,    ,018762,#2,FERN-ATHYRIUM GHOST,Ghost Fern                                                  ,FRN,04,,, 95 ,     ,          ,     ,          , 14.75 ,EMERGING,"10""S"
CA,    ,036121,#1,FERN-ATHYRIUM NIP PICTUM,Japanese Painted Fern                                       ,FRN,05,,, 75 ,     ,          ,     ,          , 6.50 ,-,CAN FULL
CA,    ,036122,#2,FERN-ATHYRIUM NIP PICTUM,Japanese Painted Fern                                       ,FRN,05,,, 16 ,     ,          ,     ,          , 14.75 ,EMERGING,CAN FULL
CA,    ,022041,#1,FERN-ATHYRIUM REGAL RED,Regal Red Japanese Painted Fern                             ,FRN,04,,, 12 ,     ,          ,     ,          , 5.50 ,-,CAN FULL
CA,    ,036455,#5,FERN-MATTEUCCIA STRUTHIOPTERIS,European Ostrich Fern                                       ,FRN,03,,, 7 ,     ,          ,     ,          , 21.75 ,EMERGING,"12""S"
CA,    ,035711,#1,GAILLARDIA ARIZONA SUN,Arizona Sun Blanket Flower                                  ,PRN,03,,, 5 ,,,     ,          , 4.75 ,BUDS,CAN FULL
CA,2010,058861,#1,GAURA L GEYSER WHITE,Geyser White Gaura                                          ,PRN,05,,,     , 20 ,05/01/14  ,     ,          , 4.75 ,,
CA,    ,048591,#1,GAZANIA LIN COLORADO GOLD R,Colorado Gold®  Treasure Flower,PRN,04,PLC,,     , 678 ,05/01/14  ,     ,          , 4.75 ,-,CAN FULL
CA,2012,067791,#1,GR-BOUT BLOND AMBITION PP22048,Blonde Ambition Blue Grama Grass                            ,GRS,04,PLC,, 514 ,     ,          ,     ,          , 8.00 ,-,CAN FULL
