Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,,Qty Allocated,Min Order Qty,Available Later,On,Available Later,On,,,,,,,,,,
160000,054481,HEUCHERELLA GOLD ZEBRA PPAF,Heucherella 'Gold Zebra' PP# 22104 COPF                     ,Gold Zebra Foamy Bells                                      ,Shade foliage/flower,PRN, 1.00 , 98 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,076241,HEUCHERELLA REDSTN FLLS P22394,"Heucherella x 'Redstone Falls' P.P.# 22,394                 ",Redstone Falls Trailing Foamy Bells                         ,Shade foliage/flower,PRN, 1.00 , 36 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,407761,HEUCHERELLA SOLAR ECLIPSE,Heucherella 'Solar Eclipse'                                 ,Solar Eclipse Foamy Bells                                   ,Shade foliage/flower,PRN, 1.00 , 20 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,033531,HEUCHERELLA STOPLIGHT PP16835,Heucherella 'Stoplight' P.P.# 16835                         ,Stoplight Foamy Bells                                       ,Shade foliage/flower,PRN, 1.00 , 10 , 10 ," 1,087 ",06/01/16  ,     ,          ,,,,,,,,,,
160000,041171,HEUCHERELLA SWEET TEA PPAF,"Heucherella 'Sweet Tea' P.P.#21,296                         ",Sweet Tea Foamy Bells                                       ,Shade foliage/flower,PRN, 1.00 , 122 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,034712,HIB MOS DAVE FLEMING PP21392,"Hibiscus moscheutos 'Dave Fleming' P.P. #21,392             ",Dave Fleming Hibiscus                                       ,Mid/late tall flowering,PRN, 1.00 , 70 , 5 ,     ,          ,     ,          ,,,,,,,,,,
170000,036322,HIB MOS STARDUST PP21479,"Hibiscus moscheutos 'Stardust' P.P. # 21,479                ",Stardust Hibiscus                                           ,Mid/late tall flowering,PRN, 1.00 , 44 , 5 ,     ,          ,     ,          ,,,,,,,,,,
170000,034732,HIB MOS STRWBRY SWIRL PP21542,"Hibiscus moscheutos 'Strawberry Swirl' P.P. #21,542         ",Strawberry Swirl Fleming Hibiscus                           ,Mid/late tall flowering,PRN, 1.00 , 48 , 5 ,     ,          ,     ,          ,,,,,,,,,,
170000,074842S,HIB SYR CHINA CHIFFON TM PPAF,"Hibiscus syriacus 'Bricutts' P.P. #12,619                   ",China Chiffon™  Rose of Sharon,Deciduous sumr flower'g shrub,DCS, 1.00 , 75 , 5 ,     ,          ,     ,          ,,,,,,,,,,
170000,002305,HIB SYR MINERVA,Hibiscus syriacus 'Minerva'                                 ,Minerva Rose Of Sharon                                      ,Deciduous sumr flower'g shrub,DCS, 1.00 , 200 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,403531,HOSTA BLUE MOUSE EARS,Hosta 'Blue Mouse Ears'                                     ,Blue Mouse Ears Hosta                                       ,Hosta,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,016761,HOSTA CHERRY BERRY,Hosta x 'Cherry Berry'                                      ,Cherry Berry Plantain Lily                                  ,Hosta,PRN, 1.00 , 75 , 10 , 215 ,03/01/16  ,     ,          ,,,,,,,,,,
160000,412681,HOSTA CURLY FRIES,Hosta 'Curly Fries'                                         ,Curly Fries Plantain Lily                                   ,Hosta,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,403611,HOSTA EARTH ANGEL,Hosta 'Earth Angel'                                         ,Earth Angel Hosta                                           ,Hosta,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,093061,HOSTA ENTERPRISE,Hosta 'Enterprise'                                          ,Enterprise Hosta                                            ,Hosta,PRN, 1.00 , 60 , 10 ,     ,          ,     ,          ,,,,,,,,,,
