Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2015 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On
OR,    ,027625,#5,CORNUS X CONSTELLATION R,Cornus x 'Rutcan'                                           ,Constellation®  Dogwood,TRE,05,OCL, 40.50 , 34.02 , 4.25 , 38.27 ,,     ,014949276259,     ,     ,FALL COLOR,"48""H", 5 , 126 , 126 ,05/01/15  
OR,    ,027585,#5,CORNUS X STELLAR PINK R,Cornus x 'Rutgan'                                           ,Stellar Pink®  Dogwood,TRE,05,OCL, 40.50 , 34.02 , 4.25 , 38.27 ,,     ,014949275856,     ,     ,FALL COLOR,"48""H", 5 , 91 , 91 ,05/01/15  
OR,    ,02758M,#10 Squat,CORNUS X STELLAR PINK R,Cornus x 'Rutgan'                                           ,Stellar Pink®  Dogwood,TRE,05,OCL, 73.00 , 61.32 , 15.32 , 76.64 ,,     ,014949345771,     ,     ,FALL COLOR,"58""H", 2 ,     , 33 ,05/01/15  
OR,2013,030395,#5,CORNUS X VENUS R PP16309,"Cornus x 'KN30-8' P.P.# 16,309                              ",Venus®  Dogwood,TRE,05,OCL, 40.50 , 34.02 , 4.25 , 38.27 ,,     ,014949280287,     ,     ,FALL COLOR,"50""H", 5 , 9 ,     ,          
OR,2011,049845,#5,DRIMYS WIN PEWTER PILLAR R,Drimys winteri var. chiloense                               ,Pewter Pillar®  Winter's Bark,TRE,07,HIN, 25.50 , 21.42 , 4.25 , 25.67 ,,     ,014949288566,     ,     ,FALL COLOR,"36""H", 5 , 50 ,     ,          
OR,    ,035855,#5,FAGUS SYL PURPLE FOUNTAIN,Fagus sylvatica 'Purple Fountain'                           ,Purple Fountain Beech                                       ,TRE,04,, 43.50 , 36.54 , 4.25 , 40.79 ,,     ,014949358559,     ,     ,FALL COLOR,"66""H - 14""S", 5 , 167 ,     ,          
OR,    ,035795,#5,FAGUS SYL RIVERSII,Fagus sylvatica 'Riversii'                                  ,River's Purple European Beech                               ,TRE,04,, 43.50 , 36.54 , 4.25 , 40.79 ,,     ,014949357958,     ,     ,FALL COLOR,"56""H", 5 , 35 ,     ,          
OR,    ,035785,#5,FAGUS SYL TRICOLOR,Fagus sylvatica 'Tricolor'                                  ,Tricolor European Beech                                     ,TRE,04,, 43.50 , 36.54 , 4.25 , 40.79 ,,     ,014949357859,     ,     ,FALL COLOR,"48""H", 5 , 24 ,     ,          
OR,    ,038355,#5,GINKGO BIL AUTUMN GOLD,Ginkgo biloba 'Autumn Gold'                                 ,Autumn Gold Maidenhair Tree                                 ,TRE,04,, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949383551,     ,     ,FALL COLOR,"48""H", 5 , 10 ,     ,          
OR,    ,038357,#7,GINKGO BIL AUTUMN GOLD,Ginkgo biloba 'Autumn Gold'                                 ,Autumn Gold Maidenhair Tree                                 ,TRE,04,, 73.00 , 61.32 , 10.64 , 71.96 ,,     ,014949383575,     ,     ,FALL COLOR,"60""H", 2 , 2 ,     ,          
OR,2011,033975,#5,GINKGO BIL JADE BUTTERFLIES,Ginkgo biloba 'Jade Butterfly'                              ,Jade Butterfly Maidenhair Tree                              ,TRE,04,, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949224076,     ,     ,FALL COLOR,"30""H", 5 , 12 , 12 ,05/01/15  
OR,2011,036255,#5,LABURNUM ANA COLUMNARIS,Laburnum anagyroides 'Columnaris'                           ,Columnar Laburnum                                           ,TRE,05,, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949211069,     ,     ,,"40""H", 5 ,     , 194 ,04/15/15  
OR,    ,054335,#5,LABURNUM X WAT VOSSII,Laburnum x Watereri 'Vossii'                                ,Golden Chain Tree                                           ,TRE,06,, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949543351,     ,     ,FALL COLOR,"60""H", 5 , 19 ,     ,          
OR,    ,058805,#5,LIRIODENDRON MAJESTIC BEAUTY R,Liriodendron tulipifera 'Aureo-marginatum'                  ,Majestic Beauty®  Tulip Tree,TRE,05,, 40.50 , 34.02 , 4.25 , 38.27 ,,     ,014949588055,     ,     ,FALL COLOR,"66""H", 5 , 20 ,     ,          
OR,2010,036805,#5,LIRIODENDRON TULIPIFERA ARNOLD,Liriodendron tulipifera 'Arnold'                            ,Arnold Tulip Tree                                           ,TRE,05,, 40.50 , 34.02 , 4.25 , 38.27 ,,     ,014949215517,     ,     ,FALL COLOR,"62""H", 5 , 4 ,     ,          
OR,    ,059585TR,#5 TREE,MAG X BLACK TULIP PPAF,Magnolia x soulangiana 'Jurmag1' P.P.A.F.                   ,Black Tulip™  Magnolia,TRE,05,ATI, 42.50 , 35.70 , 4.25 , 39.95 ,,     ,014949032879,     ,     ,FALL COLOR,"66""H", 2 , 9 ,     ,          
OR,    ,059587TR,#7 TREE,MAG X BLACK TULIP PPAF,Magnolia x soulangiana 'Jurmag1' P.P.A.F.                   ,Black Tulip™  Magnolia,TRE,05,ATI, 76.00 , 63.84 , 10.64 , 74.48 ,,     ,014949213124,     ,     ,-,"94""H", 2 , 1 ,     ,          
OR,2010,059597TR,#7 TREE,MAG X FELIX JURY PPAF,Magnolia x 'Felix Jury' P.P.A.F.                            ,Felix Jury Magnolia                                         ,TRE,05,ATI, 76.00 , 63.84 , 10.64 , 74.48 ,,     ,014949305676,     ,     ,FALL COLOR,"80""H", 2 , 1 ,     ,          
OR,2014,059635TR,#5 TREE,MAG X ROSE MARIE,Magnolia 'Rose Marie'                                       ,Rose Marie Magnolia                                         ,TRE,05,LDE, 42.50 , 35.70 , 4.25 , 39.95 ,,     ,014949324233,     ,     ,FALL COLOR,"54""H", 2 , 1 ,     ,          
OR,2014,059637TR,#7 TREE,MAG X ROSE MARIE,Magnolia 'Rose Marie'                                       ,Rose Marie Magnolia                                         ,TRE,05,LDE, 76.00 , 63.84 , 10.64 , 74.48 ,,     ,014949324240,     ,     ,-,"80""H", 2 , 4 ,     ,          
OR,    ,030585,#5,MALUS SIEBOLDII CALOCARPA,Malus x sieboldii 'Calocarpa'                               ,Redbud Crabapple                                            ,TRE,04,, 29.00 , 24.36 , 4.25 , 28.61 ,,     ,014949069479,     ,     ,FALL COLOR,"60""H", 5 , 82 ,     ,          
OR,    ,062955,#5,NYSSA SYLVATICA,Nyssa sylvatica                                             ,Tupelo                                                      ,TRE,05,, 25.50 , 21.42 , 4.25 , 25.67 ,,     ,014949629550,     ,     ,FALL COLOR,"54""H", 5 , 10 ,     ,          
OR,New ,033875,#5,NYSSA SYLVATICA WILDFIRE,Nyssa sylvatica 'Wildfire'                                  ,Wildfire Blackgum                                           ,TRE,05,, 38.00 , 31.92 , 4.25 , 36.17 ,,     ,014949257128,     ,     ,FALL COLOR,"58""H", 5 , 3 ,     ,          
OR,    ,063975TR,#5 TREE,PARROTIA PERSICA,Parrotia persica                                            ,Persian Ironwood                                            ,TRE,05,, 40.00 , 33.60 , 4.25 , 37.85 ,,     ,014949639788,     ,     ,FALL COLOR,"62""H", 2 , 232 ,     ,          
OR,    ,018315,#5,POPULUS TREMULA ERECTA,Populus tremula 'Erecta'                                    ,Columnar Swedish Aspen                                      ,TRE,02,, 29.00 , 24.36 , 4.25 , 28.61 ,,     ,014949007969,     ,     ,FALL COLOR,"56""H-18""S", 5 , 13 ,     ,          
OR,2012,016515,#5,PRUNUS AMANOGAWA,Prunus serrulata 'Amanogawa'                                ,Amanogawa Japanese Flowering Cherry                         ,TRE,05,, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949004937,     ,     ,FALL COLOR,"64""H", 5 , 19 , 19 ,05/01/15  
OR,    ,031815,#5,PRUNUS CRMSON POINTE TM P19564,"Prunus x cerasifera 'Cripoizam' P.P. #19,564                ",Crimson Pointe™  Flowering Plum,TRE,04,LHI, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949218686,     ,     ,FALL COLOR,"80""H", 5 , 189 , 189 ,03/01/15  
OR,    ,03181M,#10 Squat,PRUNUS CRMSON POINTE TM P19564,"Prunus x cerasifera 'Cripoizam' P.P. #19,564                ",Crimson Pointe™  Flowering Plum,TRE,04,LHI, 67.00 , 56.28 , 15.32 , 71.60 ,,     ,014949256589,     ,     ,FALL COLOR,"96""H", 2 , 2 , 2 ,03/01/15  
OR,    ,016525,#5,PRUNUS DREAM CATCHER,Prunus 'Dream Catcher'                                      ,Dream Catcher Flowering Cherry                              ,TRE,06,, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949004944,     ,     ,FALL COLOR,"64""H", 5 , 2 ,     ,          
OR,2014,043395,#5,PRUNUS WEEPING EXTRAORDNARE TM,Prunus x 'Extrazam' Weeping Extraordinaire™ ,Weeping Extraordinaire™  Double Flowering Cherry,TRE,05,LHI, 40.50 , 34.02 , 4.25 , 38.27 ,,     ,014949334348,     ,     ,FALL COLOR,"66""H", 5 , 13 , 13 ,03/01/15  
OR,    ,066935ST,#5 STAKED,PRUNUS X SNOW FOUNTAIN TM,Prunus x 'Snowfozam'                                        ,Snow Fountains®  Weeping Cherry,TRE,04,LHI, 40.00 , 33.60 , 4.25 , 37.85 ,,     ,014949669655,     ,     ,FALL COLOR,"50""H", 5 , 8 ,     ,          
OR,    ,069085,#5,PYRUS CALL CLEVELAND SELECT,Pyrus calleryana 'Cleveland Select'                         ,Cleveland Select Flowering Pear                             ,TRE,05,, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949690857,     ,     ,FALL COLOR,"66""H", 5 , 5 ,     ,          
